Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72
0,95.575,-0.142524,-0.0683474,0.141465,0.0896537,-0.0405159,-0.0473097,-0.118769,-0.0747285,-0.0643618,-0.166401,-0.0988062,-0.0294452,0.176689,-0.0181319,-0.0865213,-0.279256,-0.0154682,-0.0629362,0.0245294,-0.0535327,0.037632,0.0555146,0.149265,0.0755047,0.0622059,0.0234943,0.17226,0.142779,0.0118728,-0.0617861,-0.0810634,-0.0974369,0.0234186,-0.115455,0.0812274,0.0334005,0.077945,-0.151332,0.0342247,-0.114244,0.0337038,0.202261,-0.0675016,-0.127967,0.0831649,-0.137386,-0.188155,-0.224444,-0.0733421,-0.0588647,0.149643,-0.0565575,-0.0497129,0.140779,0.164991,-0.0461018,0.0170499,0.08613,0.0182935,0.0643462,-0.0215087,0.215226,-0.166576,-0.163934,0.122381,0.159769,-0.108142,0.195479,-0.221618,0.115328,-0.214173,-0.00648323,0.10736
1,-93.908,0.070828,-0.185644,0.176693,0.187802,-0.240009,-0.0316945,-0.10555,0.0625647,-0.116247,-0.0203896,0.0397354,-0.0464855,0.0587513,-0.0889879,0.243455,0.106829,0.21424,0.0144188,-0.0622863,0.0521581,-0.112339,0.0107544,-0.0500998,0.236784,0.0202174,0.0181777,-0.0402153,-0.131065,0.185345,0.151615,-0.0863389,-0.123338,-0.0267973,0.130481,-0.0891002,0.172347,0.0467214,0.167905,-0.000243506,-0.052177,0.127628,-0.0081144,-0.160108,-0.0383342,0.184361,0.174427,0.0268316,0.14884,-0.156742,-0.131536,-0.0444004,0.046493,-0.20077,0.0349437,0.10597,-0.0306203,0.145839,0.120388,0.0133938,0.214422,-0.0313929,-0.105192,0.0193784,-0.167696,-0.147048,0.033457,0.00662076,0.0662539,0.0868819,-0.0888805,0.0457278,0.052215,0.0908049
2,-91.3481,-0.0531447,0.135925,-0.124009,-0.0658004,0.0792529,-0.0125334,-0.174751,-0.0839695,0.192849,-0.156723,0.131514,-0.165112,-0.0647172,-0.102543,-0.0865972,-0.22276,0.104142,0.0515361,0.0724161,-0.134257,-0.116009,0.15665,-0.0104602,0.0214421,-0.0787817,-0.118521,-0.159696,0.132323,0.148273,0.00834939,-0.238086,-0.132012,-0.110614,0.0412245,-0.0553892,-0.0445733,0.0714417,-0.00407931,-0.137869,0.0150653,-0.14544,0.108041,-0.129098,0.0050031,0.0639487,0.00926775,-0.0483962,0.0978326,0.157266,0.141716,-0.00563716,-0.183091,0.100158,-0.131517,-0.0735419,0.0512736,0.0449666,-0.000193508,-0.0538103,0.202108,-0.0743832,0.0644664,-0.0948964,-0.059074,-0.243669,-0.0520367,-0.108595,-0.0565098,0.00584815,-0.222898,0.0969295,-0.23683,-0.138399
3,88.3077,0.0899419,0.206933,-0.0021041,-0.0595377,-0.101611,-0.0162918,-0.234052,-0.0610364,0.168923,0.0248984,0.194742,0.0435935,0.215334,0.136803,-0.145678,0.0594686,0.00436868,-0.0229529,-0.100515,-0.100508,0.276522,0.0235711,-0.0176408,0.00542984,0.154798,-0.0449765,-0.00043334,-0.00814498,0.109824,0.233903,-0.0905271,-0.0376605,-0.165796,-0.0734787,0.122914,0.0468819,-0.00591072,-0.124348,0.0932744,0.199514,0.0435347,-0.102585,0.0240634,-0.0214053,-0.0335429,-0.129631,-0.00999052,0.0137451,-0.150059,-0.0646155,-0.108007,-0.15174,-0.189702,-0.0249402,0.10905,-0.0967984,0.109575,0.213316,-0.172914,-0.232388,-0.10508,-0.0494175,0.0248311,0.0666453,0.0844301,-0.00456654,0.210643,-0.0081811,0.0410467,-0.131551,-0.0438579,0.0292644,-0.136512
4,-84.311,-0.167891,0.0622891,-0.178176,0.0273151,-0.0214733,0.0483016,-0.0903015,-0.148053,-0.0677792,0.100455,0.00225378,-0.0512149,0.181126,-0.0843645,0.0645624,-0.0695229,-0.0895498,0.269609,0.114737,-0.00510057,0.201036,-0.179532,-0.242175,-0.0629691,-0.0758782,-0.0480726,0.0488001,0.0552087,-0.140425,-0.0672957,0.0669308,0.194154,-0.0240043,0.00181981,-0.192869,0.0440367,0.0967643,0.125019,-0.102041,0.062475,0.18125,-0.0497307,-0.0623717,-0.0484433,-0.0186951,0.0141648,-0.19431,0.0305692,-0.00018113,-0.213477,0.107513,-0.141877,0.0921835,-0.0601084,0.0925907,0.12337,-0.20137,0.291596,-0.0361445,0.0122862,0.0672021,0.0240973,0.206812,-0.0480362,-0.0471049,0.000436851,-0.10645,-0.0172938,0.00643307,-0.123219,0.101522,0.014966,0.193503
5,-80.4701,0.111909,-0.195847,-0.00835077,-0.0732414,-0.0156898,0.0522394,0.0456964,-0.0791105,-0.0463996,0.0438323,-0.176395,-0.0469385,0.046028,-0.0793407,0.158168,-0.0171864,0.0714639,0.0418835,0.0942855,-0.0772095,-0.140239,0.272855,0.125678,0.0749351,-0.171799,-0.151673,0.168878,0.152577,-0.217955,0.0439006,-0.158221,0.00681964,-0.0920887,-0.105768,0.103425,-0.0899199,-0.186122,-0.123737,-0.0577242,-0.00145372,0.0879849,-0.29389,0.019982,0.0306349,-0.00279419,-0.216215,0.148872,0.143311,-0.253414,-0.094834,0.0329565,-0.0872591,0.123452,-0.100362,-0.0709998,0.0356353,-0.134162,0.168295,-0.0991683,0.0723448,-0.114397,-0.0877114,-0.0159042,-0.0359529,-0.0228392,0.0118814,-0.0066926,-0.109761,0.0969727,0.18152,-0.075553,0.00389395,-0.102212
6,79.8687,0.215893,0.166585,-0.0765993,0.0199879,-0.0547645,-0.100867,-0.000523542,-0.0964457,-0.255193,-0.163778,-0.046927,0.0266454,0.00618087,0.0955654,0.0241229,0.106076,-0.187098,-0.113818,-0.14574,0.138026,0.141406,0.175223,0.0657235,0.111058,-0.126724,-0.12504,-0.156899,-0.0223667,-0.0425314,-0.0509342,-0.19758,-0.0383759,0.129785,0.00438027,-0.0568024,0.0642883,-0.0327564,0.143504,-0.136383,0.02054,0.0833593,0.235566,-0.211246,0.012676,-0.0398008,0.0776554,0.149462,-0.0597634,0.0216947,-0.23029,-0.0693278,-0.167987,0.0140022,0.113863,-0.107902,0.105123,-0.0161021,-0.0319319,-0.0655045,-0.24582,0.0272865,0.103908,-0.026,-0.0120502,-0.0356877,-0.173416,-0.152663,-0.1814,-0.0867672,0.109551,-0.0769312,0.0544961,-0.0363518
7,78.171,-0.111094,-0.0988332,-0.177757,-0.0275135,0.00611006,-0.0415718,0.0824733,0.185504,-0.061994,-0.0617401,-0.181176,-0.0644824,-0.0503957,-0.0656889,-0.0583681,-0.173893,-0.0957253,-0.00843378,-0.0617062,-0.147899,-0.207942,0.00435108,-0.144643,0.0480086,0.182249,0.0839571,-0.243094,-0.0995344,-0.0394953,0.180652,-0.15797,0.248524,-0.100497,-0.0680442,0.0773408,0.0679269,0.0218495,0.0574573,-0.115357,0.0678238,0.266009,-0.0549326,0.216141,-0.219393,0.0778132,0.165963,0.11883,0.0410182,0.110697,-0.016654,0.099527,-0.0908905,-0.124277,0.0208429,-0.0847504,-0.0192017,-0.0248707,0.0112944,-0.16147,-0.122128,0.0147581,-0.0382501,-0.0547502,0.0311417,-0.0260104,0.0161882,0.130977,0.144885,-0.229274,0.116733,-0.0180631,-0.105786,-0.0499057
8,-77.6362,0.0735205,0.157449,-0.183809,-0.247161,-0.0285701,-0.0785925,-0.00977418,-0.0684861,-0.0494117,-0.0317445,-0.0906195,-0.2227,0.0196857,0.231754,0.0183234,0.0768357,0.216786,-0.11806,0.0223879,-0.101527,-0.146349,-0.0828324,-0.020635,-0.159867,-0.183766,-0.0271069,-0.0616286,-0.213557,-0.140663,0.0101764,-0.026329,0.11574,-0.113568,-0.0653771,0.120998,0.0618581,0.0915343,-0.0403888,0.0161975,-0.107841,-0.214534,0.0506279,0.0161517,-0.0843923,0.243326,0.0537081,0.0691186,-0.0646831,-0.149414,0.122627,0.0477685,0.10258,-0.0386836,0.171754,0.203222,0.113507,-0.0536683,0.0968141,0.198484,-0.0838532,-0.0888876,0.00607658,0.195143,-0.243895,0.0558834,-0.0115244,-0.0471885,-0.0314119,-0.0288224,-0.0355217,0.0453524,0.0368926,-0.0398738
9,-75.7089,0.0245764,0.0405739,-0.155365,0.0438029,0.21888,-0.256173,0.0442192,-0.0766317,-0.121143,0.169766,-0.187916,0.147967,0.0342966,0.050569,0.227841,0.020307,-0.0332912,0.0175521,-0.116955,0.0145874,0.0179533,-0.0187455,0.0965602,-0.0779623,0.144718,0.0258686,-0.0602487,0.117496,0.0952049,-0.105604,0.0135082,-0.12154,-0.242784,0.0698336,0.220053,-0.098646,0.161011,0.146819,0.106383,0.157175,-0.152435,0.0974477,-0.102548,0.00932568,0.0844211,-0.0382973,-0.17055,0.0581941,0.0972511,-0.0663389,-0.0716408,0.0235962,-0.0575949,-0.0489487,-0.0643331,0.195682,-0.0416352,0.0239136,-0.101986,0.0792853,-0.156559,-0.130081,-0.00722527,-0.0085411,-0.0774262,0.325378,0.127601,-0.0537127,-0.0639374,0.162747,0.074748,0.0485535,0.0172469
