Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73
0,93.6302,-0.0782366,0.0139224,-0.103563,0.0111603,0.023999,0.136969,0.0967161,-0.218811,0.0324646,-0.181409,0.132026,0.0441945,-0.0621942,-0.138154,0.0881814,-0.0700993,0.0706783,-0.216576,-0.0374622,0.0112871,0.168692,-0.0317922,-0.0640792,0.11378,0.0757096,-0.0114464,-0.0047361,-0.0250236,0.0799471,0.0167764,0.213571,-0.0437146,0.0292987,0.15607,0.062766,0.0926637,-0.0382445,-0.0243971,0.172595,0.0248275,-0.181035,-0.00271339,-0.241074,0.0267452,-0.0997782,0.0352698,0.158477,-0.0975562,-0.112527,-0.0383277,-0.269503,-0.137851,0.337789,0.0819756,-0.106046,-0.0125455,0.0173768,0.0189502,0.05047,-0.00935588,-0.146086,0.202488,-0.12555,-0.0307618,-0.0216684,-0.00761035,-0.0476944,0.0513873,-0.043572,-0.0450858,0.194743,0.158214,-0.179447,0.155226
1,-90.8919,0.126348,0.0269586,-0.123056,0.00429807,-0.00958218,-0.136239,-0.056092,0.0812971,0.0235182,-0.104979,-0.11621,-0.123058,-0.053995,0.126714,0.0619977,0.0743214,0.0538624,-0.181142,0.339743,-0.10479,-0.0752021,0.0480658,0.160124,0.0700115,0.0610377,-0.100677,-0.0459593,-0.174708,-0.00816916,0.0251751,0.0781901,-0.080402,-0.00141081,0.103711,-0.114133,0.0668253,0.0649955,-0.0383757,-0.12447,0.0352066,0.047343,0.129654,-0.118591,0.0601486,0.1343,-0.26416,0.12795,0.0187884,0.167039,0.180211,-0.154553,0.148172,0.0263302,-0.107723,0.0425831,0.156567,-0.0838782,0.0757961,-0.145035,-0.184797,-0.174016,-0.0638762,0.0261887,0.29719,-0.165645,0.0675728,0.0872809,0.158069,-0.00851239,0.103857,-0.015438,0.0489097,-0.0659919,-0.0138192
2,88.6746,-0.027197,-0.169753,0.102538,0.193219,0.0389609,-0.083141,0.150193,-0.0738196,-0.0325499,-0.0899081,0.194877,-0.146983,0.201611,0.0934334,-0.173731,0.165534,0.126174,-0.1355,-0.0436357,-0.161956,-0.0733455,-0.0506912,-0.0235178,-0.0322006,-0.166154,0.132714,0.0197637,-0.143871,0.0208165,-0.166127,-0.0704113,-0.196948,-0.00156462,-0.0691497,-0.00538126,-0.00771053,0.013979,-0.169847,-0.113241,-0.15131,-0.0321164,0.117632,-0.108684,-0.0730682,-0.123538,-0.189929,0.0505191,0.0662742,-0.0782581,-0.187485,0.0297212,-0.0761009,0.140425,-0.235117,-0.00727338,-0.154676,-0.0299015,-0.0399948,0.0500399,0.00381765,-0.141535,-0.0902939,-0.00546372,-0.0575837,-0.0468433,0.0698921,-0.133282,-0.176255,-0.11634,0.0756767,0.0243758,-0.250143,0.136376,-0.00982833
3,-85.8609,0.0656466,0.0829273,-0.023766,0.0551557,0.0951125,-0.142643,-0.152245,0.148841,0.146658,-0.0707275,0.0668128,-0.078261,-0.158004,0.00659252,-0.0357835,-0.106647,-0.177248,-0.0135137,-0.0826394,0.104591,-0.177075,-0.100772,-0.0486662,0.0559735,-0.157513,0.0404056,0.108652,0.0803144,-0.0626298,-0.153967,0.0829887,-0.269281,0.0532604,-0.179747,0.199244,-0.201572,-0.11749,0.00366349,0.22436,-0.151024,0.0689777,-0.215634,-0.0810757,0.0597894,-0.100658,-0.0887558,0.00379112,0.00230651,0.154621,-0.0658265,0.0463111,0.210392,-0.024317,0.00015053,-0.140668,0.0030449,-0.173042,0.0389563,0.190585,0.12947,-0.0148272,0.0614623,0.0712595,0.0474306,-0.0398605,0.150003,0.118436,0.119533,-0.109456,0.100459,0.0982518,0.0583932,-0.164385,0.0163692
4,83.6326,-0.0220018,0.00840994,-0.109012,-0.102091,-0.24295,-0.176964,-0.00156438,-0.0296154,-0.0331111,0.00985571,0.148015,0.070896,0.252299,-0.0794834,-0.0392116,-0.0203478,0.035525,-0.120922,0.0313227,-0.0594911,0.0892043,0.153805,-0.0293113,0.00746122,0.207516,0.15775,0.1383,0.18057,-0.265768,-0.0716489,0.0795238,0.0188593,0.0531562,-0.291068,0.0511788,0.00662316,0.0952778,0.0473339,-0.0559794,-0.107433,0.030042,0.265864,0.0145345,0.0627856,0.0890229,-0.000261169,0.0768094,0.0348244,-0.19118,0.199735,0.0106556,0.159958,-0.158795,0.149135,-0.0458612,-0.243697,-0.0212729,0.0464392,-0.0948621,-0.0329616,0.0230803,0.0158069,0.0136926,-0.012091,0.0996189,0.112886,0.0132842,-0.0318374,-0.156096,0.0503934,0.0949306,0.0653306,-0.15887,0.0981947
5,82.2094,0.102034,0.196612,-0.0131126,0.227808,-0.0362395,0.00709645,0.0421092,0.114145,-0.00868328,-0.122556,-0.219833,0.113581,-0.0566216,0.0679048,0.116158,0.0146476,0.233626,-0.0172753,0.0941616,0.223546,-0.0366634,-0.0547048,0.00351105,-0.0239646,-0.00244469,0.17197,-0.0626094,-0.16215,0.00249972,-0.0643128,0.0678257,0.104342,0.128454,0.198998,0.183125,-0.00175439,-0.200375,-0.114267,-0.21872,-0.00853268,-0.0468455,-0.0395611,0.0902174,0.0145595,-0.0151005,0.0204046,0.0366745,0.307014,-0.15525,0.195781,0.0153182,-0.0318062,-0.0724319,0.0921688,-0.0293108,-0.00780875,0.1523,0.0716875,0.161243,0.186876,-0.0251139,-0.0658254,0.16592,-0.0623328,0.0346131,0.143938,-0.0171284,-0.139614,-0.114362,-0.0424729,0.163722,0.0110938,-0.0122297,0.00593229
6,-81.6221,-0.0988672,0.187123,0.0124868,-0.0480319,0.127021,0.0790391,-0.00896421,0.0736027,0.0791752,-0.121168,-0.199096,-0.105225,0.102721,-0.0883606,0.00553435,0.24331,0.141802,0.119901,-0.0869196,-0.147412,0.0876548,0.193107,0.187114,0.0881327,-0.122166,0.0241224,0.0624638,0.075556,0.0370689,0.179404,-0.0117425,-0.0999801,-0.0161481,-0.0937888,0.132604,0.0289863,-0.076768,-0.120445,0.0575087,0.0793805,0.130079,0.0276153,0.186382,-0.0390214,0.177242,-0.120274,0.213415,0.0443519,-0.00456327,-0.160347,-0.192647,-0.0285816,-0.0731114,-0.146393,-0.144728,-0.188715,0.0602513,0.207798,0.141339,-0.0173246,0.122578,0.166336,0.0792845,-0.0510347,0.0717656,-0.109487,-0.0662822,0.115292,0.0352188,0.0543968,-0.126285,0.132338,0.0448546,0.101446
7,80.1175,0.0691898,-0.0801512,0.312466,-0.24969,0.0778302,0.00174444,-0.107293,0.176197,-0.0196697,-0.202298,0.0646002,0.131608,0.119577,-0.275524,0.0724089,-0.0104155,-0.0229438,-0.0891394,-0.116537,-0.0261908,0.0275604,-0.12117,-0.0860215,0.22701,-0.109979,0.078785,-0.112039,0.135132,0.169997,0.112492,0.134715,0.136896,0.0680769,-0.118368,0.0640586,0.175047,-0.0120073,0.00552295,-0.050735,-0.0232281,0.0409675,0.0525157,0.0799666,0.017006,0.0288776,-0.0483069,-0.145883,0.0688828,0.0639168,0.142736,-0.11367,0.0760974,0.0239416,-0.0720778,0.00870011,0.156067,0.0193326,-0.13986,-0.00594058,-0.00447429,-0.0332416,0.170089,0.0951879,0.142813,-0.12256,0.127594,0.0573211,-0.1911,0.0342266,0.071969,0.0293898,-0.191015,0.142507,0.110402
8,-79.5501,-0.16685,0.00462241,-0.351789,0.222988,-0.00106071,0.0251472,-0.145261,0.0422893,-0.00258293,0.0393477,0.0308037,0.0728252,0.102821,-0.0489201,-0.0847746,-0.117128,0.0388375,-0.00683031,-0.172857,-0.0973338,0.0671165,0.112067,-0.115128,0.286527,-0.0275475,0.165149,-0.125465,-0.0420659,0.0675472,0.0811728,-0.080381,-0.173631,-0.104511,-0.0481512,0.00276856,0.00257292,-0.150916,0.210642,-0.207232,-0.13891,0.238566,0.0422728,-0.0125581,-0.0390248,-0.125846,0.0520107,0.0589221,0.0464207,0.0102672,0.164234,0.057365,-0.0775408,0.0915701,0.0533194,-0.00839952,0.183527,-0.119645,0.131391,-0.114834,0.0376742,0.0146122,0.0686106,0.0288917,-0.0689287,-0.138499,-0.0231837,-0.0336447,0.0487268,0.188483,-0.00765659,0.0231124,0.0703256,0.150055,-0.186489
9,-77.6132,-0.187159,0.261148,0.0856295,0.00727596,0.235648,0.0128076,-0.0781501,0.176566,-0.021039,0.190214,0.14307,-0.0172998,-0.0625954,-0.0673676,-0.0209052,-0.147798,-0.0573869,-0.135759,-0.157631,0.0915597,-0.00410661,0.162727,0.179197,-0.06713,-0.111804,0.09054,-0.0911844,-0.124247,-0.0375647,-0.00983127,-0.0067069,0.128124,0.189563,-0.0128007,-0.159937,0.0571278,0.23665,-0.119577,0.0673069,-0.0438027,-0.0505835,0.127185,-0.0939976,0.157913,0.0594721,-0.0603724,0.0538363,-0.142069,-0.110818,0.00445991,0.152887,-0.101814,0.0376251,-0.0671822,-0.0513294,0.00362598,0.146406,0.218959,-0.00798412,-0.00196729,0.169928,-0.00442007,0.0255266,0.103694,-0.170029,0.0694186,0.0726037,0.0612181,-0.104584,-0.178124,0.171435,-0.0717056,0.0516679,-0.127879
