Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74
0,97.088,-0.0667369,0.293457,0.0956061,-0.156189,0.024341,-0.229682,0.00258422,-0.10871,0.228,-0.250149,0.00488467,0.0236554,0.26601,0.0117913,-0.0513768,-0.102865,0.0354033,-0.137929,0.0901392,-0.132297,-0.0222394,0.11352,-0.121156,0.0182881,-0.110049,0.0785436,0.0178931,-0.111237,-0.0353366,0.285336,-0.0526877,-0.151729,0.00627954,0.0322616,-0.150861,-0.0792953,-0.179306,0.143706,0.042391,0.136354,0.166095,0.0247208,-0.00486076,0.0814562,-0.00448216,-0.0820607,0.163712,-0.0322434,-0.0743092,-0.149853,0.0681024,0.0339009,0.166823,-0.0227934,0.105018,-0.0213922,-0.0528767,-0.169271,-0.0602824,-0.040526,-0.111128,-0.00180315,-0.00165579,-0.0581511,-0.0500731,-0.185824,0.0124833,0.00579468,0.0504343,-0.0533609,0.0461829,0.0845231,0.119017,0.100609,0.150687
1,-95.8331,-0.106086,-0.0388766,-0.0493512,0.0437876,-0.193684,0.0543312,0.170232,0.174,0.266391,0.0825269,-0.151355,-0.146716,0.166767,-0.0958904,0.0552603,0.0441073,-0.00761612,0.10114,-0.0188798,0.0516221,0.100905,-0.0065477,0.172273,-0.149071,-0.0966629,0.0116192,-0.304289,-0.046214,-0.0617924,-0.0640241,0.019413,-0.204267,0.0434823,-0.0639856,-0.011887,0.132132,0.0446215,-0.0140212,0.0518572,0.0739162,-0.0100041,-0.0201631,0.223158,0.0320831,-0.000554259,-0.0084085,0.143059,0.0509497,-0.0234268,-0.05518,0.12606,-0.214134,0.000653665,0.0434468,-0.222047,0.0470133,-0.0160204,0.173853,0.0869261,0.018845,0.00540517,-0.175985,-0.0522111,-0.0943506,0.174914,-0.149059,-0.00239611,0.0429776,0.0913746,-0.0610822,-0.165227,0.141571,-0.0648187,-0.17307,0.181352
2,-90.7282,-0.132977,0.114243,0.0715507,0.238978,-0.120908,-0.0624997,-0.0172713,0.0247254,-0.0184308,0.0151445,-0.118705,0.13715,0.0551514,0.0624432,-0.108511,0.0866878,0.10193,-0.075679,0.0329644,0.219615,-0.0280992,0.147707,0.109561,0.0543585,-0.0803078,-0.124551,-0.018035,0.0839096,-0.122747,0.0202724,0.0784354,0.0223135,0.200693,-0.0471024,-0.0708592,0.114088,-0.0388721,-0.178952,0.000801463,0.081425,-0.0229776,-0.0561271,-0.112988,-0.239136,-0.10305,-0.111301,-0.166268,0.0395915,-0.169364,-0.100356,-0.0934087,-0.151709,0.215529,-0.156347,0.130624,-0.0531432,0.17371,0.000350584,-0.126967,0.114466,-0.0813621,0.0155508,0.200387,-0.00990655,-0.0260816,-0.107116,0.191452,0.177437,0.0647812,0.0834657,0.0583578,-0.082436,-0.225605,-0.0632503,-0.150162
3,-87.4662,0.138436,-0.0279443,0.0508328,0.287311,0.0388496,-0.00196263,-0.122601,0.00786139,0.00912751,0.068556,-0.00445928,0.0216605,0.119694,-0.0888387,-0.130523,0.167394,0.136553,-0.142722,-0.129099,0.0361556,0.302479,0.0288807,-0.0507147,-0.156727,-0.0395107,-0.0514789,0.157613,-0.198408,-0.0377673,-0.191416,-0.171594,0.0479256,-0.0179155,0.0542102,-0.0257584,-0.0405161,-0.0973327,0.137597,0.0416822,-0.0788554,0.181456,0.157334,0.0701378,-0.0914868,0.0606273,-0.188736,0.0968314,-0.00579864,-0.192146,-0.0071776,0.0534872,-0.0941894,0.0502586,0.106819,-0.0954981,0.167735,-0.0584764,0.114345,-0.0106807,-0.21421,0.152688,0.259196,0.0701181,0.0123048,-0.163113,0.00591776,-0.0433134,-0.106458,-0.0753129,0.146975,-0.0454251,0.0351424,0.0189466,-0.01931,-0.0194697
4,86.7554,0.130982,0.153313,-0.00462718,-0.166008,0.085325,-0.0257182,-0.0526494,0.0475036,-0.0498689,0.235391,-0.234331,0.128596,-0.0133693,-0.0410521,-0.0867154,-0.0536295,0.00033329,-0.0871738,0.0197847,-0.126195,-0.152713,-0.0169223,-0.0463681,0.017763,0.0557027,0.105211,0.12087,-0.0477998,0.053006,-0.251413,0.209941,-0.103931,-0.0479721,0.071756,0.18744,-0.0525257,0.0756001,-0.0233057,0.0304421,0.0257963,-0.00669044,-0.000416296,0.180585,0.081282,0.132187,-0.153673,-0.0311107,-0.184241,0.111542,-0.229929,0.125203,-0.0326265,-0.0223056,-0.0626847,-0.0378213,0.0778876,0.325731,-0.050345,0.0699627,-0.148995,-0.111743,0.0992654,0.0375963,0.0409283,0.0354657,-0.0866447,-0.0543503,0.279937,0.171513,0.0998917,-0.0893761,-0.113511,0.0313988,-0.017059,0.00405151
5,86.0743,-0.0194215,0.0130073,0.136747,0.074391,-0.137615,-0.0321774,-0.0819432,-0.024501,-0.0702749,0.0283702,0.0792448,0.161956,0.11539,0.0256248,0.129097,-0.185805,0.0293731,0.118089,-0.0406452,-0.0233792,-0.0820149,0.0564239,-0.0287751,-0.0395273,0.0686337,-0.139932,0.106984,0.099414,0.128303,-0.0111196,-0.0730112,0.0482936,0.173453,0.200119,0.05922,-0.0366298,0.0745621,0.0415016,-0.152424,0.142368,0.0873222,-0.145736,-0.117768,-0.0271311,0.105809,-0.223712,-0.19879,0.00732022,0.191826,0.0200679,0.0763194,-0.315398,-0.0538873,-0.0060867,-0.0289359,0.165873,-0.105341,0.167123,-0.0719305,-0.11376,-0.146707,-0.0104677,-0.232258,0.0332415,0.00536446,-0.0351612,0.134773,-0.157194,0.0236786,-0.218349,0.0861374,-0.0530367,0.163498,-0.153085,0.122075
6,84.4551,0.0021244,0.139842,-0.0995596,0.0245432,0.0381672,0.119459,-0.0290755,-0.150053,0.0331744,-0.0471626,0.19816,0.149584,-0.0362828,0.0474463,0.164143,0.110174,0.164037,0.0345191,-0.111815,0.124717,-0.00448409,-0.153171,-0.150054,0.150836,0.11822,0.145802,-0.13103,-0.0729685,-0.0355576,0.0127101,0.0244344,-0.0416879,0.0233971,-0.118497,0.0373145,-0.233857,0.054392,-0.0252697,0.163328,0.149488,-0.0568374,-0.370644,0.0432371,0.165333,0.183818,-0.0198516,-0.0678997,-0.0818213,-0.296175,0.0958091,-0.0615218,-0.072407,0.0561754,0.234254,0.0803214,0.0727844,-0.0900188,0.0376898,-0.0757604,0.0500718,-0.0187179,0.0999064,0.0602731,-0.031479,0.105876,0.0860874,-0.0214626,0.0656027,0.156791,0.0904391,-0.0938645,0.0388432,-0.00935849,-0.149893,0.0279237
7,-79.7288,-0.00873233,0.0731608,-0.216137,-0.0068802,-0.0570206,0.0852998,-0.00428516,0.0704155,-0.0180574,0.019581,0.14252,0.016937,-0.0637956,0.0186288,0.120119,-0.148134,0.0387209,-0.0711024,0.109099,0.156123,0.0515096,0.0561045,0.0633387,0.0676809,-0.0240673,0.00746175,-0.0691763,-0.165786,-0.0549127,0.0133473,-0.00553472,-0.0800913,-0.0577353,-0.128405,0.299203,0.191315,-0.0681598,0.225402,0.193096,-0.123702,0.0218162,-0.0115926,-0.246449,0.0488716,-0.00106727,-0.00898058,-0.0460348,-0.0137584,0.0750823,-0.171136,0.264209,0.119252,-0.11993,-0.205506,-0.00894836,0.214345,-0.123621,0.102291,-0.125353,0.0213445,0.0157036,-0.0327057,0.0587423,0.165207,-0.12197,0.0356869,0.151139,-0.0439183,0.182181,0.122126,0.168263,0.0581549,-0.128889,0.0827433,0.102856
8,78.6693,-0.12147,0.0938423,0.0654479,0.0998874,0.0437933,0.150089,-0.0690747,-0.174395,-0.0891658,0.133989,-0.0481325,-0.10996,-0.0753207,0.00687237,0.204285,-0.0314164,-0.056093,-0.125999,0.211511,-0.114481,0.10243,0.229091,0.139826,0.191014,0.107866,-0.197317,0.00143229,-0.140802,-0.0889177,0.0014305,-0.0432509,-0.0831613,0.00821896,0.0751435,-0.012235,0.0767988,0.12235,-0.170687,0.19119,0.147516,0.0214263,0.028776,-0.0443296,-0.134602,-0.0645544,0.0307607,0.120456,-0.148471,0.0697378,-0.144428,-0.000710302,0.0106157,0.0366224,0.247065,-0.064113,-0.0321455,-0.118821,0.0269154,-0.029122,0.0126834,-0.24653,0.0704501,-0.158462,-0.0771547,0.136516,0.0926633,-0.0818054,-0.0959548,-0.0981435,0.137607,-0.162833,-0.0975803,-0.00419819,0.199077,-0.0147978
9,-75.4074,0.0197788,0.0920329,0.00720087,0.125051,0.168857,-0.119447,0.12566,-0.0373488,0.0314543,-0.0697735,-0.0621619,0.03452,0.0392677,0.131121,0.0789107,-0.106386,-0.0847797,0.11616,-0.0929753,0.121232,-0.0239651,0.113759,0.068014,-0.0858803,0.187069,-0.123905,0.04656,-0.00486534,-0.0541218,0.081034,0.109942,-0.086605,-0.303979,-0.184202,-0.146718,0.087025,0.0239157,0.0824957,-0.0441445,0.0744837,0.128736,0.0494861,0.160946,0.112594,-0.0678803,-0.134889,-0.147681,-0.064874,0.176614,0.0545216,0.00789616,-0.0806554,-0.110715,-0.0168173,0.0354624,0.0428845,-0.131086,0.149438,-0.0401165,0.136888,-0.0694327,-0.0267246,0.221326,-0.194585,-0.228291,0.151447,-0.332527,0.10193,-0.0401386,0.0495287,0.0404291,-0.12975,-0.0270122,-0.108182,-0.0282242
