Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75
0,95.2037,-0.0775984,-0.0396496,-0.0029916,-0.183522,0.150666,0.0800006,-0.0615477,-0.0904464,0.132619,0.0222321,-0.0150218,0.00565501,-0.0823373,0.0024938,0.0117821,0.083623,-0.166584,-0.0100775,0.123758,-0.250995,-0.0781196,-0.00382855,-0.159295,0.0075322,-0.085499,-0.0102936,-0.183903,0.00306765,0.036762,-0.170338,0.0353927,-0.158235,0.0916579,0.14311,-0.0234728,-0.00877866,0.0831643,0.0466524,0.22193,-0.145936,-0.0437167,0.0475846,0.132555,0.0578199,-0.17592,0.13247,0.201721,-0.0218026,0.206807,0.0341422,-0.178834,-0.225632,0.0951122,-0.0392482,0.0499111,-0.122894,-0.123917,-0.0250254,-0.0272529,0.127922,0.0667547,0.0618328,-0.0789023,-0.0723264,-0.0596985,-0.21762,0.109957,-0.0600747,0.0889808,-0.181379,-0.09815,0.0715316,0.213506,0.0685272,0.207441,0.050352
1,-93.8675,0.138683,0.114152,0.0222448,0.0432618,-0.11058,-0.141552,0.0300175,0.0694966,0.0671646,-0.164192,0.205916,-0.139289,0.146018,-0.142321,-0.0484077,-0.0384082,-0.164262,0.106344,-0.0792633,-0.0191983,-0.0953642,0.118833,0.0611921,-0.076108,0.0302454,-0.0262013,-0.0970213,0.0759232,-0.0813802,0.173632,-0.166288,0.225409,0.125642,-0.0432602,-0.216739,-0.082257,-0.0906178,0.112218,-0.0087117,-0.0499895,-0.106076,-0.140344,0.0792234,0.182025,-0.173157,-0.146057,-0.120619,-0.0511719,0.23832,0.00280829,-0.221643,-0.0595697,-0.128263,-0.0765408,-0.139281,0.097595,-0.0523618,-0.0141831,0.0421788,0.0253807,-0.00430956,-0.110804,0.187584,-0.0895431,-0.00452329,0.00205559,-0.0816562,-0.135458,-0.152143,-0.113781,-0.00394524,-0.162843,-0.0311003,0.121451,0.123228,0.0723208
2,93.6187,0.234587,-0.0792715,0.179399,0.0033356,0.109231,0.12916,0.0822573,-0.1821,0.0550678,-0.00272362,-0.149311,-0.0981558,-0.0528676,-0.0229693,-0.12695,-0.12397,0.105293,0.0394577,-0.0492118,0.0944443,0.0497201,0.0450574,0.130283,-0.0208677,0.161923,0.119166,-0.0888563,0.0625314,0.0147877,-0.103543,-0.162845,-0.0668941,0.0427775,-0.115167,0.15668,-0.000574977,-0.066097,-0.0693266,0.0259839,0.0672808,-0.234181,0.000324823,0.0766815,-0.0959523,-0.0598667,-0.0783272,0.0927667,0.162036,-0.0110921,-0.116435,0.0436685,0.157815,0.0850578,-0.117493,-0.0693792,-0.0227075,-0.102181,0.00953207,0.312757,-0.159483,-0.120704,-0.0972662,0.0253336,-0.0134393,-0.0798887,0.00199553,0.112444,-0.0736283,0.287485,-0.0863498,-0.214727,-0.0705508,-0.0881868,0.165807,0.135681,-0.121555
3,-90.3548,-0.0340562,-0.107778,-0.102988,-0.0320474,0.0672301,0.0928699,0.118843,-0.0369617,0.066266,-0.166978,-0.0543062,-0.126428,0.162625,-0.103234,-0.16057,0.0110731,0.187242,0.321127,0.0529941,0.114844,0.0336638,0.0397766,-0.194056,-0.0903131,-0.125792,-0.171275,0.0983107,-0.129449,-0.214866,-0.148262,0.0155811,-0.0258423,-0.00535637,0.0778273,0.014368,-0.217507,0.0305098,0.139838,-0.191491,-0.181555,-0.0890977,-0.0554196,0.0783635,0.079738,0.00620268,0.159224,0.0430468,0.0969156,-0.0209147,-0.138363,0.0802019,0.179559,0.0450407,-0.0663696,0.0298067,0.00433496,0.162246,0.037568,-0.0813067,0.0931589,0.0612123,0.227938,-0.0189247,0.0112334,0.0713935,0.00711908,-0.0486153,-0.0358585,-0.174284,-0.104671,-0.174015,-0.0343965,0.0165532,0.0654603,-0.0805911,-0.167554
4,88.6454,-0.0153921,-0.138517,0.125275,0.0434034,-0.111651,0.134436,0.0298126,-0.163202,0.119523,-0.0466584,-0.112252,0.1248,-0.0357854,0.0368477,0.0899592,-0.0214691,-0.0135549,0.0201634,-0.0246334,-0.0717521,-0.105845,-0.0701602,0.0200956,-0.115066,-0.0588864,-0.0935487,0.0843558,-0.110955,-0.192911,0.0554,0.0747468,-0.0503673,-0.0210816,0.109827,-0.153003,0.0670792,-0.069971,0.243593,0.0575992,0.100666,0.0100781,0.0132713,-0.197271,0.0565496,-0.0165399,-0.0165877,0.0180507,-0.0322874,-0.260813,0.106699,-0.120877,0.15344,0.0322089,-0.109259,0.083201,0.270782,-0.0266254,-0.064027,0.106869,0.0820824,-0.00906785,-0.221399,-0.138598,-0.342506,-0.1189,-0.0508598,-0.237594,-0.191883,0.110468,-0.0321787,0.0843698,0.0375376,0.0804325,-0.0794053,-0.0164396,-0.0797042
5,-87.5053,0.00661471,0.119018,-0.102001,0.0655058,-0.193981,-0.0339302,-0.0697408,-0.0566963,-0.00329615,-0.0555924,0.111192,0.0340794,-0.110522,-0.232241,-0.051514,0.0242632,0.0824384,0.0846931,-0.0232899,-0.155351,-0.0540642,-0.0284664,0.0528659,-0.114753,0.0218249,-0.0882074,-0.0263502,-0.14138,0.221102,-0.102342,-0.188966,-0.0156453,0.106318,0.00450609,0.00548237,-0.0829238,0.167561,0.0557831,-0.0961409,0.115041,0.119413,0.135978,0.0625335,0.187092,-0.0291146,0.174374,0.105606,-0.178062,-0.015766,-0.00842995,-0.00576674,0.094142,0.160442,0.0812402,-0.0571728,0.0723601,0.100712,0.244341,0.00659825,-0.225007,-0.131809,-0.0520841,-0.166532,-0.00679741,0.0433141,-0.272206,0.0330804,0.0152531,0.144685,0.069015,0.135341,-0.0334428,-0.166657,0.198756,-0.142206,0.0978481
6,-84.2531,-0.11817,-0.0265789,0.0480119,0.101246,-0.0631104,0.0293952,-0.244224,0.00330475,0.135517,0.0837443,-0.119027,0.122548,0.0953401,-0.0921351,-0.0807277,-0.0112417,-0.0604888,-0.00432018,0.0633993,0.0167852,0.0529214,-0.149785,0.0607951,-0.184912,0.191623,-0.132849,0.112004,0.0721769,0.027742,-0.084955,-0.130894,0.024699,-0.183718,-0.280739,-0.0465421,0.142249,0.120389,-0.0345737,0.0961944,-0.315771,-0.113744,-0.017677,-0.0587065,0.183858,-0.0280596,-0.0385776,0.115528,-0.0686283,0.0705539,0.164559,-0.00670586,0.0471999,0.048544,-0.00154782,0.135929,0.14898,-0.084893,-0.120955,0.016944,0.0141936,0.0303378,0.141983,0.0851703,-0.0187842,0.168983,0.154314,0.185198,-0.000455251,-0.0410486,-0.0416449,0.154766,0.15965,-0.177129,0.0520839,0.0430958,-0.161957
7,79.4495,0.0277327,0.155261,-0.106087,-0.101707,-0.158874,0.118037,0.131756,-0.149479,0.101973,0.331637,0.152677,-0.102356,-0.0393304,0.14412,0.16614,-0.0575502,-0.0456068,0.0140819,-0.049762,-0.0250848,-0.0799584,-0.0749876,0.0497772,-0.00299495,-0.0991041,-0.0954157,-0.126561,0.0634327,-0.141028,-0.0010172,0.114038,0.132242,-0.162654,0.0373216,0.272243,0.0542787,-0.103,0.000811602,-0.0560796,0.078638,-0.0366051,-0.119407,0.0480258,0.174229,0.0232813,0.146106,-0.0918634,-0.0168906,-0.193569,-0.0515968,-0.238379,0.0390962,-0.0773244,-0.0231879,0.0927588,-0.0955922,0.0584591,0.130074,0.142676,0.0489193,-0.101051,0.117447,0.071716,0.0838612,0.0368547,-0.0386151,0.268107,-0.173513,-0.0987615,-0.038533,0.0934132,0.0614622,-0.135744,0.00428434,0.0526426,-0.0498183
8,77.9299,0.0239827,-0.106551,0.144642,0.139131,-0.065554,0.014304,0.122932,0.0753466,0.106704,0.0194241,-0.0138835,-0.0139416,-0.0746294,0.0179914,0.0619329,0.21352,-0.207758,-0.186985,-0.137588,-0.0304593,-0.0724363,0.0239115,-0.145125,0.150501,0.0914581,-0.0569102,-0.0214105,0.161663,0.00456829,-0.11878,0.119673,0.153097,0.0313897,-0.0431754,0.0323264,-0.146404,-0.085679,0.0760508,0.0535785,0.144877,-0.120891,0.146272,0.0297191,0.00315462,-0.0846188,-0.0427294,0.00152913,0.0478658,0.0547684,-0.261971,0.163836,0.0305024,0.245794,0.137535,-0.0349376,0.0349891,-0.180721,0.112626,-0.122306,0.163436,0.115682,-0.034448,-0.0505556,0.0319106,0.20127,0.00995392,-0.0297609,-0.133526,-0.0627779,0.0778302,0.163724,-0.0328757,-0.0281851,0.165137,-0.143496,-0.273376
9,-76.6286,0.0923304,-0.107933,0.0651196,0.1918,0.140709,-0.0796669,0.131611,-0.0648217,0.0359981,-0.0824477,0.246234,0.141942,0.0620924,0.105318,-0.189372,-0.188762,0.0930138,-0.1575,0.0514098,0.112988,-0.0892993,-0.16124,0.0274067,0.0474714,-0.0960529,0.216478,-0.00384329,-0.105488,-0.0685559,0.0857998,0.0371102,-0.0990771,0.0762417,-0.0839978,0.043718,-0.0622515,0.295125,0.0822639,0.0877845,-0.0024003,0.0275625,0.14165,0.0438663,0.0655187,0.0370946,0.151137,-0.0685444,-0.21433,0.033122,-0.163792,-0.0711486,0.0792713,-0.179558,0.005072,0.0738059,0.096382,-0.0810371,-0.015397,0.0302293,0.00891372,0.19121,-0.144345,0.0692432,0.243903,0.0775356,-0.118799,0.0627445,-0.0292447,0.00230516,-0.169235,0.082601,0.0627034,0.00330803,-0.128714,0.0395897,-0.138355
