Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76
0,94.7233,-0.0915871,0.095117,-0.23363,-0.0935336,0.1967,-0.0230547,0.0190899,0.12499,0.0774875,-0.0162496,-0.00219608,-0.0436678,-0.0448306,0.121625,0.0678256,-0.0688236,-0.0480276,0.113993,-0.149039,0.024776,0.201102,0.0393461,0.0313751,-0.114455,0.075673,-0.229639,-0.00962707,-0.0761398,-0.0457027,0.115341,0.0632581,-0.0453932,-0.00269296,0.238063,0.104873,0.10254,0.0810105,0.0658313,0.0312415,-0.118507,0.00358354,0.208587,0.0284878,-0.192895,-0.135788,-0.0565643,0.0717409,-0.0861773,0.100471,-0.0155714,0.0412347,-0.0425284,-0.0308625,-0.101197,0.168484,-0.00889501,-0.0727369,0.0269816,-0.226746,0.156198,0.0542535,-0.056989,0.00232393,0.183254,-0.0151337,0.1446,-0.308329,0.188947,-0.0780515,0.0907949,-0.0821114,0.0266811,0.226531,0.135785,0.00404424,0.0909624,-0.0545955
1,-93.2295,0.137299,0.0430419,0.0743812,0.00770846,0.206275,0.080466,-0.0904816,-0.0124747,0.0824818,-0.138715,0.0139763,0.0533276,0.00467007,0.184288,-0.0510762,0.166383,-0.0416934,-0.0305567,0.035049,-0.211663,0.087858,-0.259272,0.109679,-0.0436949,0.0913131,-0.0632726,0.101016,-0.196333,-0.121985,-0.141971,-0.0355346,-0.0396772,0.0041779,0.117649,-0.0596374,0.0586204,0.0410038,0.0393408,0.0936876,-0.11438,0.0995429,-0.148126,-0.00326026,0.224553,0.0209532,-0.126146,0.00911217,-0.139735,-0.17324,-0.186076,0.0157121,-0.0715636,-0.0610592,0.0767489,-0.137949,0.131063,-0.237852,-0.122653,-0.00852008,0.0884574,-0.145814,-0.132105,-0.188536,0.0121476,0.200785,-0.0187698,0.0277181,-0.03791,0.101637,-0.050717,-0.166381,0.0440949,-0.0478925,-0.0824332,-0.222175,0.0929224,0.00240279
2,91.4818,-0.213601,-0.018229,0.0544546,0.0718852,0.0499962,0.114815,-0.244075,0.0784485,0.0396899,0.0816483,0.014561,-0.0947229,0.0125878,0.214939,0.120517,-0.0849877,-0.0694415,-0.0140821,0.139739,0.0926735,-0.161118,0.106926,-0.0727603,-0.183123,0.149598,0.0511323,0.110466,-0.0185736,0.190142,-0.00978473,-0.00732811,-0.113014,-0.0594098,0.0106817,-0.0910948,0.095362,0.0766095,-0.0157147,-0.233879,-0.149838,-0.0781747,0.0347049,0.0441709,0.0378075,-0.247112,-0.0941057,0.0103668,-0.0969632,0.0748175,-0.00390569,-0.0242811,0.0208955,0.0867802,0.0804169,-0.221318,-0.230509,0.0667861,0.191366,-0.0861319,0.0437786,-0.236316,0.0850171,-0.102772,0.146196,-0.00212439,0.00823198,0.052367,-0.078991,0.0497777,-0.147642,0.0859678,0.0980894,-0.0367062,-0.0225315,-0.0653513,-0.25197,0.020797
3,-88.658,-0.099549,0.13037,-0.179396,0.0113418,0.0537095,-0.0990158,0.120235,-0.0423634,0.0487552,0.00609039,-0.331967,-0.163117,-0.00346238,0.0889087,-0.181339,0.0147463,-0.0557258,-0.0819341,0.0103294,-0.0312989,-0.0761163,0.0486791,0.0158306,-0.00816319,-0.206222,-0.0686554,-0.0715274,-0.193162,0.124277,-0.00909988,0.123147,-0.0818255,0.0433127,-0.192211,0.012405,0.220795,0.0379508,0.0868378,-0.148395,0.0985024,-0.0197321,-0.0902224,-0.0228617,0.0949718,0.0704791,0.0361342,0.00329244,-0.023403,0.0504841,0.00555864,0.00240489,0.107645,-0.0858255,-0.00566315,-0.165215,0.216484,-0.000554217,-0.0374876,0.161964,-0.0948305,-0.195972,-0.114296,0.0709659,0.161127,-0.212678,-0.10664,-0.0232199,0.131054,-0.0110606,0.290706,-0.0742628,0.0988207,0.0362646,-0.0843747,0.00671507,-0.123132,-0.138283
4,85.7992,0.0878574,0.0345597,-0.124789,-0.158042,0.0605667,-0.063225,-0.0202886,0.0829533,0.0302747,0.0547649,-0.0161618,0.178398,0.0787792,0.111053,-0.0741173,0.0052615,0.000227877,0.0425261,-0.0320932,-0.0518009,-0.000197348,0.00173696,-0.14914,0.0379725,-0.155163,0.0370694,0.0403008,-0.140044,-0.210811,0.107457,-0.105489,0.247267,-0.148583,-0.0395053,0.0735847,-0.0524345,-0.14436,0.213417,-0.0760702,-0.0296609,-0.127308,0.0146126,0.18371,0.202604,-0.0393327,-0.284524,0.201629,0.294763,0.00257352,0.191822,-0.0970674,0.059956,0.0326034,-0.0205818,0.140594,-0.0973945,-0.119626,0.0464918,-0.0196437,-0.146844,-0.156248,0.179813,-0.0588422,-0.0863558,-0.100097,0.0858209,-0.115535,-0.0965173,0.119368,0.0488201,0.0480234,0.0657231,-0.0620287,-0.0358783,-0.0598278,-0.0665462,0.0464283
5,83.1783,-0.101797,-0.165772,0.0184348,-0.147841,-0.0108986,0.0383681,0.0875055,0.0124604,0.185677,0.162282,-0.0720304,-0.0566281,0.197668,-0.102518,0.000721544,0.0188674,0.0101224,0.0644268,-0.0838434,0.196324,0.043244,0.169682,0.117186,-0.0248122,0.188196,-0.070753,0.014484,0.0268423,-0.158496,-0.0681889,0.101288,-0.00671607,0.168006,-0.155088,0.0622532,0.0262207,-0.066419,0.0206144,-0.021849,0.137955,-0.2341,-0.113347,-0.108173,-0.00755547,-0.0374282,-0.0144653,0.125214,0.0886585,-0.219269,-0.104914,-0.0221441,0.0926481,-0.0698784,0.0920713,-0.037676,-0.0153183,-0.128921,-0.0102148,0.0587874,0.167193,-0.245335,-0.0432918,-0.147827,0.0673991,0.0084876,0.174842,0.052682,0.00220169,-0.174841,0.00313327,0.149561,-0.262296,-0.141953,0.155287,-0.0199416,0.172437,0.00825401
6,-82.1253,0.126778,0.0632786,0.255435,-0.0782684,-0.0806433,-0.0509516,-0.0821302,-0.0293237,0.0602901,0.169011,0.0629557,-0.00881832,-0.212193,0.039113,-0.0365356,-0.163886,-0.0606132,-0.0913687,0.0751383,0.0271297,-0.0854381,-0.0854203,0.0645263,0.075134,0.120698,-0.136794,-0.17036,-0.0273045,-0.04113,0.0320925,-0.0291013,0.23738,-0.0914221,-0.029285,0.0953658,0.156744,-0.0331816,-0.180344,-0.00188624,0.0380084,-0.0436678,0.0990721,-0.195081,-0.0334561,-0.0215034,-0.0492544,0.112509,0.000460981,0.207868,0.19126,-0.19994,-0.00923189,-0.0509859,-0.136315,-0.15343,-0.0579664,0.144698,-0.00525916,0.180602,0.0227894,0.00399172,-0.248133,-0.153758,-0.0405472,-0.0375676,0.161155,-0.0267647,0.00398134,0.0337924,-0.0362932,-0.0461063,0.0946004,0.0222914,-0.0065546,-0.183633,0.20055,-0.213653
7,-80.6266,0.0534309,-0.168547,-0.0932279,0.0594474,0.15534,0.0682153,0.112142,-0.0501814,0.0668201,0.0221275,0.0629059,-0.0541232,-0.000948236,0.0685179,0.157509,-0.0730033,-0.309797,-0.0104026,-0.000592523,0.029934,0.0809236,-0.155231,-0.106833,0.0633942,-0.0384556,-0.199603,-0.0363706,0.0327095,-0.165828,-0.0348743,-0.139077,0.0413269,-0.127945,-0.259248,-0.128666,-0.0225798,0.084542,0.181265,0.0395003,0.113184,-0.158264,-0.150236,-0.115587,-0.0428975,0.0296334,0.0921403,-0.186283,-0.0519123,0.0603626,-0.0259605,-0.09421,-0.228,0.0399515,-0.110362,0.148478,-0.212421,0.176013,-0.116276,-0.0991056,0.0720816,-0.165857,-0.0322624,0.20147,0.0261604,-0.06112,-0.06127,0.143741,0.139475,0.0316969,-0.027953,-0.032401,0.0114271,-0.00886889,-0.0503428,-0.140284,-0.0506607,0.118011
8,78.1872,-0.0881203,0.14251,-0.206937,0.0361928,0.252294,-0.0561173,0.101474,-0.0436534,-0.203338,0.126187,0.178811,-0.0554687,0.0472504,0.0622556,-0.262217,-0.0192156,0.0216833,0.100703,0.186112,0.169951,0.110468,0.0257828,0.141241,0.200557,-0.0904457,0.0489286,-0.097028,0.0701073,-0.0471398,-0.103969,-0.171839,-0.0463451,-0.0809917,-0.0683692,0.0931721,-0.170685,0.0507346,-0.098282,-0.121588,0.00274167,-0.125521,0.00788444,0.113785,0.0575222,-0.00535576,0.102918,0.0524687,0.164825,0.0811024,0.0414901,0.0372413,-0.0583885,-0.00689695,0.0486659,-0.141503,0.0332952,0.0116671,-0.0305618,-0.0982482,0.0738207,-0.0266242,-0.110263,-0.0415783,0.135051,0.164838,-0.183338,0.0372835,-0.143302,0.0768747,-0.225176,-0.113722,-0.0883334,0.101096,0.148177,0.0547951,0.0482011,-0.180415
9,-76.195,0.0394687,0.102463,-0.00109777,0.0372645,-0.128691,-0.0767638,0.113245,0.156243,-0.0597751,-0.0989226,-0.103306,0.23667,0.0908255,0.112963,-0.0324796,-0.199906,0.0878708,-0.0350684,-0.0315319,-0.0382819,-0.179485,-0.0101165,-0.00307854,-0.247568,-0.058372,-0.135686,0.274078,0.156382,-0.128813,-0.135095,-0.214639,-0.050044,-0.0868082,-0.0343274,0.00699344,0.214811,-0.089455,-0.0287463,0.0780903,-0.155025,0.0228628,0.0768902,-0.177288,0.103574,-0.0653411,0.159329,0.0120179,0.123161,-0.0148436,0.0315094,0.0341051,0.0758843,-0.0900607,-0.126522,0.0724155,-0.00513051,0.062963,-0.187759,-0.0487611,0.140368,0.0321939,-0.110783,0.0768085,0.223882,-0.00223753,0.037551,0.0820159,-0.19638,-0.0362007,-0.0212226,-0.0728558,-0.0906721,-0.147363,-0.0222759,0.173067,-0.0627581,-0.0356803
