Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77
0,-102.772,0.00737994,-0.00247738,-0.027459,-0.200923,0.0356417,-0.132525,0.0611708,-0.00509324,0.0832634,0.155389,-0.0883539,0.0998217,-0.00304401,0.127965,0.111205,0.28031,0.114171,0.138707,0.021462,-0.0487979,-0.0303226,-0.05074,-0.0969759,0.125232,-0.0460483,0.0341894,0.0994849,0.00177971,0.00324046,-0.160042,0.12256,0.130914,0.0224337,0.0640792,-0.191807,-0.0956303,0.161673,-0.138416,-0.0748266,-0.0719298,-0.0822946,-0.0252416,0.0425082,0.0499295,0.0210749,0.0169382,0.09326,-0.244745,0.14237,-0.03015,-0.0879069,-0.161188,-0.0137616,0.276847,-0.0344706,-0.0124511,0.2018,0.170086,-0.239604,0.0491105,-0.0987515,0.0273214,0.102695,-0.159149,0.0738838,-0.0473676,0.1287,0.00157356,0.0258883,0.146832,-0.114753,-0.200471,0.118014,-0.00427401,0.0428349,0.106357,0.0190935,-0.146604
1,96.2155,0.113269,-0.087683,-0.0836191,0.31049,-0.0993482,-0.145754,0.0303577,-0.124099,0.109894,0.0891216,-0.0334109,0.0664212,-0.0641512,0.0545921,-0.0134343,-0.125496,-0.00344245,0.000828532,0.0409514,0.0155148,0.163544,0.0966119,-0.122067,0.127438,0.0452824,0.165342,0.191354,-0.171639,-0.0551882,0.00100057,0.071656,0.0310983,-0.0232676,-0.148291,-0.0460645,-0.0413475,0.066154,-0.0147682,0.0194886,-0.0445059,-0.0793103,0.159094,0.250747,-0.0361354,-0.0769188,0.0443051,0.00797032,-0.0144143,-0.11402,-0.0133388,0.232499,-0.017153,-0.102488,0.0739393,0.0867541,-0.169879,-0.0440809,-0.0199477,0.176415,0.131135,0.0852537,0.109345,-0.0852463,-0.197105,0.0642488,0.156555,0.11623,0.208189,-0.181717,-0.108312,0.0153621,-0.162783,-0.0640266,0.0207459,-0.0620004,-0.0292345,0.23012,0.118389
2,-94.3339,-0.027502,0.0320916,0.311811,0.0337234,-0.114037,-0.0116188,0.172625,0.0379868,-0.0430502,-0.158398,-0.0229708,-0.00109181,-0.0412672,-0.0611696,-0.0087571,-0.0697514,0.0321937,0.163537,0.030263,-0.0182512,-0.0839714,-0.26461,0.0310667,-0.0370785,-0.15106,-0.00513187,0.13796,0.0998617,0.0806534,-0.108781,-0.153526,0.0344262,0.0640891,-0.0514346,0.0689336,0.0321862,0.198768,0.0609412,-0.141915,-0.0834368,0.0916287,0.0263486,0.271091,-0.137651,-0.21477,0.0119585,0.0886794,-0.138351,-0.0877359,0.161071,0.155473,-0.0648265,-0.0140748,-0.0141285,0.111255,0.0749228,0.0286283,0.113028,0.0399925,-0.184577,0.151911,-0.0151492,0.050143,0.06646,-0.085423,-0.0737903,-0.232175,-0.150598,-0.22672,0.0667223,-0.0579347,-0.0836922,-0.110193,-0.0334561,0.138314,-0.0647524,-0.0266029,-0.0617939
3,90.274,-0.0610592,-0.0568439,0.0545392,0.141186,-0.0791926,0.171026,-0.186206,0.123977,-0.072353,0.0301156,-0.0137721,0.164545,-0.113109,0.0735518,0.231001,-0.0175232,-0.12385,0.0660892,0.15871,-0.0914865,-0.0383087,0.127875,-0.172618,-0.271019,-0.169128,0.00794657,-0.00964672,-0.0771541,0.103886,-0.0747511,0.149943,-0.166927,0.0311387,-0.00641996,-0.115328,0.108632,-0.102218,0.0133243,-0.183431,-0.0878534,-0.0744956,-0.220052,-0.000409423,-0.0176533,-0.00557309,0.116999,-0.0383162,-0.0531678,-0.058936,-0.13772,0.0338435,0.0331768,0.0213861,0.0799396,0.0587222,-0.0885705,0.24492,-0.019018,0.0987641,-0.023156,0.241018,-0.026675,-0.00385297,-0.136832,-0.123223,-0.0204561,0.152189,-0.0935352,0.0770105,0.0272796,-0.0571472,0.146894,-0.140522,0.041114,0.0157274,0.0617069,-0.203308,0.127482
4,-89.5262,-0.0789522,-0.261298,-0.0493996,-0.0984351,0.0370521,-0.0179765,-0.0329133,0.0128833,0.133842,0.0656818,-0.0460451,0.0345727,-0.0419884,0.157604,0.0102998,0.183833,0.13169,0.0550172,0.0928868,-0.118482,-0.0562014,0.122101,0.0082568,-0.142673,-0.155363,-0.0636929,0.0601409,0.0659602,-0.0363051,0.186439,0.00389033,-0.0120896,0.172349,-0.0663408,0.016099,0.0239742,-0.0494227,-0.070771,0.155602,-0.0327752,0.212091,0.170138,0.0833652,-0.172347,-0.0202165,0.120514,-0.0127309,-0.00652698,0.119091,-0.0496391,-0.211261,0.0669987,0.0677269,-0.011038,0.00485114,0.0479348,0.108044,-0.185068,-0.126251,0.108673,0.150108,0.0833026,-0.0953476,0.00963836,-0.0804363,-0.223173,-0.139374,0.00228991,-0.185349,-0.249816,0.133316,0.0417977,-0.0689544,-0.100196,-0.111407,-0.20054,0.161528,-0.0801175
5,87.5076,0.0841707,0.0574661,0.0246968,0.0312991,-0.107552,-0.114171,0.073083,0.145653,-0.0959333,0.0325697,-0.0556356,0.0103617,-0.018398,0.0660429,-0.15021,-0.0706344,0.0925917,-0.218903,0.0249248,-0.0803156,0.283751,-0.0243284,0.0455393,0.0998004,0.0107952,-0.157484,-0.0158188,-0.17483,-0.0975641,-0.128762,0.0069241,0.0738558,0.0536814,0.150651,0.152836,-0.0550267,-0.0426333,-0.0528928,-0.228886,0.111177,0.167262,0.0331468,0.0699356,-0.232835,0.173121,-0.134934,-0.150855,-0.05139,0.124341,0.10832,-0.0206644,0.0753415,0.0387096,-0.0858497,0.058071,0.144392,0.258175,-0.123317,-0.0359606,0.260709,0.0937356,-0.100172,-0.0225446,0.0892716,-0.0723142,-0.0350323,0.102739,-0.0282961,-0.00641443,-0.0330724,-0.0376918,-0.0969096,-0.0669085,-0.0330272,0.0950226,0.243232,-0.0823819,0.0943924
6,-84.5998,-0.066306,-0.177664,0.138892,0.00238296,0.20838,-0.130601,-0.117515,-0.0357932,-0.121972,-0.00285515,0.231568,-0.0842001,0.107118,-0.0367157,-0.0357219,-0.1056,0.184902,-0.076646,0.0602897,0.108269,0.0745325,-0.0373146,-0.05841,-0.132328,0.0477744,-0.150959,-0.00110211,0.0924735,-0.0987482,0.108531,-0.15001,0.0409691,0.168564,0.0550909,0.0347069,0.0651558,0.0209885,-0.0476833,0.0278608,-0.0734655,0.0883269,-0.15782,0.163508,0.176386,-0.0410447,-0.0422393,0.067746,0.118383,-0.0658485,-0.115955,-0.0301219,-0.0983545,0.169328,0.0834723,0.0609229,-0.0838232,-0.0602115,0.095363,-0.100771,0.155181,-0.0498173,-0.0986227,0.0889658,-0.208435,-0.347319,0.0198632,0.000394565,0.143569,0.0243137,0.0794961,0.0822033,-0.163824,-0.0713037,0.249665,0.0128411,0.0845864,-0.00170344,0.0716737
7,83.7444,0.121825,-0.309935,-0.12541,0.10888,0.0738358,0.145948,-0.0181341,-0.098408,-0.0492079,-0.191111,0.0635291,0.0236656,-0.148431,-0.161906,-0.108692,-0.0462615,0.0495158,0.109303,0.0440574,0.185172,-0.0470648,0.227546,0.0609717,0.0670858,0.0600162,0.14059,-0.0236993,-0.0897399,-0.121071,-0.0968162,-0.191207,-0.00226513,0.302754,-0.00790545,-0.192247,-0.0887829,0.142664,0.0268578,-0.0245323,0.0291043,0.000955124,0.0210832,0.0004529,-0.08146,-0.106344,-0.0151228,0.199766,0.0245695,0.0985409,0.0923672,-0.0948737,-0.138585,-0.0536696,-0.0564463,-0.0921982,0.114086,0.106682,-0.134208,0.0224416,0.0113173,-0.151551,0.103119,-0.0211236,0.0581806,-0.0315882,-0.0163617,0.140671,-0.127302,0.140632,0.0337512,-0.191423,0.11311,-0.110922,-0.0214345,0.179186,0.0134573,0.000822675,0.0349559
8,81.5668,-0.107236,0.0629225,0.0169101,0.0649731,0.0655256,0.0606193,-0.122826,-0.00640159,0.0357148,-0.06635,0.0692332,0.142601,-0.215265,0.266537,0.0235882,-0.119073,-0.245405,0.00385182,0.0354393,-0.120481,-0.177224,0.0188005,-0.0468453,0.0644589,0.0234979,0.0591393,0.109679,0.0947797,-0.272429,-0.024723,-0.0474233,-0.057427,0.0757707,0.07007,0.0186149,-0.0058178,0.0662578,0.0185373,0.0769837,0.154463,-0.0150902,-0.0614244,0.138137,0.0928177,0.129009,-0.164856,-0.0441086,-0.0527044,-0.00597801,0.050813,-0.109308,0.0687239,-0.112697,0.0484361,-0.19458,-0.100566,-0.067489,0.130668,0.0263095,-0.0969356,-0.0768378,-0.0804694,-0.164298,0.136425,-0.242464,-0.0532298,-0.0756507,0.12155,-0.123089,-0.216141,-0.113303,-0.0620828,0.164806,-0.109176,0.0667891,0.261559,-0.0131098,-0.0620224
9,-81.3768,-0.271284,-0.0585533,0.167658,-0.231176,0.0208396,0.0316499,-0.143096,-0.0529354,0.168345,0.117457,0.068135,-0.204782,0.0327742,0.0804837,0.0716405,0.0320169,0.0892537,0.0447608,0.197798,-0.0137721,0.165968,0.0493934,0.120798,0.157575,-0.0690288,0.0454505,0.00204367,-0.10039,-0.260382,-0.0489947,-0.114473,-0.175548,-0.0340402,-0.108122,-0.153676,-0.0275736,-0.125912,-0.12854,-0.0145103,0.32521,0.0259855,-0.0426921,-0.00504388,0.0518716,-0.118004,0.0419726,0.0256308,0.0328597,-0.0195278,0.01772,0.080415,0.157469,0.0473239,-0.133324,0.180295,0.0333754,0.0527086,-0.0224296,-0.00607297,-0.207333,0.0408115,-0.0895757,-0.00268902,-0.0198399,0.151974,0.192636,0.0372028,-0.0762467,-0.0848479,0.00254788,-0.17634,-0.0662588,0.0272906,0.101875,0.0330798,-0.0219927,-0.00337825,0.0394487
