Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78
0,-99.4025,0.0484956,0.13918,-0.0392114,-0.0768725,-0.112036,0.207558,0.0798702,-0.0119696,0.17465,-0.0146925,0.0536102,-0.0448174,-0.149132,-0.195375,-0.0745657,-0.0236419,-0.0966312,-0.223424,0.0246732,0.124686,-0.188636,-0.0957223,-0.0382168,0.090013,-0.0877739,0.0495385,0.125499,0.148278,-0.183152,0.0238964,-0.0739246,0.147552,0.214305,-0.0335508,0.0362004,-0.131962,-0.0865782,-0.085534,0.103855,-0.164432,0.0575577,0.118282,0.0333691,-0.0325485,0.144677,0.0939026,-0.0557444,-0.0217004,0.0355544,-0.13178,0.0259012,0.00132753,0.0470567,-0.22395,0.0757292,0.0257435,-0.0391176,0.0851185,-0.127034,0.159388,0.0673379,-0.0448821,-0.0754431,0.220513,-0.0273448,-0.0783923,-0.0148945,-0.00276648,-0.29209,0.0469105,-0.0678797,-0.124026,0.0584493,-0.250066,-0.0614541,-0.0114338,-0.100895,0.0028141,0.111508
1,96.1817,-0.0319054,-0.0356196,0.100096,-0.178801,-0.220655,-0.0581877,0.0483287,0.0362845,-0.177898,0.247078,-0.075227,-0.168631,0.070757,0.0787428,-0.15197,-0.0245979,0.058677,-0.0141534,-0.0196625,0.080137,-0.169599,0.0758937,0.00714984,0.0723334,-0.0986184,0.036479,-0.202087,-0.0844648,-0.0888646,0.115525,0.0974772,-0.148668,0.0984006,-0.0639939,-0.0660729,0.150991,0.0749892,0.0337511,0.220261,0.0554326,0.00987936,0.0649259,-0.0489402,-0.255285,0.0923023,-0.0558552,0.0126381,-0.124166,-0.0408275,-0.235439,-0.128441,-0.0554697,0.102714,0.14416,0.0112428,-0.150081,-0.0581091,0.0150575,0.171374,-0.09677,0.115029,0.0733016,-0.0828831,0.0598503,0.057921,0.132161,0.0254606,-0.110261,0.0331097,-0.0731205,-0.273722,0.127788,0.11272,-0.0683596,0.0251321,-0.146904,-0.0611421,-0.0296568,0.0140135
2,-93.0997,0.140833,-0.0695276,0.00437947,-0.0984038,0.15431,0.0103668,-0.0272775,0.163983,0.188269,-0.0676229,0.200481,-0.0689918,0.22166,-0.152178,-0.155904,-0.09778,0.109378,-0.0696861,-0.0633862,0.00665082,-0.071058,-0.154697,-0.223323,-0.0492896,-0.116666,0.144398,0.0381931,0.0872716,0.0867859,-0.0436142,0.0364193,0.0531716,-0.0219831,0.095052,0.0570158,-0.10479,0.0694529,0.2406,0.132072,0.116412,-0.0268306,0.0752967,-0.1865,-0.0283957,-0.256332,-0.0187554,0.158875,0.0380142,0.12644,-0.0304372,0.0933323,-0.0252259,0.0353357,-0.0126845,-0.0657221,0.0795942,-0.0747577,0.0824108,0.0872801,0.0224677,-0.0197293,-0.00452244,0.0994178,-0.266062,-0.167598,-0.0233419,0.0889995,0.0148661,-0.1131,0.0687345,-0.225788,0.114416,0.0127686,0.114772,-0.0399414,-0.115334,0.111613,-0.0114996,0.111277
3,90.5727,0.000882957,0.212371,0.201363,0.0703568,-0.0363887,0.127805,0.0106507,0.127357,0.0403673,0.18474,0.0507829,0.0877096,0.195047,-0.130945,0.0317201,0.141282,0.00538701,0.155485,0.0490955,0.0131621,-0.0597351,0.000196039,-0.046451,-0.0793744,-0.129801,-0.066022,0.119065,-0.0617108,0.0570909,0.239018,-0.199288,-0.0168024,0.125582,-0.137137,0.0560454,0.118312,0.00043324,-0.166199,-0.0143172,-0.122331,0.0921938,0.25411,0.0380731,0.0661753,0.00637439,0.0833353,-0.0107269,0.0295156,0.168644,0.0568212,0.0416174,0.230594,0.22053,0.0171475,-0.00438,-0.147162,0.0318114,-0.190314,0.0229123,0.00976446,0.103448,-0.0116845,0.170443,-0.148885,0.0268211,0.126015,0.181913,0.0357314,0.0156091,-0.0950946,0.0448262,0.012711,0.00797791,0.154649,0.049526,0.213064,0.0405878,-0.0207053,0.00561329
4,-88.8883,-0.00673329,0.0922245,-0.0599017,-0.196177,0.00417949,0.00844781,-0.105114,-0.163076,-0.112734,0.170151,0.15926,0.0956876,0.0253161,-0.104185,0.0098141,-0.0365599,-0.0554032,0.129801,-0.148145,0.0245829,0.0915983,0.105593,-0.0692357,-0.137464,0.0274695,-0.158817,0.130481,0.00374569,0.0519036,0.199156,0.132558,0.0101925,0.0042625,-0.137795,0.0933589,0.0131724,0.0971253,-0.0483631,-0.0785242,0.157207,-0.11346,-0.125158,-0.0376123,0.0294688,0.0473761,0.183359,-0.0907567,-0.0880577,-0.162238,0.141068,0.0669075,-0.199773,-0.0350748,-0.037726,0.0505976,-0.104849,-0.133411,0.120591,-0.0792421,0.275031,0.182697,-0.23181,-0.0652694,0.0418528,-0.0109398,-0.0606844,-0.00264893,0.00239945,-0.00351616,0.108272,-0.0980743,0.186983,-0.112134,0.0398709,0.0865273,-0.0330152,0.10996,-0.230593,0.135001
5,86.7275,0.0349599,-0.027965,0.0151507,-0.0406066,-0.124357,0.0108264,0.0388769,-0.160868,0.00110264,-0.0222299,-0.0721289,-0.0338014,-0.0753184,-0.12476,0.215198,-0.322419,0.0321032,0.0687474,0.103026,0.0852425,-0.133155,-0.22595,0.0793927,-0.155652,0.0309065,-0.0048915,0.193426,0.121675,0.0799915,-0.0487807,-0.0191959,-0.088311,-0.114311,0.0411172,0.185339,0.0385396,0.136156,0.0175646,0.0330351,0.145875,0.167317,-0.0700073,0.295072,-0.0938305,-0.0349605,-0.0454933,-0.06592,-0.0754965,-0.0777322,0.0390717,-0.0536985,0.0985918,-0.0480059,0.00859357,-0.16323,-0.0437747,0.069726,0.096762,-0.120444,0.0501006,0.030783,0.282247,0.0556711,-0.042715,0.0332178,0.166324,0.176691,-0.0389312,0.0133156,-0.146223,-0.0791291,-0.0732249,-0.0341785,-0.11186,0.0535721,-0.037765,0.257714,0.018032,0.0224105
6,82.6442,-0.0914811,-0.0800571,0.0815849,0.0813575,0.00342003,0.0614038,-0.0964268,-0.0744668,-0.0649834,0.0525373,0.160029,0.0827582,0.0508124,0.126397,-0.267803,-0.0916731,-0.128221,-0.0926047,-0.0245876,-0.159026,0.0646717,-0.181843,0.228715,-0.135599,0.0444222,-0.203998,-0.0582269,0.156474,-0.182972,-0.0134219,-0.127223,-0.0436557,-0.0692159,0.00648267,0.0372165,-0.1171,0.0489454,0.0368487,-0.0527582,0.00846448,-0.166036,0.132578,0.0613255,-0.12848,0.0799724,0.230249,0.010618,0.0814218,0.12267,-0.0020135,-0.164659,0.0320769,-0.0821064,-0.0336888,0.0909653,-0.00475667,0.0852626,0.161936,0.101461,-0.10647,-0.037483,-0.0212669,-0.0241445,-0.208714,0.102333,-0.0409117,0.171838,-0.276813,0.00936976,0.0647698,-0.0811991,-0.15633,-0.132525,-0.021251,-0.0828651,0.0819732,-0.0688403,-0.14553,-0.0583057
7,-82.4212,-0.0873248,-0.00188407,0.0223863,-0.0634625,-0.157614,-0.166219,0.111322,-0.00209388,0.0206007,-0.148668,0.156114,-0.183081,0.10526,0.133465,-0.0230537,0.00970634,-0.0827188,0.18806,-0.0260797,-0.103189,-0.0203748,-0.0365745,0.00301571,-0.0372594,-0.11786,-0.00096397,0.0607459,0.12721,0.0546166,-0.0820131,-0.192952,0.0660653,0.158087,0.0574986,-0.0711542,-0.0748552,-0.0108594,-0.141825,0.0533891,-0.228347,0.00558339,-0.00225939,0.0223575,-0.0702289,0.0726026,-0.144213,-0.00435224,-0.19422,0.0767956,0.146453,-0.0848718,-0.158927,-0.217939,0.0305965,0.0896172,0.18653,-0.0103148,-0.144983,0.0667787,0.0438957,0.00592446,-0.259317,0.048996,-0.00704846,0.190528,0.022435,0.194534,0.100471,0.0545174,0.0714248,0.0130685,0.0666208,0.0686768,-0.079771,0.061296,-0.187341,0.284921,0.0608614,-0.0852439
8,81.7833,-0.123585,-0.0932049,0.036805,-0.148082,-0.0762657,-0.0523362,-0.140466,0.0791655,-0.0393917,-0.0251242,0.0853304,0.0622644,0.0951672,-0.00459042,0.224002,-0.158973,0.0433949,0.054576,-0.232807,0.079274,-0.00901726,0.125308,0.0541536,-0.0866111,-0.0834386,-0.0193994,-0.134209,0.089142,0.0641446,0.0383112,0.0645589,0.221237,0.00727686,0.146218,-0.145825,0.114365,-0.0382523,-0.0705519,-0.0213428,-0.136556,-0.0542853,0.0452356,0.0660432,0.0491156,-0.0319693,0.00227237,-0.223852,0.18566,0.11081,0.0456351,-0.0752678,0.171992,-0.0510875,-0.271009,-0.132594,0.127425,-0.157293,0.11637,0.23749,0.0677664,-0.0881659,0.0238165,-0.0083768,0.113366,-0.214612,0.0593906,0.00534858,-0.0142166,0.0897018,-0.137157,-0.0853347,-0.150215,0.120071,0.0246325,0.15482,-0.0458643,-0.121959,-0.11467,-0.0492099
9,-80.7559,-0.111692,0.161083,0.177242,-0.0425065,0.158155,0.0172972,0.0938814,-0.115636,0.0993108,0.0427759,-0.180816,-0.211849,-0.0682783,-0.0198064,-0.0698335,-0.0394,-0.264023,0.171449,0.0842889,-0.0218621,0.229786,-0.1073,-0.0691539,-0.0357307,0.0264652,0.149848,-0.166532,0.106371,-0.0527723,0.150573,0.0500116,-0.0566505,-0.122307,0.191959,-0.112842,-0.00346702,0.0839225,0.0810531,-0.0760855,0.100411,0.141054,0.0767234,-0.0603348,-0.081271,-0.0552866,0.146797,0.0777802,0.110019,-0.082224,0.0820515,-0.0150179,-0.0883335,0.0167756,-0.241494,0.164809,-0.0550418,-0.224933,-0.144312,0.00286253,0.152694,-0.0630729,0.0513105,-0.00148201,-0.0515031,-0.0104721,0.202229,0.0477147,0.13387,0.0787406,0.0254987,0.00810267,-0.0111831,0.115541,-0.137874,-0.0508099,0.0204313,-0.0902783,0.0331849,-0.0983641
10,79.6663,0.0919716,-0.211984,0.0210237,-0.0918074,-0.0407016,-0.106964,0.255347,-0.0109003,-0.0430643,0.0563641,0.176261,-0.247587,0.182123,-0.112861,-0.0459176,-0.0353693,0.0384517,-0.0294135,0.118811,0.243206,0.0653516,0.0129433,0.00713654,-0.0253064,0.0174278,-0.212662,-0.0223374,0.0254161,0.0582306,0.00503006,-0.0373943,-0.107499,-0.185815,-0.0299965,-0.108922,-0.0329121,-0.27215,0.0474913,-0.0363684,0.0207614,0.220047,0.045071,0.108519,0.081751,0.0686567,-0.0115789,-0.0293964,0.0281094,0.019693,0.0241432,-0.16554,0.129246,0.142696,-0.10195,0.153944,0.0264136,0.0888991,0.151948,-0.0485231,0.0697916,-0.0108903,0.0143891,-0.0588821,0.0198178,0.0992794,-0.135384,-0.118367,0.184395,0.170621,0.25283,-0.0635026,-0.00457648,-0.0777604,0.137743,0.0555744,0.0671898,-0.0635909,0.0990917,0.0678213
11,-78.5345,0.195248,-0.0702973,0.167155,0.00659007,0.039366,-0.0376299,0.133224,-0.0557587,0.0321831,-0.0746052,-0.129191,-0.166699,0.161872,0.0201767,-0.0444656,0.164193,0.0715094,0.0300424,0.0663095,0.0841103,-0.113178,-0.142453,0.0821659,-0.0825853,0.225382,0.139497,-0.0440454,0.0281064,-0.152572,0.116131,-0.108236,0.0392968,0.133443,0.0446608,0.295031,-0.111037,-0.043184,-0.0896309,-0.0847562,0.0823337,-0.101779,-0.0997995,-0.170248,0.0817783,-0.0964711,-0.0257369,-0.0603893,-0.0716344,-0.00770126,0.0637969,-0.0961927,-0.0507343,-0.0288378,-0.0860854,-0.150828,-0.0753937,0.00714411,0.111843,0.0538667,-0.129324,0.0215639,-0.152328,-0.0946956,0.178387,-0.0818884,-0.106839,0.0456118,0.189071,0.158281,-0.280405,-0.0847301,-0.0276114,-0.0720107,0.00426001,-0.0155072,0.119247,-0.0319257,-0.202844,-0.121991
12,-75.5517,-0.0505517,0.139751,-0.0930478,0.0410293,-0.0756127,-0.0624331,0.0848172,0.0557434,-0.0361992,0.11381,-0.0417726,0.137115,-0.0148205,-0.122461,-0.0974247,-0.0398999,-0.0517583,0.105776,0.0464154,0.0543571,-0.0315987,0.0152348,-0.130869,0.111139,0.0298573,0.0448083,-0.111738,0.0605598,0.0818416,0.170299,-0.0885329,0.104018,-0.00978369,0.248126,0.0453915,-0.162121,-0.151496,0.154854,-0.0767057,-0.0152621,-0.169295,-0.0139796,0.0124718,-0.000512119,-0.131038,0.0668541,-0.304585,-0.104412,-0.00859999,0.0589747,0.11159,-0.0266336,0.039065,0.120417,-0.0556476,0.140783,0.138302,-0.0375655,0.119114,-0.0695825,0.12048,0.249751,-0.021689,0.149237,0.199477,0.0331454,-0.0572571,-0.0469939,0.10463,0.207683,-0.0268575,-0.103524,0.164109,0.0872026,-0.268316,0.03112,0.143105,-0.172339,0.0405196
13,73.2591,-0.167356,0.0592799,0.110774,0.00495266,-0.129013,0.000693731,0.0135012,-0.0186413,0.0723056,-0.0678613,-0.0416764,-0.0552435,0.156551,0.0601997,0.0203839,-0.0353887,-0.0172186,-0.191792,-0.133733,0.0871586,-0.00298928,-0.104188,-0.0795079,0.0484625,0.173581,-0.0119738,0.064093,0.0810865,0.170716,0.165411,0.0120033,-0.0532656,0.0147611,-0.0302048,0.0922039,-0.104944,-0.0804504,-0.223669,0.131903,-0.00919005,-0.098158,-0.211918,-0.0520641,-0.0680777,0.216279,0.0353772,-0.0165247,0.264875,-0.0758928,-0.0426269,0.0290911,-0.0634954,0.0885589,0.241442,-0.145575,0.00950279,-0.0344438,0.167281,0.191137,0.220285,-0.22314,0.0713888,0.107563,-0.0541887,0.0309602,0.11446,0.000573184,0.0762955,-0.088238,0.112313,0.125453,0.13149,-0.0432516,0.031168,-0.149555,0.0654776,-0.0419156,0.133053,-0.17694
14,-72.5112,-0.0696375,-0.166334,-0.0955319,0.0280991,0.0425611,-0.0517349,-0.0381828,0.0170387,-0.132223,0.0531491,-0.0855949,0.156308,-0.0233098,0.201181,-0.0134185,0.156386,-0.0904731,0.0397082,0.224989,-0.154439,-0.0864346,0.0161632,0.0584627,0.08735,-0.1912,-0.0456893,0.0295149,0.0836587,0.0897783,0.173786,0.0562368,0.09214,-0.0958363,0.0666338,-0.0967978,-0.0216851,-0.130767,-0.0144556,-0.0506775,-0.0872236,0.166121,0.0371383,-0.10951,0.136521,-0.126265,-0.121881,0.0528356,-0.0713759,-0.134255,-0.237118,-0.0789401,-0.00672958,0.093583,-0.101495,-0.105214,-0.0431144,-0.162108,0.184791,-0.051583,0.124305,-0.143154,-0.0341091,0.0509176,0.113297,-0.0134224,0.0733204,0.175332,-0.00343146,-0.155673,0.0241367,-0.17523,0.00120319,-0.229139,0.0175793,-0.156921,0.143677,0.242791,-0.0240941,-0.0857235
15,71.5357,-0.152477,0.0848011,0.0657183,0.0931795,-0.0411873,-0.100699,0.0163795,0.161002,0.00470291,-0.0784037,-0.106081,0.170033,0.104555,-0.0849893,0.0423004,0.00269543,0.169452,-0.143673,0.0296646,0.178487,0.0372032,-0.0374004,0.116798,-0.142217,-0.229053,-0.0187254,0.0495527,0.182752,0.0411088,-0.144501,0.0615631,0.0308796,0.0674997,-0.171341,0.0612107,0.167386,-0.222719,0.0545,-0.141196,0.18691,0.023499,0.0186716,-0.271207,-0.00118735,0.0565801,0.0584124,-0.0482968,-0.084202,0.00284663,0.0210873,-0.0351685,-0.0926997,-0.0987067,0.00659233,0.118289,-0.0493426,-0.142496,0.0636831,-0.155904,-0.160627,0.163433,0.0571104,0.133627,-0.0154176,-0.0546024,0.143464,-0.0041615,0.0413231,0.0707224,0.193438,0.0482182,-0.05563,0.00379946,-0.151253,-0.0433893,-0.116444,-0.0315283,-0.0572768,-0.281313
16,70.1244,0.0972766,0.246131,0.121471,-0.0920652,0.201489,-0.0177922,-0.00703785,-0.2006,-0.00936705,-0.0493733,-0.00772557,0.0434295,0.261099,0.0992925,0.0441073,0.0168389,-0.135063,0.0753056,0.162654,0.047949,-0.163022,0.0201539,-0.120751,-0.0316075,-0.100228,0.0365163,-0.168114,0.0776972,0.161998,-0.060885,0.0370782,-0.142884,-0.0178099,0.00724371,-0.0232822,0.00417135,-0.102567,0.0346908,0.075054,-0.022513,-0.109834,0.00483968,0.0345267,-0.049144,-0.00975249,0.0152513,-0.123447,-0.120185,0.0603481,0.00716275,0.0538029,-0.0514297,-0.118009,0.0151954,0.0390126,-0.00644663,-0.108351,0.0437697,0.0673094,0.0592706,0.10029,0.12454,0.125444,0.0753362,0.0125186,-0.304285,-0.145083,-0.27429,-0.0983914,-0.102305,0.0321848,-0.0974822,-0.205595,-0.0296507,0.187752,0.097417,-0.0252799,0.262018,-0.1145
17,-67.8765,-0.0858449,-0.104224,-0.03041,-0.00961239,0.0736278,0.166184,-0.0815387,0.0500844,-0.256411,-0.12608,-0.136732,-0.10914,0.0319382,-0.151944,-0.189902,0.160214,0.230898,0.00492453,0.0959566,-0.146786,-0.0829286,-0.0581319,-0.0176176,-0.139912,0.0956255,-0.0231587,0.0888577,-0.0882822,-0.119867,0.0678949,0.0684612,-0.055865,-0.199543,0.0443239,-0.104606,0.0500391,-0.113515,-0.153528,-0.00317913,0.00595432,-0.0139347,0.0106425,-0.15402,0.0893924,0.211579,0.0742724,-0.171061,-0.0485109,0.0419069,0.0566482,0.135037,0.0543857,-0.098024,0.00349504,0.041737,0.142639,-0.13347,-0.0656462,0.160289,0.0588972,0.0499595,0.266138,-0.175233,-0.14049,0.00456408,-0.110412,0.105407,0.126454,-0.145737,-0.0375583,0.0349972,-0.0269518,0.0560705,-0.122206,0.124815,-0.0562537,0.157374,0.0311356,0.0950652
