Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79
0,-100.101,-0.106454,0.0977262,0.00715002,-0.0361691,-0.0472479,0.0371662,0.0546604,0.222792,-0.110638,0.134333,-0.0521022,-0.00087426,0.130077,-0.0189668,-0.0864411,-0.0193727,-0.116768,0.0558139,-0.00620964,0.00495801,-0.190256,-0.164689,-0.0355456,0.0718292,0.26114,-0.0462776,-0.166489,-0.173943,-0.111812,0.0163884,-0.050848,-0.0530457,-0.0203401,-0.188361,-0.200638,0.0396136,0.0806395,-0.0716868,0.0734504,0.0338845,-0.0553225,0.201261,-0.0264653,0.0227783,0.00126414,0.0154844,-0.147027,0.304756,0.106758,0.00911388,0.0186995,0.15736,-0.100233,0.0114195,-0.172526,0.166273,-0.0419179,-0.00686428,-0.0194112,-0.0314922,-0.132099,-0.0277655,0.203846,0.0873384,0.0759765,0.138616,0.0889184,-0.0455346,-0.019587,-0.132243,0.157952,-0.24091,-0.0663271,-0.0108983,0.00173853,0.0828011,0.170938,-0.0118991,0.072236,0.135621
1,98.4723,-0.25414,0.0292666,-0.023092,0.0087891,0.00170803,-0.152349,0.123561,0.0707768,-0.211429,0.0926554,-0.0267461,-0.0365405,-0.00390048,-0.0092246,-0.0837167,0.065185,-0.0692105,0.15231,0.107858,0.00935295,-0.166668,-0.00216099,-0.0987137,0.00333338,-0.0161373,0.0683446,-0.0566127,0.140813,-0.0782427,-0.0362435,0.161107,0.0840306,-0.170247,0.139051,-0.0124422,-0.130336,-0.0382294,0.0590205,0.0409796,0.0446214,-0.0232418,-0.101676,-0.0521842,0.0965498,-0.0830314,0.0668026,0.196783,0.0582783,0.141607,-0.0348637,-0.00798802,0.00641722,0.0944789,-0.233412,-0.0661447,-0.030987,0.172891,0.0780094,-0.133775,0.0894254,0.0727554,-0.106397,-0.130803,-0.116998,-0.0196495,-0.0566418,0.116293,-0.178656,0.166089,0.0701818,-0.0845595,-0.0229277,-0.182623,0.365226,0.0925206,0.14487,-0.0344623,-0.102697,-0.154747,-0.0838487
2,-92.9685,0.0704393,-0.00104621,-0.166997,-0.0735603,-0.170005,0.163084,-0.0315566,-0.0172564,0.134119,0.0811715,-0.13495,-0.0710405,0.128227,0.169807,-0.0234753,-0.239316,0.0756214,0.057957,-0.0352003,-0.0777572,-0.206429,0.0618304,-0.224951,-0.0547339,-0.0530716,-0.105954,0.0358122,-0.0138394,0.0142695,-0.24256,0.0346127,-0.220645,-0.019426,-0.153748,0.15296,0.0038657,-0.0962265,-0.0597756,-0.0804757,-0.197366,-0.0745745,-0.256777,0.14475,-0.0451881,0.0402852,0.194921,0.0279572,-0.00119814,0.108053,-0.084733,0.0224645,0.0409363,0.125916,-0.0621544,0.0814773,0.0708318,0.138317,0.132079,-0.029726,0.0585777,-0.0772613,-0.0553842,0.0390306,0.138839,-0.182623,0.00269371,0.0770343,0.086683,-0.0480382,-0.171257,0.064307,0.0203577,-0.157033,-0.112922,-0.0227208,0.0458197,-0.102908,-0.021245,0.0102764,-0.123659
3,91.2831,0.0371499,-0.01753,-0.0289638,-0.110938,0.0810021,-0.016325,0.1412,0.0514791,0.0949611,0.193725,-0.0858522,-0.0569491,0.0671151,0.0209068,0.230404,0.201274,0.148515,-0.0621657,0.0888484,0.0470338,-0.0989331,-0.00704281,0.207545,-0.0672258,0.135961,-0.0320499,-0.110331,0.107463,-0.00615004,0.180878,-0.0437504,0.140858,-0.0395146,-0.00651919,0.16177,-0.0839714,-0.135331,0.15224,0.0801203,0.117555,-0.00506064,-0.142818,0.0716267,-0.0470728,-0.0778729,0.00395374,-0.104339,-0.0399265,0.0822227,-0.188278,-0.0234147,0.271056,0.158615,0.0854533,0.179217,0.0810965,-0.0390452,0.0152058,0.0224408,0.22863,-0.0483046,-0.0147636,0.207269,-0.178409,0.104934,0.0940739,0.00698639,0.073449,-0.12984,0.141124,0.0483296,-0.0863705,-0.0868144,-0.0402178,0.0237878,-0.142094,-0.0794552,0.150415,-0.0774833,-0.0999004
4,-90.1115,-0.105972,0.0201802,0.159864,0.0521716,0.0799704,-0.0663083,0.0145959,-0.146488,0.0559743,0.058449,0.0369909,-0.0069706,-0.141624,-0.158463,-0.116483,-0.0308185,0.0901196,0.0855763,0.00839394,0.122276,-0.00214199,-0.216742,-0.0719607,-0.0289093,-0.158487,0.102671,-0.0160936,0.0834261,-0.116679,0.0626419,-0.0115977,-0.0524805,-0.0434737,0.0129621,-0.0126191,-0.188926,-0.00656667,-0.0742413,-0.208569,0.236601,-0.0671964,0.0569539,0.156799,-0.210673,-0.0103631,0.103952,0.0808353,0.147646,0.00386535,-0.148973,0.251157,-0.0500749,-0.0810199,0.143403,0.107133,-0.0241744,-0.116246,0.171385,-0.0153036,-0.0156119,0.00172483,-0.283001,-0.150039,0.143967,0.0313655,0.0826074,0.0897082,-0.0573665,-0.252117,-0.0829045,0.121457,0.0560935,0.00184362,-0.109889,0.135523,-0.115273,-0.0591021,0.00313142,-0.0565313,0.0518276
5,87.648,0.0664658,0.112664,-0.00786041,0.0294837,-0.0452255,0.0224291,-0.0866475,0.122432,-0.130437,-0.117063,0.0829241,-0.152284,-0.0819128,-0.0368372,0.0682274,0.0459866,0.00134511,-0.122805,-0.0219503,0.0504512,-0.0355552,0.0885199,0.0404514,0.176358,-0.103874,-0.128481,-0.0971473,-0.102017,-0.0495884,0.0263531,0.10028,-0.119243,0.200478,0.0287295,0.0938805,0.0256403,-0.103574,0.125103,0.0111024,-0.113406,0.0306089,0.083769,0.29926,-0.0553231,0.155001,-0.0235937,-0.253388,0.0632425,0.0953379,-0.00803886,0.0404431,-0.158435,0.0444848,0.0225855,-0.0354002,-0.221448,-0.115781,0.224501,-0.022051,-0.000497952,-0.125878,-0.152423,0.0333416,-0.171047,-0.121873,0.0469871,-0.095846,-0.0761389,0.00499916,0.1508,0.119965,0.0143971,0.0790984,0.0951194,0.100753,0.245065,0.13724,0.0636948,-0.233763,-0.0932394
6,86.2575,-0.189778,0.0279269,-0.0288526,0.174131,-0.0810157,-0.0167468,-0.0524438,-0.114502,-0.0716999,0.00279922,-0.163655,-0.207245,0.00110001,0.207176,0.0877966,-0.0858915,-0.112455,0.0777199,-0.229609,0.0693373,0.0459124,0.137426,0.116035,-0.119884,0.213527,-0.172746,0.0454666,-0.0675594,-0.0473916,0.106366,0.0207427,-0.0653014,0.0809632,-0.0157577,-0.161148,-0.0191148,-0.200034,0.0449986,0.158946,0.0414873,-0.0932326,0.11813,-0.0246795,-0.14343,-0.11896,0.0382127,0.0236968,-0.0428176,0.0314526,-0.0182215,-0.016419,0.0328378,-0.0346328,-0.00747554,-0.000111928,-0.126585,-0.00424817,-0.0545526,-0.249509,-0.0861689,0.137284,0.0166904,-0.073957,-0.00753919,-0.0513264,-0.0477179,-0.17711,-0.205487,-0.183645,-0.110045,-0.201423,-0.0637487,0.0111266,-0.144993,0.206394,-0.0793658,-0.0868135,0.0595699,0.0343168,-0.136152
7,-85.8434,0.0146238,-0.0989779,0.153713,-0.0394481,0.0329309,-0.290777,-0.0724625,0.00238088,-0.154262,-0.124038,-0.0945652,0.0411871,-0.0476981,0.020046,0.103885,0.00881187,0.24674,0.0240495,-0.0482941,0.0823132,0.0616519,-0.0970628,-0.0466675,0.120219,-0.103287,0.0919438,0.0448233,-0.0565712,0.273316,-0.0959116,-0.0142483,0.0108945,-0.0972574,-0.0700336,-0.123203,0.118323,-0.250692,0.0221602,-0.0200955,-0.105232,-0.188398,-0.0564528,-0.14057,-0.0035623,-0.15736,0.167315,-0.0836624,0.222798,-0.0729332,0.0472039,0.0747261,0.0632566,0.107315,0.0279167,-0.0998651,-0.0115464,-0.0751952,-0.163641,0.125919,0.087528,-0.00105094,-0.00874968,-0.026256,-0.0205263,-0.0861102,0.0889784,0.0252438,0.1666,-0.0703477,-0.132309,-0.0312254,-0.0312572,0.111202,0.149311,0.085217,0.0917293,0.0816697,0.144076,0.0803537,-0.257568
8,83.287,0.0298799,-0.0429587,-0.0581179,0.147202,0.0939269,0.0644917,0.0109727,0.00996519,0.0252134,-0.075431,-0.218732,0.0897261,-0.100424,0.0324763,-0.0519115,0.0067084,-0.142713,-0.0370704,0.00141202,-0.107993,-0.0430767,0.0819273,-0.0897798,-0.0303921,-0.0754093,0.0744926,-0.193343,0.201994,0.0229275,0.18753,0.125596,0.0584224,0.187906,-0.0738795,-0.0517039,-0.0555578,-0.0114109,0.307551,-0.072166,-0.0739655,-0.141027,-0.0284769,0.0628681,-0.0871679,-0.233368,-0.19253,0.0384899,0.219333,-0.0943598,-0.0725958,0.0226496,-0.0901474,-0.0959929,-0.0346861,-0.180695,-0.00538241,0.0683005,-0.0849361,0.25197,0.140036,-0.115968,-0.100513,0.0490813,0.169669,-0.0598318,-0.143257,-0.16444,-0.0116078,0.173417,0.0209621,0.0362001,-0.0468054,-0.110009,-0.13521,-0.0353846,0.00280428,-0.148381,0.0729359,0.0495598,-0.00172869
9,-80.9609,-0.130054,-0.251668,-0.0338712,0.00443354,0.0172637,-0.0371969,0.044372,-0.0987964,-0.0641713,-0.0433248,0.185594,-0.213601,-0.142108,0.0557183,0.0733153,0.0200211,-0.0438081,0.0736512,-0.0825938,-0.0526278,0.0671305,0.124641,-0.134671,0.0486699,-0.125292,-0.164483,-0.12751,-0.018424,0.0672705,-0.192498,-0.156299,-0.148717,0.162976,0.0651697,-0.0388759,0.0340932,0.0313293,-0.0658342,-0.15899,0.0905179,0.130024,0.178694,-0.0151239,0.112487,0.019073,-0.0767655,0.0605507,-0.0295298,0.0932326,-0.0828183,-0.103947,0.10998,-0.00654674,-0.200078,0.101483,0.0650041,-0.189391,-0.231164,0.134518,0.308626,0.0707476,-0.142426,0.0498569,-0.0390513,-0.00410029,-0.0564083,0.158221,-0.0584332,-0.0533422,-0.0223357,0.0227475,-0.202688,-0.0236936,-0.0675443,-0.093773,0.0300654,-0.0852863,0.0791514,-0.0713162,0.0724413
