Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80
0,98.6904,-0.0281547,0.00761339,0.184086,0.15166,0.0949153,-0.0768067,0.0276957,-0.00826559,0.065896,0.13668,-0.0134042,0.234146,-0.108297,0.0662943,-0.0791192,0.184712,-0.0737503,0.00938759,0.105859,0.124861,0.00432931,0.00336463,-0.121401,-0.0662321,0.0252985,0.144894,-0.0751477,0.0523545,-0.235101,0.0103264,-0.0195511,-0.229892,-0.0840989,-0.115467,0.106434,-0.0993731,0.114532,0.156549,-0.00741516,0.09626,0.0315625,0.00670265,0.170618,0.314506,0.0516639,0.036518,-0.104189,-0.141062,0.207856,-0.024241,0.0836846,0.0920759,-0.0660851,0.023248,0.0029069,0.142247,-0.134103,0.0528225,0.0414786,-0.0916406,0.0517648,0.123845,0.179319,-0.117136,-0.0996891,0.00699837,0.187214,0.23121,0.000438639,-0.0776347,-0.031229,0.0459071,0.0231713,0.0637537,0.0640887,0.0463554,0.0264105,0.187407,0.0770849,-0.0980428,0.0213245
1,-96.2117,0.0116446,0.185741,-0.0618346,-0.0323498,0.0674772,-0.130982,0.0660565,0.185476,0.0663094,0.0194575,0.00578407,-0.260986,-0.179304,-0.162559,-0.0413747,0.0123921,-0.136162,0.105205,-0.133701,-0.0143826,0.095259,0.332839,0.0415768,-0.037471,-0.0733042,0.0562341,-0.11747,0.0952415,-0.0784727,-0.105935,-0.167552,0.17949,0.0691656,-0.19762,-0.0305942,0.0899332,0.126971,0.055031,0.0572355,0.0466962,-0.12506,0.0472704,0.0155029,0.0961167,-0.117384,0.105802,0.0446247,-0.0870419,0.0821973,0.0576432,-0.153746,-0.0333806,-0.0553275,-0.0646379,-0.0211734,-0.0837275,0.0185257,-0.109929,-0.203987,-0.218137,0.0870363,-0.0443612,-0.024223,-0.151335,-0.0344998,-0.165637,-0.0325749,-0.0639536,0.13738,0.0364325,-0.0505979,-0.0272561,0.183374,0.119327,0.0384767,-0.155153,0.0914875,-0.134015,0.033373,-0.0708151,-0.0140898
2,-95.3484,-0.139012,0.0141595,0.132807,0.021657,0.0370082,0.0828273,-0.117365,0.0482654,-0.233162,0.0562514,-0.104105,0.0281459,-0.137306,0.0236462,0.114856,-0.110549,-0.0384306,-0.0612175,-0.0786092,-0.0509966,0.00766055,-0.0609345,-0.0697397,0.221188,-0.134503,-0.0971083,0.00115905,-0.0960681,0.072117,0.103957,-0.102039,-0.128105,0.0866752,-0.00314248,-0.161215,-0.129726,0.0803759,-0.156017,0.027133,0.0142779,-0.0746261,-0.195559,-0.101868,0.0880799,0.167254,-0.0679627,-0.186091,-0.0272385,0.0397159,0.208144,-0.167522,0.0590658,-0.0541478,-0.0916973,-0.0927306,-0.181607,0.0921747,0.115615,-0.0282422,-0.107159,-0.0500738,-0.0240635,0.121041,0.178013,0.0631017,0.13277,0.0600635,-0.0963304,0.152376,0.00195673,-0.188029,0.0319406,0.0844938,0.144694,-0.141514,-0.0293122,-0.041465,0.112486,-0.0392678,-0.286308,-0.0838051
3,93.3993,0.0642698,-0.00202352,-0.162051,-0.0712181,-0.0971985,0.0389028,0.138712,-0.0404995,0.0505258,0.129333,-0.0221318,0.00716169,-0.084074,-0.167717,0.0301866,-0.044829,-0.0523758,0.115126,0.0377195,0.0378197,0.0279108,-0.146694,0.239312,0.112372,0.0797181,0.0138419,0.115517,-0.0890067,-0.100535,0.155509,-0.0696732,-0.0286483,0.188947,0.109947,-0.00136298,-0.140811,0.0383896,0.0229631,0.246449,-0.0218785,-0.239624,0.217199,-0.0580062,-0.0854736,0.0198576,-0.0945921,-0.129671,0.00871285,-0.0138495,0.14185,0.158854,0.111567,-0.0612462,0.0654743,-0.189585,0.0737916,0.184097,-0.239585,-0.0740647,0.00276475,0.0679964,0.154906,0.0504754,0.0277975,-0.258244,-0.017199,0.0123008,0.157162,-0.0780669,0.0265189,-0.00135752,-0.0118822,-0.0252553,0.0627891,0.149662,0.156937,-0.0466887,-0.0743744,-0.0798874,-0.0516935,-0.142461
4,-87.7182,-0.0560072,0.000798583,-0.113685,-0.0144902,0.113951,-0.00803117,0.248532,-0.0232648,-0.072012,-0.207202,-0.101288,0.0713033,-0.158578,0.0673033,-0.163709,-0.0809784,0.00366993,0.120129,0.0431551,0.0647864,-0.0344703,0.0849326,-0.113872,0.0487204,0.146675,-0.102393,-0.00548692,0.104658,-0.125779,0.0414527,0.0966357,-0.00206755,0.0320904,0.0225841,-0.0143351,0.112302,-0.135677,-0.0914219,0.160095,0.194378,-0.0683485,-0.035759,-0.0243123,0.110974,-0.0846331,-0.0232713,0.0503826,-0.174504,0.226923,-0.0239717,0.169793,0.08896,-0.0235345,0.0182845,-0.0780637,-0.169229,0.0933567,0.161498,-0.158146,0.00966308,0.0678474,-0.0512352,-0.255322,0.151778,-0.012448,0.0768988,-0.0821089,-0.0323457,0.0483921,-0.223567,-0.17534,-0.148709,-0.185533,-0.173413,-0.11704,0.0578648,-0.0390962,0.0542337,-0.0388197,0.129922,0.0212391
5,87.0044,-0.249453,0.0708347,-0.103091,0.057652,-0.139991,-0.00827694,0.117194,-0.109805,-0.0683552,0.0317968,-0.00416798,-0.113753,0.229119,0.0168043,-0.00369648,0.135681,0.137238,-0.243798,0.0316168,0.143766,-0.219108,0.135847,0.010412,-0.0448665,-0.123528,-0.117803,0.157267,0.101233,-0.0525292,0.0138929,0.00181399,0.141792,-0.0765103,-0.0572469,-0.0147237,-0.0853948,-0.0103799,-0.0114029,0.137409,0.190127,-0.012067,0.188182,0.0706533,0.034689,0.0986997,0.163359,-0.0113124,0.182968,-0.0932624,-0.051753,0.0252529,-0.00754925,-0.284105,0.132075,-0.0821951,-0.0865703,-0.0579115,0.0626657,0.0636222,-0.0289644,-0.0265713,-0.0456921,0.0149227,-0.0733506,0.0206481,0.00681323,-0.0345949,0.0629669,0.000882076,0.0795928,-0.201946,-0.0717841,0.170551,0.0561107,0.00496989,-0.00516216,-0.0902687,0.154851,-0.274948,0.0137573,0.030952
6,-83.8707,-0.0120084,0.0745701,0.0326137,0.0190594,0.185614,0.0853731,0.0156428,-0.0696532,-0.00972806,-0.0235156,-0.0707764,0.035951,-0.0145944,0.188188,0.106881,-0.0256398,0.166302,-0.0252949,0.162365,-0.00827893,-0.0206593,0.031175,-0.0538341,0.121891,0.0804141,-0.185057,0.0119723,-0.101228,0.0951432,0.0353801,0.0244745,0.152645,-0.0220313,-0.132431,0.0747428,0.0301587,0.301657,-0.0931789,0.195012,-0.152019,0.0350213,0.209119,-0.119246,-0.0163189,-0.137217,0.0710342,-0.159946,-0.0381697,0.188655,-0.0560407,0.0351496,-0.192627,-0.043882,0.0605153,0.0613135,-0.0290588,-0.0434523,0.170944,0.0878234,-0.0255221,-0.0778414,0.122453,0.147907,-0.14513,0.0149935,-0.122114,-0.0389247,-0.14016,0.0700753,-0.139046,0.148052,0.0641029,0.0128526,-0.121187,0.0502472,0.218672,0.114806,-0.249136,-0.054217,-0.118934,-0.0407649
7,81.2514,0.215947,-0.125323,-0.0303402,-0.0311585,-0.119276,-0.148253,0.051342,0.0555166,0.0829544,0.0153334,0.00641509,0.12012,0.00203025,0.0804527,0.0180978,0.204316,0.103975,0.0378202,0.127311,-0.153782,0.0779008,-0.20828,-0.00242152,-0.105487,-0.115861,-0.0775792,0.0136855,-0.0873075,-0.230162,-0.108256,0.0175455,0.0557866,-0.0303818,-0.143239,-0.167081,0.069513,0.0714889,-0.198657,0.0487626,0.00991009,-0.0694132,0.120128,-0.0155863,0.0345095,0.0355359,-0.061503,0.0466815,0.0500892,0.0491109,0.147635,0.0529553,0.0841859,0.0974105,0.0913087,0.214395,-0.117033,0.0549228,0.0530429,0.0763705,-0.229598,-0.0745947,-0.135838,0.0497496,0.0377826,-0.0603311,0.0652808,-0.00671461,-0.0298314,0.167164,0.253953,0.159349,-0.338676,-0.00109577,0.00873706,-0.108616,-0.0389177,0.0856923,0.0844967,-0.0409605,0.0663287,-0.0693345
8,80.6039,-0.0585101,0.0551578,0.0567823,0.00556196,-0.151295,0.055256,-0.0557468,-0.160608,-0.0158762,-0.0741029,-0.0766836,-0.176265,0.00822646,-0.00776659,-0.192732,0.0797913,0.0881746,-0.0903429,-0.119225,0.123001,0.150141,0.0721544,0.114311,0.141534,0.175949,-0.0596825,-0.157988,-0.148211,-0.0717743,-0.000474276,-0.116161,0.0268272,-0.0281875,0.0166961,-0.0216715,-0.0831587,0.00889315,-0.177259,-0.0859097,-0.0117578,0.0152283,0.113479,0.162514,-0.0214999,0.131812,-0.230301,-0.0566933,0.174875,0.0906276,0.146884,0.0280838,-0.0682587,0.186873,0.0204369,0.119571,0.108673,-0.151264,0.155671,-0.279075,-0.229687,-0.117999,-0.0522872,0.0398095,0.119863,-0.0416557,-0.0921002,0.0368075,0.0808896,-0.124719,-0.0806588,-0.0444842,0.144011,-0.0791616,0.0193697,0.0348784,-0.00448649,0.0969017,-0.0185129,-0.0544801,0.162616,0.183111
9,-80.5606,-0.235058,0.311981,-0.0632156,0.144929,-0.0579303,0.0162522,-0.0444674,-0.0307575,0.176304,0.0735054,-0.0608258,0.181956,0.0423942,-0.0646256,-0.171601,-0.135228,-0.0649294,0.0519028,0.0613291,0.171602,0.0689981,-0.164431,-0.214097,-0.00612079,-0.164727,0.0150605,-0.0432255,0.129434,-0.144232,-0.168703,-0.0617486,0.0207231,0.0548325,0.0594606,0.00272412,-0.168423,-0.0845129,-0.0591573,-0.109477,-0.0567306,-0.174045,0.0193484,0.0645259,0.0181148,-0.158183,-0.0105251,-0.0910496,0.00344456,-0.0392978,-0.0194472,-0.0126327,-0.107205,-0.00635031,0.077244,0.0896573,-0.209665,0.0570681,-0.134177,0.0702435,-0.0500592,-0.120027,-0.0824139,0.0558149,0.0682689,0.107935,0.0732392,0.105768,-0.204981,-0.0214361,0.134713,-0.0365612,0.0906146,-0.157584,-0.0988856,0.187505,0.060158,-0.0543577,-0.180436,0.0258892,0.0692848,-0.0153857
10,-77.8729,-0.156268,-0.110011,-0.0835316,0.0796955,-0.0417639,-0.0469156,-0.0120621,-0.0781388,-0.10587,0.137844,-0.100006,0.053119,0.0776098,-0.241277,0.00709301,-0.166233,-0.156119,0.184567,-0.018594,-0.148235,-0.0245797,0.186587,-0.0128651,0.112834,0.0787639,0.0587771,0.208827,-0.125521,-0.017638,-0.156532,0.0666017,-0.0834728,-0.238551,-0.0233105,0.164761,-0.179216,-0.0353397,0.0282481,0.0298517,0.158233,0.249424,0.0632547,0.109979,-0.0732076,-0.0294031,0.0234199,0.0324425,0.110966,0.0260351,0.168367,0.0236208,0.103003,0.0347306,-0.0468714,0.139699,-0.213173,-0.0227872,0.129548,0.178035,-0.103865,0.0738472,0.0671532,-0.034714,0.0509822,-0.125529,-0.029525,-0.18356,-0.0770139,-0.0665552,-0.0054873,0.0455495,-0.0191861,0.0336877,0.018637,0.040564,0.0249943,0.183864,-0.0588369,0.168366,-0.013718,-0.112814
11,76.6634,0.066044,0.0209601,0.0764765,0.12543,-0.0924365,-0.371201,0.0801455,-0.134135,-0.0291228,-0.0498085,-0.133547,0.103904,-0.0128119,0.074153,0.123439,-0.062872,-0.0378456,-0.0534872,0.168974,0.0256793,-0.106062,0.0899961,-0.0367486,-0.0831813,-0.0164188,0.0343849,-0.104422,0.17827,-0.0195921,-0.107677,0.046196,0.015363,0.222346,0.182786,-0.00142058,-0.11042,-0.0981003,-0.110548,0.235301,-0.0961439,-0.00783185,0.0753261,-0.0537848,0.0691086,-0.0891159,-0.0278326,0.0575695,0.0730623,0.0673008,0.0504215,-0.193439,0.0914105,0.13545,-0.240927,-0.0466286,0.0650355,-0.0138146,0.0697718,-0.0285811,0.0113743,-0.0654699,0.127137,-0.123288,0.0384834,0.198358,-0.00178576,-0.10439,0.112621,-0.231457,0.12698,0.127809,0.153431,0.0837393,0.0996834,-0.0886503,-0.0170011,0.134245,-0.0252635,-0.116034,-0.0729093,-0.0189589
12,73.9616,-0.0380922,-0.0680628,0.106817,0.0394157,-0.0624806,0.0928,-0.158159,0.0695231,0.0507198,-0.11238,-0.170796,-0.011135,-0.0695428,0.102309,0.0018243,-0.175358,0.0233099,0.0675522,-0.0108903,0.105464,0.114373,-0.0831593,0.198863,0.0601209,-0.147308,-0.0785444,-0.0975186,-0.0933019,-0.0709437,-0.230043,-0.103326,0.0448927,-0.140156,-0.087377,0.104699,-0.0229016,-0.250902,-0.041049,-0.0181563,-0.00101615,0.118255,0.00859891,-0.0697182,0.0409667,0.105686,-0.000128244,0.126114,-0.121454,0.165165,-0.274628,0.219047,0.0715406,0.0633006,0.0535086,-0.0542732,-0.0202398,0.130382,-0.156725,0.114043,0.077707,-0.0731883,0.0551019,0.0382353,-0.0806671,0.000216988,-0.0467888,-0.201017,0.115554,0.0926482,0.0459294,-0.114039,0.0311411,0.0216975,0.238049,-0.0406541,-0.020392,0.138394,-0.0890366,-0.250243,-0.0922147,0.0680056
13,-72.5704,-0.125613,-0.11143,0.0227652,0.261969,-0.161397,-0.18123,0.0619386,-0.0523576,0.172379,-0.0292109,0.189182,-0.0111873,0.0377391,-0.069588,-0.0338672,-0.166546,-0.0375884,0.0117368,0.14178,-0.153593,-0.130633,-0.112477,0.250375,0.0727204,0.0444244,-0.0730784,-0.102535,0.0284789,-0.0525011,-0.0935364,0.00422565,0.137815,-0.0544789,0.01614,-0.0865813,0.111139,-0.00239015,-0.0341833,-0.153851,-0.147701,0.0342029,-0.0572312,-0.174186,0.157404,0.135236,-0.130985,-0.134909,-0.0541579,0.126935,0.0733228,0.0904167,-0.102693,-0.298149,-0.117684,-0.0117591,0.0970486,-0.00552189,0.131673,0.0872967,0.0172267,0.02338,-0.0516558,-0.140342,0.0903364,-0.0661527,-0.0946837,0.0299817,0.000821129,0.0961072,-0.0915061,-0.0238639,0.0580703,0.174879,-0.0544652,0.139925,-0.126279,-0.145886,-0.0584166,0.122399,0.0489972,-0.0421373
14,72.0185,-0.0419376,-0.125186,0.0790716,-0.124205,0.0613494,0.0388105,0.00972111,0.0509954,0.202592,0.192009,-0.112518,-0.0193824,0.00252674,0.0144256,-0.0792986,-0.0103058,0.121933,0.116795,0.0667374,0.155327,-0.0555028,-0.0887199,-0.097941,-0.0662081,0.0424371,0.0755679,0.116697,-0.0162147,-0.00383603,-0.0390701,-0.156639,0.147987,-0.0469156,0.146254,0.0764426,-0.0408422,0.0341663,0.0673545,-0.300248,-0.0532419,-0.0487603,-0.00306251,-0.0890525,-0.060081,0.0536693,-0.0420485,0.00708745,0.0540961,0.0463687,0.0362801,-0.145049,-0.0321831,-0.061146,-0.179799,-0.0394255,-0.196197,0.0274865,0.0631496,-0.127323,0.0157719,-0.152284,0.253394,-0.189457,-0.0675117,0.0191167,-0.238808,0.0948203,0.00638803,-0.0350925,-0.0825175,-0.00436229,-0.245851,0.104837,0.153781,-0.208582,0.261148,-0.0215892,0.104077,-0.0229272,0.0929892,-0.0137069
