Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81
0,96.8576,0.139278,0.0396725,-0.119105,0.130946,0.0359979,0.0127691,-0.0289414,-0.00710864,-0.147424,0.0312063,-0.078239,0.0676907,0.101604,0.0899345,-0.197799,0.104104,-0.058696,0.028839,-0.219619,0.0038985,0.225033,-0.123079,-0.0741729,0.0518715,0.121262,-0.0118393,-0.133657,0.0439507,-0.022853,0.0121085,0.0460044,0.185023,0.0111775,0.109119,-0.085557,-0.0357899,-0.157033,0.0785655,0.0248022,-0.0639385,0.177656,0.18054,-0.0292824,0.0728483,0.107648,-0.0154058,-0.00479142,-0.12127,0.177907,0.0173449,0.147783,-0.050211,-0.152833,0.238665,-0.0235815,0.119803,-0.116057,-0.070831,-0.330483,-0.0405361,0.0522424,-0.24346,0.144073,-0.0993331,0.0302559,-0.0193355,0.0827474,-0.0538707,0.0812277,-0.133024,0.00268375,0.050554,-0.0578431,-0.0675033,-0.0968476,-0.112918,-0.0406635,0.0861361,-0.163753,-0.0987412,-0.0486614,-0.0539178
1,-95.0531,-0.0524198,0.199342,-0.0541003,-0.0157336,-0.00248117,-0.0476803,0.295907,-0.0950198,0.147971,0.0171118,-0.00640205,0.0608289,-0.0489758,-0.019218,-0.151673,0.0485397,-0.025244,0.0550188,0.109738,0.190504,-0.117837,-0.0825853,0.0305949,-0.0485346,-0.0340173,0.084496,-0.00537238,-0.0629792,-0.0859141,-0.04242,0.0349255,0.0983098,0.132945,-0.0615661,-0.129668,-0.202514,-0.129798,0.0549437,-0.140684,-0.00469906,0.197528,-0.0685153,0.0192425,0.116279,-0.225779,-0.0162499,0.0339673,-0.090935,0.116389,0.0449688,0.252811,0.00390054,0.190381,0.0223979,0.0677373,0.109492,-0.0348278,-0.0260055,0.0888656,0.0272279,0.0444328,-0.142983,0.0739025,0.110908,0.00725361,-0.0097612,-0.0101536,-0.0978798,-0.156225,-0.0162978,-0.112414,-0.115281,0.158949,0.0813866,0.162451,-0.173459,-0.0535385,-0.128691,0.185363,0.177674,0.0318477,0.192685
2,92.4596,0.0975951,-0.055467,-0.0246771,0.0591356,-0.116309,-0.138537,-0.0762081,-0.197662,-0.0311472,0.0693483,-0.0330869,-0.158301,-0.0371565,0.142439,0.08054,0.0357947,-0.308062,0.106155,-0.118071,0.0586609,-0.00687167,0.126033,-0.0572205,0.0496996,0.178363,0.151694,0.0414839,0.0389446,-0.00355228,-0.0309513,0.105774,-0.132159,-0.0187212,0.0229251,-0.0684017,-0.0428359,0.0801625,-0.119842,-0.0553353,-0.0130961,0.154714,0.11448,0.165614,-0.18636,-0.250681,-0.12168,-0.0725008,0.0482134,-0.058511,0.139495,-0.0340052,0.0252567,-0.156943,-0.156008,-0.0429093,0.00798232,-0.165943,-0.129331,-0.0566068,-0.0320997,0.182852,0.0566446,0.0658253,0.0703154,0.0390081,0.12403,-0.0654561,-0.0432265,0.115993,0.129051,-0.0531603,-0.0284591,0.185468,0.0779724,0.0218574,0.126118,-0.0876764,-0.0775861,0.0702399,-0.151894,0.260794,-0.0470015
3,91.7674,-0.0195126,0.0549008,0.0778314,-0.012289,-0.109811,0.199006,0.0988886,0.247306,0.0224176,-0.070959,-0.0552205,-0.0685882,-0.127924,-0.0137182,0.0329303,0.0285715,0.0167211,-0.155844,-0.069354,0.117645,0.0674996,0.00350443,-0.0584538,-0.361444,0.0207857,0.0267829,-0.115112,-0.174596,0.121468,-0.0593539,-0.00390507,0.094278,0.00303571,-0.209006,0.0133666,0.0797711,0.17969,0.191221,0.0950379,-0.025643,0.0785249,0.123644,0.0949979,0.0479658,-0.0673597,0.0880797,-0.107933,0.135904,-0.25385,0.0210024,-0.00362872,-0.0372084,-0.0711279,-0.0322902,0.0736698,0.0202746,-0.0142852,0.0744305,-0.0945279,-0.0537159,0.0274445,-0.22119,0.115198,0.173674,0.124031,-0.118176,-0.094111,-0.0202967,0.14161,-0.0437944,0.0164995,-0.11474,-0.0545176,-0.103082,-0.0491355,0.213207,0.0462939,-0.0298565,-0.0192917,-0.00506695,0.0863039,0.207114
4,-89.309,-0.0102723,0.0531366,-0.0309984,-0.0820773,0.0512199,-0.0744117,0.092339,0.0274877,-0.00503976,-0.00667961,0.0125334,0.0342404,-0.0404872,0.016709,0.129633,0.0857305,0.146906,0.242998,-0.118343,0.0280555,-0.0435844,0.264716,0.0699167,-0.0598095,-0.0677861,0.146441,-0.120079,0.159722,-0.131781,0.110322,-0.0943645,-0.170262,0.0904944,0.0680874,0.0581242,0.0833673,-0.154524,0.0976622,-0.263017,-0.049882,-0.091417,0.0673018,0.0224295,0.0016729,0.0653042,0.0129924,0.179151,0.0711395,-0.0232274,-0.137664,-0.0768807,-0.0520648,0.104678,-0.0758534,-0.100155,-0.202326,-0.0972959,0.0850419,-0.136757,0.0137796,-0.0448547,-0.17162,0.210386,0.184953,-0.043991,0.034611,-0.0036793,-0.242764,0.115348,0.262002,0.0271984,-0.0654102,-0.135603,-0.0152444,-0.0322945,-0.102269,0.0878149,-0.03669,-0.138825,0.0424353,0.0145416,-0.0338879
5,-86.5806,-0.0204389,-0.0856514,0.141285,0.0424617,0.0343305,-0.0279341,-0.0827499,-0.0394039,-0.067328,-0.0129345,-0.173796,-0.0266163,0.0364747,-0.0308531,0.0453882,0.0173455,-0.0321756,0.123934,-0.00210077,-0.0394986,-0.104742,0.0568566,-0.235405,0.0549893,0.158144,0.103327,-0.120322,-0.294209,-0.204828,-0.172858,-0.11563,0.120156,-0.0289127,-0.153694,0.0565016,-0.0437738,0.0337233,-0.0246852,0.110188,-0.113315,0.156061,-0.0279167,-0.162166,0.0178659,-0.00207574,0.143201,-0.128342,0.127797,0.211377,-0.193553,0.112316,-0.0758028,-0.0734715,-0.136324,0.0807495,-0.29322,0.0368838,0.0566828,-0.00298558,-0.158138,0.0723966,0.0463611,-0.0824874,0.0705193,-0.201833,0.0666328,0.0812672,-0.103684,-0.216952,0.0450635,-0.0173797,0.0654185,-0.0194326,-0.135079,-0.0298977,-0.0552188,0.145346,-0.0444626,-0.00586392,-0.0531348,-0.0194074,0.0260753
6,83.6536,0.284431,0.271306,0.0741358,-0.0662716,0.0967453,-0.082253,-0.0548398,0.0503158,0.0351515,-0.0681879,-0.0379741,0.0988063,0.0841607,0.246006,-0.0681992,0.210049,-0.111937,0.145994,0.122498,0.00902126,-0.017482,0.0457748,-0.113145,0.028256,-0.0766812,-0.123952,-0.160052,0.105636,0.0797483,0.0161736,0.00366435,0.00336742,0.269858,0.0274831,0.044745,0.146459,0.191265,-0.0237901,-0.0077447,-0.0238803,-0.170569,-0.0283484,0.0876723,0.0994885,-0.154715,0.0656948,0.0735476,0.0833522,0.169545,-0.0730396,-0.0868182,-0.00802856,0.000384753,0.117595,0.055017,-0.000694357,0.0931055,-0.203485,0.09381,-0.0262072,-0.197206,-0.0632344,-0.0875708,0.012989,-0.103236,0.0555118,-0.0464731,-0.0119394,0.0434538,-0.126341,0.0554321,0.0309235,0.0744582,-0.185538,-0.0946062,0.163058,0.0670145,-0.0217903,0.174776,-0.0302498,0.0956073,0.0124504
7,83.0173,0.00630694,-0.0806011,-0.0328942,0.00944365,0.0480686,-0.0723277,-0.0703576,0.0742665,0.0153765,-0.0897133,-0.10716,-0.191406,-0.0679482,0.0990865,0.0604097,-0.0602676,0.141385,-0.0149761,0.137159,-0.112718,-0.234532,0.108004,0.0932626,0.0169559,-0.0897554,-0.0559632,0.102445,-0.0334009,-0.0906931,-0.108187,-0.256604,0.00049567,0.0946399,0.097826,-0.230066,-0.120574,0.0690754,0.138524,-0.0797653,-0.302192,0.0151605,0.0247346,-0.0281352,0.108892,0.11486,-0.245675,0.0121143,0.0456456,-0.0359516,0.0639883,0.146763,0.100978,0.0157708,0.0741191,0.00409532,0.102647,-0.137416,0.0772085,-0.126614,-0.157572,-0.0869831,-0.0517001,-0.132712,-0.102496,0.116272,0.156929,0.185087,0.168733,0.0757977,0.0287806,0.0519118,0.00514473,0.135838,-0.110572,-0.113116,0.0978225,0.0196686,-0.00305658,-0.0268255,0.0873539,0.176228,0.0529162
8,-81.5686,0.0645113,-0.0953147,0.233678,-0.138288,-0.0756636,-0.0315727,0.0684602,0.0699321,0.0251154,-0.0911175,0.0921558,0.0567687,0.0164575,-0.211275,0.0320887,0.00820068,-0.0580546,-0.100729,-0.0528302,0.0238123,-0.083425,-0.0675774,-0.113096,0.279125,-0.10088,0.137996,-0.0314361,-0.0225527,-0.184245,0.0960946,-0.128478,0.100995,-0.033675,0.128939,0.0842936,-0.149168,-0.0444558,0.00187791,0.0143976,0.0559555,0.108893,0.129596,0.03611,-0.00861621,-0.112873,-0.170589,0.140023,0.105362,-0.114345,-0.086231,0.0878366,0.18078,-0.115507,-0.0226323,-0.219095,-0.0244483,0.011172,0.0175281,-0.0628944,0.304542,-0.0860344,-0.0640593,-0.0626613,0.114249,0.0224869,-0.0510988,-0.191297,0.00545985,0.0865115,-0.23092,0.0484767,0.256437,0.00451642,-0.0913982,-0.096882,0.048441,0.0332561,-0.0871922,0.0792154,0.0491062,-0.0139658,0.00414144
9,80.9782,0.169816,-0.254902,-0.0505238,0.18952,0.000974801,0.105298,-0.0705881,0.0242229,-0.10231,0.0725378,0.229058,0.224947,-0.215661,0.00837824,-0.14462,-0.0360212,-0.0562899,0.0529105,0.0189581,-0.03595,0.0944602,0.0842739,-0.121536,-0.0957478,-0.0425196,0.208796,0.0537587,0.0663232,0.0199782,0.0609519,0.0194092,0.108398,0.0826374,0.0805369,-0.00506526,0.130982,0.131734,0.179029,0.0452653,-0.166284,0.0683206,-0.158842,-0.0125711,0.195948,-0.0580574,-0.106269,0.171236,0.159128,-0.0406214,-0.0277734,0.0461255,0.121702,0.0155324,-0.0946852,-0.17822,0.0299648,-0.0252978,-0.103201,0.0396143,-0.152462,-0.0433493,0.148153,0.0849912,0.168708,-0.0879177,-0.020361,-0.0298386,0.141677,-0.178714,-0.00141124,0.0276595,-0.060384,0.0321812,0.0744074,0.112051,-0.0666674,-0.0615368,0.209037,-0.0519672,0.00624773,-0.0477791,0.0347719
