Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82
0,103.945,-0.187685,0.199475,0.0142083,0.233557,0.199292,-0.0147888,-0.120374,-0.0306118,-0.0977814,0.0925459,-0.137127,0.00776773,0.093419,-0.0608383,0.038195,0.0903871,-0.107559,0.164787,-0.0982267,-0.177501,0.0226752,0.175834,-0.0347744,0.144777,0.185634,-0.151803,-0.0873724,0.0465285,-0.290592,0.0487628,-0.139159,-0.0103535,0.076771,-0.0142497,0.242652,-0.0199037,0.171386,0.0236026,-0.0548286,0.00350999,-0.0232333,-0.0174262,0.0134424,-0.0280245,0.0236067,-0.0716253,-0.0153787,0.0152796,0.0770421,0.0283263,0.030056,0.0402479,0.0490685,0.250558,0.0620822,0.0310144,-0.0531467,-0.00180307,0.0205507,0.0342411,-0.188532,0.00792021,0.0619462,-0.0723861,0.0611722,-0.0512679,-0.0904411,-0.115682,0.115752,0.0632816,-0.106946,0.203706,0.0831532,-0.0100101,-0.0292149,0.287747,-0.0921684,0.0870923,0.0303522,0.0416159,-0.0384375,0.0044831,-0.0701456
1,-101.306,-0.0181352,0.0690604,0.0774647,0.014221,-0.0884065,0.0635298,0.0257839,0.00568847,-0.092386,0.105316,-0.0748294,-0.00265024,0.0700464,-0.0125155,0.0348109,0.119053,0.0871686,-0.0621581,0.0913512,0.0319359,-0.192417,-0.0331993,0.0937728,-0.256547,-0.0250047,-0.128469,-0.114491,-0.200259,-0.0101443,-0.0817044,0.113611,-0.162536,-0.189141,-0.00586384,-0.0246255,0.157829,-0.0256917,0.0928972,-0.075423,0.068435,0.0706955,0.23578,-0.0597433,-0.208654,0.134468,0.0555975,0.0628908,0.224387,0.0741878,-0.216171,0.153525,-4.61745e-05,-0.0329548,0.128149,0.107754,0.0187035,-0.0802685,-0.224354,-0.17589,0.0500907,-0.00227715,-0.052365,-0.0472004,-0.0528571,-0.0458666,-0.0478715,-0.0370342,0.0881515,-0.000873121,0.0736102,0.132832,-0.0580934,0.0336444,-0.0703977,-0.219657,0.146942,0.0266767,-0.175876,-0.192011,0.136759,-0.0742679,0.057058,-0.0337981
2,-97.3693,-0.0125972,0.0951687,0.0952141,0.0131923,0.021226,0.195128,0.00847166,-0.228807,-0.0572399,0.158205,-0.0437374,-0.0739314,-0.0020204,0.140831,0.192583,0.175098,0.0135984,0.0456293,0.0602244,-0.295587,-0.00627984,0.0564081,0.0388699,-0.0872914,-0.0119336,-0.0434005,0.0958066,0.0795298,0.0736484,-0.0652896,0.0149979,-0.235878,-0.0301504,-0.133673,-0.177214,-0.00930868,-0.0328014,-0.0780247,0.0407534,-0.111003,-0.0714269,0.0379356,0.0890016,0.132198,-0.177438,-0.0657492,-0.187146,-0.0990844,-0.0995329,0.0442108,-0.0312498,-0.123799,-0.0949123,-0.0874987,-0.134184,-0.126395,-0.19637,0.0709375,0.00603681,0.0272574,-0.0392912,-0.0518085,-0.000461358,0.0975029,0.145349,0.159971,0.16005,-0.143644,0.143993,-0.0957428,-0.0295323,-0.231648,0.0506845,0.100681,0.00484958,0.112179,0.0693533,-0.0422387,-0.0638434,0.137388,-0.0762793,0.109615,0.0872694
3,93.1668,0.211921,0.00279768,-0.035456,0.0563592,-0.00520786,-0.00690897,-0.140732,0.0599693,0.138027,-0.0145775,0.0294085,0.0174724,-0.0382544,-0.122305,0.018358,0.0213934,0.160352,-0.0600818,0.103226,-0.168183,0.00811143,0.00246441,-0.00379685,-0.128131,-0.0581779,-0.137008,0.0916183,-0.0905621,-0.0432704,0.109488,-0.123417,-0.0406979,-0.12471,0.0139922,0.0357224,0.116791,0.0755183,0.244766,0.15268,0.287413,-0.169058,-0.167675,0.226065,-0.0790154,-0.000133207,0.0112664,-0.125567,-0.137664,-0.147968,-0.216122,-0.00146582,0.0649628,-0.129419,-0.0679933,0.129807,0.223141,0.169115,0.0390635,0.0435917,-0.106229,-0.0652894,0.0496597,-0.0127366,-0.0145612,0.200338,-0.108726,0.0472821,0.0676685,-0.00430317,-0.100224,0.00496226,-0.012261,-0.0773605,0.0995074,0.13757,0.100719,0.0261308,0.0643591,-0.0308602,-0.132106,-0.081164,0.149503,-0.0823492
4,-92.5859,0.107746,-0.0605188,0.0613909,-0.0766988,-0.132407,0.147741,0.029384,-0.0721352,0.0916233,0.133992,0.0843269,-0.0799697,0.19855,0.178144,0.209156,-0.135756,0.045981,0.0255068,-0.174607,0.00216931,-0.0647026,0.0752483,-0.0162093,0.080755,0.181489,-0.00789259,0.0190966,-0.0684591,-0.0529161,-0.0400738,-0.0387417,0.0228593,-0.104627,-0.190144,0.0649393,-0.103853,-0.00495811,0.112102,0.0977911,0.268517,-0.135797,-0.0419445,-0.105066,-0.0837279,0.0270256,-0.0584062,-0.00129183,-0.0347387,-0.0333525,0.095748,-0.0342113,-0.145883,0.149578,0.160789,0.0345364,-0.0133645,-0.170706,0.0304123,0.0440717,-0.102826,0.0354049,0.0264886,-0.251038,0.273425,-0.122844,0.13142,-0.128826,0.099097,-0.0500245,0.0988916,0.0012704,0.0588737,-0.140771,0.104025,-0.128215,-0.0822398,0.0382756,-0.0665976,0.144356,-0.104414,-0.0399101,-0.0269169,-0.170754
5,-89.7728,-0.0553319,-0.0638536,-0.00898411,-0.0701886,0.0381323,-0.14958,0.0294229,-0.122075,-0.0497862,0.236914,-0.0633342,-0.160726,-0.0806221,0.124268,0.00779356,-0.0508825,0.228914,-0.106317,-0.00485119,0.0134638,0.0618,-0.0353306,0.0915341,-0.126562,-0.144631,0.0484511,0.0429751,-0.103584,-0.128451,-0.154316,-0.18537,0.000640063,0.0362643,0.0678304,-0.0136176,0.0252819,-0.106779,-0.10897,-0.0789392,0.0870635,0.122453,-0.191727,-0.00980818,-0.132057,0.0521236,-0.109293,0.119528,-0.0118958,0.0843852,0.0882721,-0.275452,0.0436143,0.109706,-0.045329,-0.0830544,-0.0172629,0.0361746,-0.0722621,-0.0436079,0.30355,0.0080603,0.0307118,-0.0518692,-0.0385068,0.161769,0.0187247,-0.0712227,0.0162677,0.121846,0.13828,-0.0931782,-0.0909804,-0.16966,0.0399975,0.237495,0.141179,-0.17025,-0.0623849,-0.0745667,-0.0434773,0.0552298,-0.101976,-0.161566
6,87.4687,-0.00610103,-0.12529,0.0592259,0.137073,-0.139494,-0.0149339,0.214142,0.247105,-0.0179867,0.0200976,-0.0845939,0.0420898,-0.0454761,0.039129,0.191535,0.0655959,0.0601448,0.00383755,-0.0808648,0.129205,-0.168191,-0.164587,0.0860178,-0.121699,0.0114184,-0.0713623,-0.052226,0.00906107,-0.185911,0.15335,-0.0141816,0.0561319,0.0330543,-0.220861,-0.0849716,0.0242742,-0.0716872,-0.0218996,-0.0414095,-0.13728,-0.0112713,0.0412335,0.0757442,0.0911989,0.106534,-0.141326,-0.0591849,-0.0110081,0.0412935,-0.12831,-0.100826,-0.147292,-0.0147055,-0.0450673,-0.147389,0.23646,-0.048242,0.128639,0.200201,-0.030523,0.0683252,0.130105,0.133028,-0.0210272,0.0101555,-0.0436375,-0.0716213,-0.14555,0.180184,0.113527,-0.0143067,0.220697,-0.147096,0.0847715,-0.0310244,-0.0321131,0.0424149,0.0175994,-0.149692,-0.072956,-0.0932046,-0.0942387,0.205363
7,-85.9333,0.140351,0.0947216,-0.0411351,0.107748,0.0155975,0.000760551,-0.072444,-0.107641,0.0761603,-0.0874534,-0.154001,-0.0505002,-0.0666074,-0.202049,0.0160532,0.0727827,0.105182,0.0410661,-0.0646722,0.142651,0.191395,0.0861889,0.176293,0.148908,-0.0133659,0.0328203,-0.214652,-0.0302772,-0.0626318,0.0227211,0.0264092,-0.0190476,-0.0177339,-0.0404486,-0.251754,0.168368,-0.168965,-0.141592,0.0411829,-0.12453,0.0315319,0.071044,-0.131424,-0.0111298,0.086772,-0.11072,-0.0732266,-0.150113,0.0216329,0.00820369,0.0835203,0.204268,-0.0749389,-0.0171557,-0.00330127,-0.0501695,-0.122823,0.0177349,0.0750323,-0.0718957,0.0499227,-0.0900239,-0.132016,-0.070972,0.0321827,0.0520196,0.15605,0.157426,-0.139021,0.241001,0.0235584,0.103415,0.0183814,0.34349,-0.0414306,0.107023,0.0403919,0.0141296,0.0234509,-0.150358,0.0602031,0.0528386,-0.100534
8,85.8195,0.118632,-0.0962609,-0.138382,0.107611,0.0925717,0.115335,0.128592,0.0517779,0.148507,-0.107089,0.0420469,0.0247711,-0.0594667,-0.0515216,-0.034322,-0.0669916,0.110051,0.0494554,-0.136302,0.065118,-0.00385909,0.0552829,0.194314,-0.0585257,-0.0271231,-0.0638971,0.0233159,0.178608,-0.0935058,-0.0244156,-0.174237,0.0256718,-0.147592,0.0586214,0.0320216,0.162741,0.0994222,-0.195261,-0.0967525,0.0758828,-0.0899214,-0.122643,-0.00237753,0.0913107,-0.107882,-0.0238673,-0.111724,0.0479498,0.121855,-0.0335457,0.0528278,0.0985031,0.163607,-0.0656928,-0.0601122,0.0698599,-0.144785,0.0681853,-0.0369455,0.0837996,-0.0287872,0.189591,0.0726445,0.172797,-0.228776,0.0181178,0.0681466,0.210773,0.179506,0.0291854,0.226802,-0.115889,0.221848,-0.210845,0.0619263,0.100412,0.0775577,-0.040686,0.0689794,0.16606,-0.0162549,0.0209361,-0.0397671
9,83.5424,0.00832789,-0.027789,0.055923,-0.0638814,0.0336494,0.0543416,0.0165476,0.149599,-0.153423,0.0626305,0.069142,0.13282,0.117917,-0.138731,-0.02551,0.237972,0.131832,0.141213,0.198396,0.0104241,0.180943,-0.034088,-0.0332671,0.118513,0.158536,0.132539,-0.135647,-0.0553719,-0.01796,0.140256,-0.104326,0.13091,0.0517953,-0.0522259,0.147122,0.0161939,0.000550326,0.100751,0.0565721,0.0250653,-0.0971238,0.0207567,0.0639565,0.00210274,-0.029349,0.0163828,0.0910434,-0.149945,0.117995,0.0658646,0.0245565,0.098912,-0.237839,-0.0418277,0.0946581,-0.0299446,-0.0476049,-0.0307444,-4.65801e-05,0.179226,0.17685,0.210149,-0.116184,0.098716,-0.109859,0.0177714,0.107581,-0.209684,-0.00588488,0.119772,0.103118,-0.262617,-0.0528728,-0.0171275,0.0542668,-0.00502063,0.0236012,-0.215645,-0.0346916,0.0256939,-0.104987,-0.202271,0.00701232
