Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83
0,103.646,-0.14876,-0.120471,-0.0853934,0.139868,-0.0160565,-0.0174895,-0.208618,0.0171493,-0.127823,-0.0590099,0.138761,0.133538,-0.0779929,-0.241211,-0.127949,0.10103,0.191833,-0.111015,-0.12122,0.125885,0.19598,-0.0433696,-0.121634,0.089969,0.0930828,-0.00237118,-0.12822,0.0494742,-0.11744,-0.0562196,0.107247,0.0820103,0.10891,0.0818375,0.0134635,0.040636,0.132001,0.0557256,-0.0539843,-0.116477,0.0446252,0.0273076,0.00678411,0.0457783,0.114918,-0.160855,-0.0391222,0.075856,0.165102,-0.00712423,-0.232265,-0.0479994,0.024901,0.0606178,-0.139073,-0.0157538,0.0795156,0.0167289,-0.110219,0.000233644,-0.008854,0.139085,-0.0486851,0.108074,-0.0339818,-0.042296,-0.134982,0.0857332,0.0404066,0.251635,0.162301,-0.112627,-0.146454,-0.0916906,-0.175787,0.0530464,-0.0940699,-0.171039,0.0533278,-0.0674498,0.125967,0.0585607,-0.079188,-0.057847
1,99.2855,0.00510964,-0.0694718,-0.125853,0.0301537,-0.0895977,-0.0882391,0.00277229,0.14111,-0.00633898,0.0315269,0.0165327,0.00293108,-0.0719254,-0.137812,-0.0519679,0.0742332,0.0295856,0.0575408,0.0436747,-0.127754,-0.120119,0.102257,0.0164506,0.155956,0.0122592,0.132788,-0.0912306,-0.0388265,0.0361422,-0.0234635,-0.0677648,0.0902617,-0.0867223,0.0835913,0.114638,0.0870218,-0.000455954,0.0761046,-0.115581,0.0454541,0.114492,-0.132592,0.0706338,-0.111531,-0.11978,0.0845098,-0.0941561,-0.136181,-0.0871434,-0.249059,-0.0379918,0.0932974,-0.156281,-0.0421082,-0.116737,-0.0482081,-0.0510215,0.255222,0.0751067,0.139265,-0.157148,-0.175315,0.0939368,-0.084873,-0.132087,0.147572,-0.11499,0.0725619,0.0839736,-0.0450689,-0.161079,-0.188801,-0.312508,-0.151132,-0.0169785,-0.0414577,0.177981,0.0719124,-0.014998,-0.0157536,0.0565723,-0.0796897,0.110001,0.213042
2,-97.4686,0.0781883,0.0194381,0.0602347,0.026315,0.100328,0.163868,-0.107342,0.0112325,-0.0306719,-0.0153644,-0.0582997,-0.0470518,0.147054,0.00789977,0.0932727,0.00774689,-0.174995,0.0513393,-0.26874,-0.0483861,-0.00460881,0.0135525,-0.101243,-0.0724983,-0.139263,-0.0775413,-0.0896669,0.0354772,-0.0916486,-0.155434,-0.0543897,-0.042914,-0.0704769,0.123997,0.212824,-0.0265828,-0.061311,-0.0236126,0.067281,0.145063,0.113343,0.0227748,-0.0133235,-0.0863965,-0.193179,-0.0152109,-0.031429,-0.238272,0.203665,0.121391,-0.170777,-0.14503,0.157302,-0.149338,-0.0358307,0.206029,0.0693021,0.110864,-0.0479388,0.0160955,-0.125571,0.136229,0.0544105,-0.0353157,0.000232027,-0.1201,0.128107,0.0336717,-0.00902649,0.00196805,0.100514,-0.0894854,0.164921,-0.0419341,-0.12686,-0.19155,0.0513625,0.0611936,-0.104423,-0.156919,0.0438418,-0.0150458,0.014035,0.252388
3,-96.8699,-0.191174,0.113861,0.0526011,0.129967,0.275775,0.00735707,0.0833392,0.103815,0.0171367,-0.124327,-0.105213,-0.188521,-0.160945,-0.0143868,-0.109018,-0.181297,-0.102789,0.0123277,-0.0790658,0.105808,-0.0743892,0.148188,0.0232155,0.139846,-0.0632789,0.0301832,-0.0849581,-0.05163,0.0260241,0.0185735,0.0207512,0.0534415,-0.0143554,-0.196085,0.0385919,-0.078243,0.192584,-0.154854,-0.0116651,-0.0590277,0.192609,0.0177146,-0.0860355,0.0253754,-0.13522,0.047511,-0.151531,-0.00505494,0.0869004,-0.0883456,-0.109238,0.0331079,0.205305,-0.101924,-0.0524855,-0.128532,-0.159491,-0.180981,0.10179,-0.123732,-0.0985217,0.0498548,0.00407623,0.130232,0.00641392,-0.0460738,-0.114621,-0.0856835,0.056783,-0.193263,-0.0105741,0.0163279,-0.061229,-0.0970464,0.0964271,0.205401,-0.115119,-0.0375171,0.0564253,-0.108556,-0.145782,-0.0794466,-0.0936098,0.0391766
4,92.1916,-0.0628809,-0.0289628,0.0803874,0.0873623,0.0770804,-0.00279193,0.149391,0.0692676,0.268994,0.232779,-0.0887407,-0.101832,0.0793109,0.155012,-0.0159689,0.140795,-0.141972,0.0361505,-0.127894,0.0592854,0.0551283,-0.16201,0.0988155,-0.0510868,0.156623,0.0118775,-0.0630032,-0.108697,-0.210005,-0.041225,0.010044,-0.0512133,0.0425661,-0.0916002,0.0585528,0.212762,0.0657548,0.275543,0.0683629,-0.0675734,-0.0183625,0.0942202,-0.0503709,-0.0682108,-0.0568017,0.130272,-0.105353,0.0635792,0.0859999,-0.00717307,-0.0112609,0.0192683,-0.156387,0.108514,-0.11374,-0.0701186,-0.101567,0.0981763,0.0874707,0.193982,-0.0537342,0.0212497,0.0288649,0.00766621,-0.00946916,-0.248856,-0.196221,-0.0798587,0.131518,0.0630724,0.0512919,0.00780044,0.110439,0.0522491,-0.0784133,-0.0443564,0.113353,-0.00290995,0.0269725,0.0925518,0.00327413,-0.16808,-0.0888612,-0.192465
5,87.4259,-0.123696,0.0636128,-0.00792354,-0.0929134,-0.123856,0.314101,0.215406,0.206814,0.07999,0.000531238,0.158548,-0.0460236,-0.0972264,-0.0586309,-0.0534313,0.151603,0.0961136,0.0959222,-0.0933965,0.0797534,0.0439118,-0.10029,0.100723,-0.0819832,0.0248149,-0.0413642,-0.102221,-0.0492949,0.104498,0.11935,0.0881578,-0.0297462,0.0280305,0.126684,-0.107868,0.00289048,-0.102669,-0.0312743,-0.035458,0.005937,0.199811,0.00838408,-0.125287,-0.189754,0.103135,-0.1357,-0.159159,-0.178567,-0.0671934,0.108188,-0.0121333,-0.00191893,-0.166552,0.111004,0.0693627,0.061975,0.0988023,-0.142874,0.213068,-0.0907986,0.0778901,0.0276137,-0.04655,0.0555953,-0.01141,-0.0335116,-0.112263,0.0967896,-0.0732877,-0.0482282,-0.0603788,0.11265,0.089369,-0.20018,0.0358607,0.0406296,0.146282,0.0605099,-0.132351,-0.0701447,-0.0244273,0.221659,-0.0630563,0.0728046
6,-85.8877,0.128526,0.0346232,-0.125359,-0.0337759,-0.0319494,-0.0385203,0.0521344,0.100884,0.0100554,-0.04105,0.123887,-0.11513,0.0795936,0.0740789,-0.0703674,0.100334,0.147492,0.251078,-0.0707254,-0.133269,0.0703057,-0.0182655,-0.282436,-0.118079,-0.0930487,0.111966,0.166227,0.218017,-0.0592812,0.0672411,-0.117556,0.157075,0.0824973,-0.138463,0.124278,-0.045668,0.0477231,0.215279,-0.043624,-0.137749,0.0653251,-0.0423504,-0.105273,-0.0727983,0.0680041,-0.0264204,-0.00145104,-0.0334836,-0.0294584,-0.0724442,0.0602643,0.203933,0.105988,-0.155958,-0.118196,-0.0242685,0.171981,-0.20037,-0.060493,-0.0344903,-0.0385763,0.0269183,-0.0510401,0.0831835,-0.123345,-0.115877,-0.0892684,0.0780687,-0.0716304,-0.103949,0.204397,-0.0988767,0.0107195,0.187599,0.119713,0.00649051,0.00994065,0.149015,0.0273782,0.160468,-0.0447644,-0.00225133,0.0347331,0.0425025
7,-85.2148,-0.128989,0.138586,0.0686041,-0.139814,0.188591,-0.0713305,-0.0205826,0.00648467,0.0271952,0.153916,0.0334929,-0.0717308,0.0657539,-0.26949,0.0211926,0.157907,0.0904368,0.00347769,-0.00920609,-0.144899,0.0655131,-0.0145593,0.0151463,-0.226635,-0.10333,0.240277,-0.174567,0.0867453,0.0381766,-0.176892,-0.0845259,-0.133695,-0.0772313,-0.103285,-0.187372,-0.291497,0.0312395,-0.111017,-0.000874549,-0.00318041,-0.040358,-0.0116245,0.200233,-0.00241964,0.0347989,-0.146966,0.0627685,-0.0348255,0.0442347,-0.101765,-0.0877502,0.0393813,0.0483186,0.098403,-0.107547,-0.135498,-0.0339276,-0.0729088,0.110791,0.133667,0.0676747,0.0522969,0.165331,-0.120092,0.0078056,0.0788588,0.0614032,-0.107453,0.0832846,0.0272655,0.0402823,-0.155977,0.175173,-0.0502179,0.0207786,0.0413255,0.113612,0.0135863,-0.0845432,0.0689474,-0.0407598,0.00103033,0.109513,-0.133969
8,-84.6621,0.146266,0.188935,0.156368,0.0722747,-0.0372122,0.0815142,-0.0304471,0.100549,0.0300897,0.00828577,0.0640017,0.0754994,-0.0468212,0.128734,-0.119872,0.0413928,0.135853,-0.0509895,-0.0365344,-0.080716,-0.0137325,0.0573238,0.03435,-0.169061,-0.00986613,0.0694807,-0.36328,-0.051909,-0.0238471,0.0293316,-0.189358,0.0609675,-0.150662,-0.0896108,0.162663,0.217778,-0.11694,0.0203241,0.096143,-0.0596623,-0.0300502,-0.0101576,0.0870093,0.203438,-0.0249575,-0.126111,0.162614,0.135715,0.0877196,0.0401274,-0.0498604,0.140178,0.0588049,0.0390466,-0.0381763,0.169597,-0.0331809,-0.0472153,0.213528,-0.0579101,-0.065309,-0.0846021,0.155705,0.0989151,0.0908216,0.144397,-0.0266158,0.145131,-0.0686239,0.0295906,-0.00718074,0.241472,-0.0818289,-0.0454573,-0.00465026,-0.0327796,-0.20948,0.0215198,0.0242899,0.124782,0.0738032,-0.075989,0.00971907,0.0456873
9,83.9972,-0.239128,-0.0669275,0.227253,0.11885,-0.0747063,-0.0712927,0.0629552,-0.0398043,0.0342647,0.0683987,-0.0938687,0.0756709,-0.126072,0.0740712,-0.00717814,0.0847862,0.0672597,0.0829418,-0.146732,-0.0161125,-0.0147807,0.102115,0.00819325,0.152722,-0.114297,0.0796,0.10886,0.0463583,0.151096,0.071167,-0.0475551,0.0596201,0.15375,0.105528,0.104497,-0.0267214,-0.0541535,0.036599,0.0765699,0.0655639,0.00985573,0.00895289,0.0461219,-0.0276109,0.148661,-0.126212,-0.00750183,-0.0807705,0.0702316,0.05749,-0.199535,0.146821,-0.180863,-0.0226567,0.133202,-3.68125e-05,-0.0145635,-0.0527379,-0.153015,0.0541646,-0.0516444,-0.110099,0.0703278,-0.214588,0.212467,0.0146428,0.0814235,-0.0602423,0.188218,-0.113976,0.259053,0.198175,-0.0669373,0.115878,-0.0207987,0.014184,-0.00467083,-0.196984,-0.148242,0.106105,-0.156923,-0.0562127,0.107904,0.0913522
