Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84
0,106.14,0.0114792,0.0245715,0.0111132,-0.0273316,-0.0384781,-0.161438,0.0631412,0.0192968,-0.0817944,-0.0976312,-0.219573,-0.167199,0.0898593,-0.081008,0.174193,0.0358009,-0.0567816,-0.0205708,0.176471,-0.153666,-0.204922,0.301252,0.111421,0.0113201,0.0527068,-0.0731862,-0.0653845,0.0326623,-0.125588,-0.00945875,0.00634366,0.181266,0.0215355,0.0605083,-0.0884931,-0.0464394,0.0332726,0.0649554,-0.0989599,-0.130423,0.0546836,0.160372,-0.13661,0.0559851,0.0455436,0.156317,-0.0450252,-0.0407294,-0.0271447,0.0262427,0.265623,0.122295,0.177516,0.0498464,-0.101182,0.0518092,-0.228865,-0.025984,-0.0825518,-0.0586318,0.105193,0.0275746,-0.0795619,0.0712777,-0.0815533,-0.132882,0.0819012,-0.0408978,0.067694,-0.116477,-0.142692,0.154896,-0.189378,-0.099352,0.119787,0.0959631,-0.0953722,-0.0662193,0.0197979,0.0040783,-0.129535,0.0627919,0.0764034,-0.037338,0.0907877
1,-98.9601,0.189653,0.175914,-0.162554,0.0675919,-0.0685328,-0.115487,-0.00704947,-0.0260359,-0.203094,-0.0115084,0.0826362,0.233748,-0.0179619,-0.0477375,-0.223727,-0.128717,0.106344,-0.0970805,-0.106888,0.0701561,-0.0754022,0.0379805,0.0563113,-0.0635793,-0.0398849,-0.00876466,0.0904782,0.0359154,-0.120204,-0.076415,-0.0765474,0.0599109,0.128434,0.313015,0.00498487,-0.019361,0.0233144,-0.0764561,0.00413503,-0.228845,0.100898,-0.11752,-0.109365,0.0669545,-0.0204448,-0.0665837,0.150592,-0.0217389,-0.296241,-0.0181938,0.0514221,-0.0311008,-0.0723147,0.150077,0.0718253,0.0120121,0.122721,-0.013227,-0.0835599,-0.138556,-0.0257071,-0.0811511,-0.0778178,-0.0471321,0.0233178,0.0810034,-0.0709855,-0.116806,0.0430686,0.0195158,-0.0876526,-0.0886057,0.0258807,0.00883659,-0.0126507,-0.173469,-0.0320539,-0.0446359,0.0568946,-0.148796,-0.149648,0.238489,0.111273,-0.0223863,0.00828154
2,98.1156,-0.138216,-0.0480409,-0.138208,-0.0164869,-0.00974459,0.127453,-0.239931,0.109025,0.0798274,-0.305294,-0.105847,-0.0282507,-0.0385525,0.0572607,-0.0471402,0.029682,0.140629,0.0432679,0.0904927,-0.0602024,-0.0626886,0.0319194,-0.10251,0.0555942,0.017262,-0.138,0.29516,0.0713396,-0.00188309,0.0133382,-0.139649,0.0425332,-0.0229013,-0.00386818,-0.0238763,0.170818,0.0234042,-0.0911299,0.0910952,0.120201,-0.00276337,0.128494,-0.223291,-0.00447635,-0.0389552,-0.0816194,-0.0198265,0.0943026,-0.0555792,-0.100005,-0.0414468,-0.21327,-0.0664872,-0.205396,-0.0440264,0.0494483,0.0308604,0.0223468,0.180379,-0.1367,-0.0238388,0.00794201,-0.0231121,0.174055,-0.0100095,0.195851,-0.109378,0.143779,0.0741211,-0.0794592,-0.186247,0.134996,0.0633381,-0.00486239,0.0666459,0.087014,-0.122803,0.116664,0.080859,-0.121449,-0.0724388,0.0362453,0.000849483,-0.00856966,-0.138844
3,94.3933,-0.00117932,0.0584084,0.0609515,-0.0912782,-0.214451,-0.0591378,-0.00183568,-0.0792959,0.131236,0.0920223,-0.039608,-0.0614735,-0.108231,0.172518,0.0957553,-0.218753,0.0360799,0.082163,0.107861,-0.076211,0.0222742,-0.0273534,0.0118074,0.25294,0.0893984,-0.0959324,0.0882256,0.0752171,0.0618822,-0.108259,-0.148601,0.0615281,0.107402,0.197505,0.161935,0.00426098,-0.168233,-0.168052,-0.00357771,0.0257455,-0.0608738,0.0986805,0.0990553,-0.144599,0.0877638,-0.185596,0.0844357,-0.134912,0.201972,0.033319,0.0399255,0.122459,0.171758,-0.058303,0.0883975,0.0142482,0.0785346,0.0722003,-0.116415,-0.0421405,0.134055,-0.0428156,-0.119118,-0.157598,-0.144215,0.122598,0.0788756,-0.138876,0.0405079,-0.0101087,-0.0681704,0.0470298,0.0480745,-0.0753363,0.0681136,-0.101891,0.184387,8.02481e-05,0.0123953,-0.0357256,0.0936851,-0.0604653,0.0595979,0.154079,-0.193952
4,-93.8468,0.0395281,-0.0445664,-0.00295231,0.0781505,0.101752,0.200686,-0.0302008,0.08055,0.0392877,0.10699,0.09429,0.0947449,-0.0863244,0.0613224,-0.00947478,0.0621785,0.0443515,0.194319,0.0867473,0.0162776,-0.0503408,0.0529561,-0.0275074,0.0497638,0.0663686,-0.246859,0.0648272,-0.052361,-0.0872082,-0.209065,0.156612,-0.165554,0.0313157,-0.100043,-0.0585538,-0.163165,-0.0369665,-0.0750125,-0.0449896,0.00871911,0.0447795,0.0146318,-0.0942816,-0.121438,0.137997,-0.0633509,-0.0528228,-0.0927555,-0.0251682,-0.129001,-0.0703511,0.121576,-0.165319,-0.0882076,0.267337,0.283973,-0.0983345,0.103292,-0.0924551,0.0101747,0.0721686,0.0219228,-0.146555,-0.0613751,-0.0296966,-0.201441,-0.127541,0.106836,-0.0204025,0.106011,-0.101849,-0.0841032,-0.205916,-0.0653471,-0.222612,0.0485154,-0.0747948,-0.146906,-0.0658796,0.0466313,-0.159226,0.0495386,0.0148859,0.0388882,-0.00332086
5,-88.9295,0.064355,-0.105604,0.0799212,0.224271,-0.0579716,0.0229369,-0.178122,-0.0877049,-0.217471,-0.0236387,0.155752,0.0259799,0.0162554,0.183048,-0.123705,-0.00639552,-0.0956817,-0.104761,0.106205,-0.063881,-0.0448914,0.0978311,-0.0291678,0.00755851,0.108515,0.0897783,-0.0821613,-0.0236634,-0.111399,0.111887,0.0519765,-0.0524762,-0.0508844,-0.0660517,-0.0429131,0.124101,-0.135207,-0.131766,-0.212347,0.0935032,0.0985075,0.290965,-0.06767,-0.1195,-0.0680135,0.155503,0.00538769,-0.0915245,-0.0028867,-0.0487535,0.0716052,-0.0551533,0.0855421,-0.0668144,0.0724716,0.0462567,-0.0890168,-0.203911,-0.027136,0.0761697,-0.238352,-0.0936379,0.00496461,-0.0314578,0.091218,0.0171784,-0.066151,-0.162138,0.0638097,-0.010362,0.0650538,-0.0231702,0.0894929,0.0748861,-0.101724,0.14838,0.205615,-0.0426802,-0.0615138,-0.124436,0.141135,0.187861,-0.103859,0.0893189,-0.0963125
6,87.2463,-0.0732389,0.00745787,0.0178281,0.0632834,0.016961,0.00391681,0.0413128,-0.00273752,0.0363537,0.0600214,-0.0590182,-0.0518462,0.12867,0.227015,-0.184079,-0.144296,0.0266819,-0.102295,-0.187961,-0.0586406,0.0686698,0.0619368,0.137335,0.0457229,-0.114441,-0.0193445,-0.00828721,0.210913,0.209723,-0.0602832,-0.0295616,0.0357215,0.166622,-0.0429539,-0.0453495,0.209185,-0.00175533,0.222634,-0.0754459,-0.0604243,-0.0181126,-0.116867,-0.0401661,-0.0559482,0.0547067,0.044976,0.0380135,-0.0351275,0.0960379,-0.121707,-0.188734,0.041265,0.16366,-0.148299,-0.125031,-0.111673,0.0100379,0.0505478,0.14389,0.110227,0.140954,-0.104883,-0.0941431,0.020238,0.184406,-0.180751,-0.157848,-0.0180828,-0.0692019,-0.100132,0.00821476,0.0342324,-0.208365,0.0241277,-0.0211135,-0.0187644,-0.0717743,-0.0532331,-0.0600248,-0.0857924,-0.123898,0.186078,-0.156941,0.214269,0.0148664
7,86.1646,0.0100889,-0.152072,0.132932,-0.120245,-0.0747229,-0.082962,0.0911353,0.096087,-0.0119281,0.0508781,0.0850274,0.00349703,-0.0968849,-0.0153111,-0.0405903,0.0437629,0.0260591,-0.00837291,0.0773017,0.151292,0.256671,0.125234,0.2262,0.0532477,0.191786,0.0644763,0.00579248,0.00623417,0.0718969,0.0633075,0.0158751,0.0669324,-0.0599057,0.0661554,0.0910912,0.105516,-0.0518312,0.158376,0.215369,-0.222434,-0.150998,0.00666286,-0.10719,-0.0326802,-0.0598264,-0.0853073,-0.147653,-0.0320081,0.0285146,-0.197002,-0.0108,0.0377033,-0.00332679,-0.032348,0.152094,-0.00153026,-0.194452,-0.0304762,-0.101697,-0.103061,-0.0588403,0.169355,0.0822219,0.032728,0.00809654,0.0687885,-0.106281,0.0470706,-0.112948,-0.0592606,0.0987827,0.0418887,-0.0609461,0.0954087,-0.0926612,0.0116149,-0.161593,-0.121586,0.184731,-0.210465,0.247423,0.0909226,0.0917671,-0.1233,-0.0786314
8,-85.0358,-0.0624774,0.113637,0.119307,-0.0178371,0.0716071,0.0501863,-0.0501187,0.0941975,0.0184375,0.0939275,-0.226125,-0.0194317,0.00699267,-0.0207753,-0.114668,-0.00238172,0.0398741,0.0747557,0.0071553,0.0916325,-0.0764959,-0.0605002,-0.209675,0.00244739,0.0679454,-0.143725,-0.0725193,-0.101417,-0.0206981,-0.00614554,-0.150802,0.0785602,0.06908,0.167555,-7.40957e-05,-0.0783453,-0.165603,-0.080561,0.256027,-0.0613977,0.217027,0.0867276,-0.0319528,0.109341,-0.154162,0.0705436,-0.129989,0.0413286,0.0401967,0.126539,-0.113814,-0.154048,0.087414,-0.0215402,0.0927176,-0.0297802,-0.00966727,0.0998169,0.0746369,-0.00530193,-0.0322521,0.00859567,-0.116361,-0.0570767,0.0878063,-0.0233641,-0.0311006,-0.279203,-0.22059,0.0701761,0.230228,0.0208133,-0.0659912,-0.125517,-0.0288837,0.239906,-0.0667499,0.00468982,0.0301103,-0.067376,0.0900296,0.00752564,-0.0420165,0.0737434,0.27453
9,-81.9356,-0.0433761,-0.113472,0.0265388,0.0339387,0.0653531,-0.150099,0.045895,-0.350796,-0.024113,0.0961744,-0.016987,-0.00276614,-0.0869485,-0.0410234,-0.038415,0.0787926,0.0042488,0.0320539,0.0504052,0.14422,-0.113043,0.033148,0.0116202,-0.150803,-0.104375,-0.167914,-0.0766894,-0.156953,0.126647,0.0589249,0.0455231,0.104247,0.000967182,-0.0395145,-0.139037,0.0976791,-0.0360791,-0.193503,0.0204663,-0.0986249,0.00137671,0.0171999,-0.0383893,0.0139464,-0.110065,-0.157768,0.134477,0.00423989,0.0328853,0.00801482,-0.0724892,0.0836171,0.176413,-0.200093,-0.0587828,0.142944,-0.0482128,0.0696672,0.00072506,-0.0174781,-0.0756632,-0.0598931,0.0576681,0.210197,0.111467,0.162439,-0.00998276,0.159694,-0.136856,0.203079,-0.0122284,-0.172876,-0.124784,0.111285,0.271255,-0.0214324,0.0943846,-0.120025,0.0902897,0.102351,-0.0440128,0.00162601,0.138376,0.109634,-0.0237781
