Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85
0,-99.386,0.0191249,0.0609456,0.124212,-0.103866,-0.0594214,-0.00367421,-0.0442731,0.156506,0.110127,0.0399416,0.126523,0.092584,0.0813396,0.268277,0.084211,0.089941,-0.0584603,-0.0799661,0.149823,0.0137533,-0.0592747,0.050963,-0.0134749,-0.17434,-0.0119872,-0.063333,0.0549279,0.159438,0.174778,-0.152787,0.05368,0.268489,-0.0026814,0.176993,0.0114966,-0.144236,0.0704038,0.0939524,0.099375,0.0168976,0.109557,0.247904,-0.075256,-0.0866161,0.141722,0.0996664,0.0672436,-0.0756919,-0.0192893,-0.0125233,-0.0273889,-0.121746,0.110593,-0.19825,-0.108433,0.0406611,-0.0540435,-0.128703,-0.111621,0.0706092,0.0241329,-0.0528653,-0.11602,0.0737669,0.150125,-0.275101,-0.0569066,0.0631475,0.00304005,0.0545212,-0.00316795,-0.0989455,0.0779247,-0.115749,-0.0199559,0.0592214,0.0381589,-0.00990281,0.166337,-0.0939886,0.0893946,0.167998,0.0777933,-0.0582318,0.0628996,-0.066398
1,99.0214,-0.0170004,-0.118027,0.0137801,-0.0854813,0.107939,0.202791,-0.139382,0.0547187,0.116761,0.037667,0.146672,-0.0283569,0.112088,0.158328,-0.0969264,-0.050047,-0.134949,0.0233919,-0.00574447,0.120447,-0.0978895,-0.23822,0.111152,-0.00146606,0.0847432,0.0890474,0.0821884,-0.0307736,0.0267718,0.0945697,0.214387,-0.0280004,0.0998035,-0.25125,-0.0996096,0.0477602,0.0761925,0.00718366,0.121258,-0.00836181,0.0619259,0.0624582,-0.106381,-0.1354,-0.167497,0.0121995,-0.0529973,0.059481,-0.0922523,0.171969,-0.116788,-0.0601269,-0.134837,-0.0593752,-0.0358175,0.230359,0.0444946,0.0398618,0.0126181,-0.0638779,0.0251056,-0.020217,-0.049909,-0.130918,0.0185165,-0.0296511,0.0373872,-0.15986,-0.00158724,0.00955969,0.0573131,-0.0353118,-0.126338,0.167539,0.0257767,-0.0102885,-0.172201,0.150368,0.0598818,-0.101849,-0.288545,0.0341483,-0.205756,-0.113709,0.0296057,0.0535147
2,-97.0776,-0.00273413,-0.0654312,0.0800634,-0.0582553,0.00852749,-0.147756,0.119781,-0.0502712,0.0445582,-0.111557,-0.0231858,0.00203336,0.141462,0.0796569,-0.0225508,-0.106712,0.143735,0.196634,0.0197151,0.215865,0.131193,0.0502209,0.0882663,0.182835,-0.061527,-0.0131687,0.0499697,-0.169853,0.142123,-0.109581,-0.0532795,-0.106133,-0.112282,0.00349992,-0.0624357,-0.0636583,-0.0386411,-0.0893369,0.104167,0.0333832,0.220438,-0.116037,0.0625843,-0.0338762,0.119605,-0.0328466,-0.0471796,-0.0823723,-0.117474,-0.0749996,-0.030926,-0.13471,-0.166523,-0.178652,0.111726,-0.00809411,0.087677,-0.00970441,-0.161181,-0.121898,-0.123854,-0.110015,0.0496405,-0.0957908,-0.0219158,0.0286293,0.0236153,0.184509,0.00011543,0.129309,0.240678,-0.090048,-0.060658,0.0683348,-0.111591,-0.11645,-0.1593,-0.00725802,0.0291953,0.0258537,0.209811,-0.0869227,0.0440014,-0.0670741,0.236817,0.137867
3,96.0609,-0.0251854,-0.287149,-0.0631921,-0.138331,-0.0115214,0.0293278,0.11847,0.104343,-0.0837681,0.0306263,0.0464779,-0.0758588,-0.120206,0.0782813,-0.00903709,-0.275545,-0.124974,-0.0978716,0.156216,0.115332,-0.0233072,-0.0476197,-0.0859742,0.116909,0.0745138,-0.0869225,0.00215964,-0.0573575,-0.0453677,0.0883179,0.113763,0.0385125,0.00725572,0.034123,0.0391062,-0.140767,0.174719,0.0404051,-0.0543481,0.116679,0.131373,-0.00897655,-0.0175635,-0.16629,-0.0946691,-0.148438,0.0716063,0.191282,-0.0139437,-0.0927392,-0.114565,0.139408,0.01852,-0.00957263,-0.11123,0.110694,-0.0496381,-0.0610703,0.0123446,-0.0408319,-0.0612028,0.266348,0.142298,0.18793,-0.0342058,0.0640504,0.04482,0.0722376,-0.103998,0.145736,0.0670542,-0.013165,0.0429401,-0.177199,-0.0356136,-0.0176283,0.0439428,-0.216978,0.00697874,0.108537,-0.0759745,-0.102797,0.182199,0.196614,0.0294007,-0.00550443
4,-93.8907,0.174473,-0.0218479,-0.0962658,0.108113,-0.0694603,-0.0436317,0.164929,0.0894768,-0.206128,-0.0834983,0.00683282,-0.18795,-0.026226,0.1997,-0.0504858,-0.0137472,0.0900935,-0.145283,-0.0576254,-0.110736,0.0240521,0.0477141,-0.0249513,0.0833313,-0.0128226,0.0287455,-0.0950384,0.0269631,0.00853784,0.0730862,-0.0531614,0.194578,-0.116063,-0.0661811,-0.0217737,0.0703776,-0.261353,-0.120086,-0.0482072,0.25824,0.0156578,0.017048,-0.00560673,0.127533,0.138564,0.237843,0.111845,0.169158,0.0351093,-0.250292,-0.100689,0.101555,0.0524293,-0.0700947,-0.106656,0.148302,0.00313567,-0.0239834,0.0639536,-0.0713966,0.0616475,0.0901444,-0.00271202,-0.147148,0.0589026,0.0505663,-0.0743046,-0.0659993,-0.0239391,-0.0494757,0.0720704,-0.0146167,-0.00928889,0.184102,0.0128311,0.0074581,0.0586014,0.150665,0.090767,-0.233861,-0.0995018,-0.0485479,-0.0220646,-0.00471514,0.161797,0.0443894
5,90.9747,-0.100796,0.00193618,-0.122105,-0.0348076,0.0465303,0.0911987,0.187122,0.0304403,0.00378422,0.122765,0.119084,0.0837402,-0.0208669,-0.0647569,0.12728,0.00607479,-0.10193,0.0870127,0.0789714,0.0112503,0.00694048,-0.0131752,0.194475,-0.0118685,0.135769,0.134527,0.189539,-0.00968531,-0.228442,-0.0160167,0.0463038,0.208724,0.00128205,-0.0410436,-0.108401,0.104127,0.145625,-0.00456097,-0.0233476,0.102369,0.0504301,0.0264411,0.140955,0.247558,-0.145186,0.0610353,-0.190251,-0.0652572,0.0440567,-0.0635837,-0.0590592,-0.251093,0.0450636,0.052175,-0.0676088,-0.148107,-0.0590895,0.246347,0.0760252,-0.187879,-0.0822182,-0.0299733,0.0873606,-0.0873721,-0.0262041,-0.0631805,-0.0181726,0.0409266,-0.0241817,0.057921,0.0249164,0.0167054,0.17024,0.0879819,0.0244076,-0.121367,0.169591,0.150725,0.107186,-0.0654976,0.0974532,0.0187405,0.22441,0.0876798,-0.00751576,0.00334457
6,-90.9075,-0.129885,0.281728,-0.0761376,-0.0747844,0.104464,-0.0399206,0.0921328,-0.0286828,-0.0843747,-0.0146003,0.0638722,0.0477692,0.00321703,-0.07736,-0.247862,0.00484495,-0.0585059,-0.0791024,-0.0326752,0.143117,0.240107,0.056553,0.215673,0.0965592,0.023254,-0.0545497,-0.0722686,-0.00424681,-0.136007,-0.0250242,-0.0127582,0.0185489,0.0549088,-0.00659953,-0.00391306,-0.0762661,-0.0973011,0.0220019,0.0922298,-0.014489,0.17004,0.0131711,-0.166849,-0.0589893,-0.0333667,0.128349,-0.148606,-0.0968634,0.119116,-0.0304098,0.0793987,0.14333,-0.0757611,-0.0132223,-0.0731244,-0.0404797,0.0702939,-0.0409351,0.201463,0.0108107,0.0778955,0.0430446,-0.171636,0.0370284,0.208663,0.0087616,0.0980732,-0.165688,-0.135151,0.0148086,0.0176202,-0.220456,-0.0835834,0.00806001,-0.240334,0.134773,-0.0294078,0.0201592,0.14725,0.14761,0.0311618,-0.0799287,0.053046,0.1072,-0.100434,-0.166114
7,88.6806,0.154889,0.0231171,0.227532,-0.017573,-0.264102,-0.0235545,-0.0229675,-0.0315433,-0.00856723,0.238596,-0.133472,-0.0999479,0.0216006,-0.176673,0.0356387,0.149036,-0.0167582,-0.0321541,0.211851,0.0204528,0.133705,-0.244425,-0.150329,0.0801855,-0.0375287,0.237999,-0.0479409,0.0563335,0.0710795,-0.00268784,-0.0223159,-0.180059,0.0987953,-0.0527731,0.038512,0.085004,-0.0383828,0.0142401,-0.098293,0.157624,0.0719249,0.0114202,-0.0182958,0.00775952,0.0533989,0.0445051,-0.196867,0.183727,0.0223408,0.0408047,0.0267829,-0.0153646,0.124142,-0.171731,-0.0556661,-0.0120897,0.0147147,0.114103,0.0725377,-0.110833,0.0269041,0.0142461,-0.00224917,-0.0074172,-0.0159393,-0.117995,0.0521144,-0.0595838,-0.139741,0.157678,0.038367,-0.0366319,0.165582,0.04482,0.024974,-0.0342017,-0.0707012,-0.105281,0.0426561,0.111408,0.0878436,0.00190549,-0.161448,-0.0419918,0.0638248,-0.254005
8,87.7025,0.0368292,-0.134247,0.010668,-0.00344377,-0.0522902,0.0985592,-0.00381493,0.127701,0.0343291,-0.135018,-0.116397,-0.281428,0.0893151,-0.12404,-0.0504494,-0.179865,0.0917358,0.0370047,-0.0286381,-0.190457,0.0588008,0.18227,0.101689,-0.024548,0.066952,-0.067443,0.220104,0.0550319,0.184363,-0.069455,-0.184037,0.110891,0.130292,-0.0325633,0.0952819,0.126513,-0.0232799,0.173748,0.0884546,0.167455,0.0347354,0.241922,-0.032188,-0.000315689,-0.116365,-0.112533,-0.201251,0.0662772,0.124756,-0.0157745,0.0120591,0.0762477,0.0277845,0.0276808,0.0541487,-0.0128143,0.115618,0.16215,0.0451604,-0.00890527,-0.00224674,-0.0999157,0.00380854,0.0630441,-0.0408361,-0.144589,0.246972,0.024844,0.143905,-0.0258403,-0.0402829,0.0919347,-0.188625,-0.1532,-0.0193501,0.1167,-0.107538,0.0717152,0.0073301,-0.021208,0.0529127,-0.0636555,-0.013662,0.0492172,0.0456606,0.0116844
9,-83.4668,-0.185838,0.0222165,0.0996426,0.053042,0.0473338,0.0831479,-0.0454208,0.0655132,0.00366265,-0.0179459,-0.0842128,0.0865558,-0.147041,0.0643776,0.14451,-0.0487875,-0.0291715,-0.111795,0.0911099,0.0242596,0.0598348,0.0727024,0.094727,0.0445492,-0.00929007,0.185677,-0.166854,-0.206163,-0.101575,0.123187,-0.161689,-0.00561263,-0.218797,0.181178,0.103359,-0.0779144,-0.034306,0.0862194,0.0909089,0.0387419,0.0397452,0.0303057,-0.207781,0.0639287,0.149064,-0.141163,0.0630712,-0.0299361,0.134388,0.0475811,-0.165517,-0.0465684,0.0551032,0.101159,0.0625781,0.0805096,-0.127228,0.261678,0.0558427,0.115381,-0.0979138,0.0975983,-0.0560491,-0.11238,-0.0186066,-0.2201,-0.0239656,-0.00939704,-0.115047,0.131499,0.0862195,0.117626,-0.166907,0.123216,0.124284,0.0756267,-0.191634,-0.0389695,-0.0309588,-0.0468654,0.0610894,0.049678,-0.0979099,0.0377383,-0.133818,0.100128
