Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86
0,-104.888,0.0118557,-0.0695142,0.0943237,0.0841905,-0.0832373,-0.114503,0.109307,-0.259639,0.0844546,-0.00199215,0.0293608,-0.176853,-0.0274389,-0.245976,0.110933,-0.0441729,-0.115617,0.196578,0.0467777,-0.138947,0.142738,-0.0448946,0.0824029,0.10529,-0.0470609,-0.0199423,0.0363459,0.146216,-0.0589854,-0.0679871,-0.177545,0.00478656,-0.199313,-0.0870743,0.0647286,-0.196816,0.0248309,-0.141957,-0.177441,-0.0466836,0.0658464,-0.0531905,-0.203829,-0.113866,-0.134366,0.0215137,-0.0474506,-0.0553149,0.0592598,0.0723025,0.0750757,-0.0452652,0.000230194,0.0507977,-0.0188637,-0.231972,0.149507,0.0448993,0.0239915,-0.101027,0.0148742,-0.113875,-0.0213718,-0.0758474,0.0575643,0.0874226,0.0503446,0.0590783,-0.00995608,0.0377336,-0.07955,-0.0538898,-0.00310392,0.223174,-0.0392271,0.115943,-0.0205705,0.178674,0.138313,0.0707493,-0.0752596,-0.0389468,0.0432428,-0.214409,-0.14493,-0.0413101,-0.0384723
1,102.942,-0.204915,0.00999867,0.0672449,-0.0701668,0.0339106,-0.0254131,-0.140074,0.10203,-0.0267196,0.0942251,-0.206192,0.144842,-0.0230195,0.0139542,0.0452919,0.066752,-0.0778542,-0.0455773,-0.0364391,0.071184,0.101043,-0.156576,0.183662,-0.112219,0.0192531,0.0651938,0.0100134,0.0676934,-0.0377479,0.0226637,-0.119476,-0.0803838,-0.107666,0.0878731,0.163801,-0.232551,0.221389,-0.158507,0.0862692,0.0116163,-0.104857,0.122487,-0.261097,0.0508746,-0.00430469,0.00773513,0.0558247,-0.0866148,-0.302599,-0.160067,-0.0920529,0.0702075,-0.0386001,0.112731,0.068698,0.0858544,-0.172352,-0.0194882,0.0259954,0.106991,0.192913,-0.128122,0.0151741,0.0291958,-0.123413,0.0208381,0.0192341,-0.0411999,-0.174793,0.00664312,-0.141374,0.0838726,-0.043401,0.0049298,-0.0201989,0.0202976,-0.0687745,0.0399284,0.0143468,-0.111492,-0.124337,0.0280791,-0.0612533,-0.0524029,0.212853,-0.00158998,0.0216453
2,98.7631,-0.0789398,0.0941781,-0.21308,-0.121647,0.124696,-0.158997,0.13936,0.0140003,-0.064381,0.25703,0.203794,-0.0418109,-0.122679,-0.0536573,-0.0434833,-0.12254,0.0128614,-0.0348569,0.10962,-0.118164,-0.210256,-0.0941844,-0.059142,0.090746,-0.0178391,0.0721001,0.134599,0.00511541,-0.0354441,0.0392226,0.138155,0.122838,-0.000694426,-0.169925,0.0625023,-0.0585678,0.0702232,-0.00793396,0.0836819,0.0266148,-0.139546,-0.149134,0.0653615,0.0561608,0.0471087,-0.0116866,-0.0156098,-0.297643,-0.184168,-0.115482,-0.0834147,-0.107308,-0.00313505,0.0376702,-0.0591271,-0.154908,0.0102991,0.145844,-0.0913031,-0.169053,0.0651162,-0.0471475,0.0671082,0.128923,-0.0662358,-0.00431336,-0.00833929,-0.131231,-0.00476382,0.0488197,0.156271,0.0470791,-0.0679737,0.006515,-0.0711656,0.113723,0.0793271,-0.0370174,-0.0196039,-0.0568695,-0.00122449,-0.0623075,0.12242,0.00240554,-0.0231125,0.293642,-0.0550557
3,-97.008,-0.0582586,-0.142149,-0.209485,0.160842,-0.161409,0.103012,0.0196148,0.00278709,0.100956,-0.0982684,0.0761542,0.179404,0.232935,-0.0684025,-0.0926571,0.205775,0.00868758,0.172836,0.0665114,-0.000268466,0.0153801,-0.097009,-0.110782,0.0816938,0.186909,-0.286826,-0.0508446,0.155913,-0.153742,0.0889279,0.0918176,-0.10849,0.0132084,-0.0404378,-0.0939169,-0.0120793,-0.0753108,-0.10607,0.270456,0.029719,-0.0165818,-0.0454848,-0.0381882,-0.104561,-0.12319,-0.103077,-0.0187211,-0.0618489,-0.0457876,0.0207445,0.0481053,-0.0131947,-0.0812471,-0.117358,-0.0902863,0.102168,-0.0489284,0.0279878,0.0278692,0.0831999,-0.0293071,-0.0781229,0.0275478,0.127703,-0.0676457,0.121733,-0.0498493,-0.0745349,-0.0794816,-0.0300336,0.0252101,0.128189,0.0517143,0.0095738,0.0865424,-0.0234267,-0.036048,0.149412,0.19177,0.0961498,0.150594,0.0823395,-0.00765992,0.0325976,0.00861098,0.224668,-0.066749
4,96.0239,-0.178835,-0.0153105,-0.0564954,-0.0855365,-0.219559,0.0499309,0.0829979,0.0325584,-0.0727414,-0.0347993,0.0443881,0.149876,-0.166196,-0.125361,0.119205,-0.0787749,0.101834,0.167623,0.0141652,0.120861,-0.100421,-0.0359449,0.111769,-0.0414542,0.197824,0.0298903,-0.208791,-0.0610157,0.0684887,-0.0589455,0.0661824,0.247106,-0.0332247,-0.00401419,-0.0180563,0.188065,0.0861957,0.126099,0.000277703,0.101415,-0.0719654,0.0583732,-0.11248,0.0789262,-0.224054,0.0862774,0.0114661,0.0466406,-0.127366,0.131002,0.0373128,0.0920783,-0.0141825,-0.0391362,-0.0573832,0.0732062,0.173254,-0.0512379,-0.22435,0.0707118,0.121553,0.0700524,-0.183143,-0.00042858,-0.0697881,-0.00972743,0.0549796,-0.0535437,0.00779035,0.108413,0.0905753,0.00171519,0.0378991,0.176578,-0.000189923,0.178943,-0.0429701,0.0170615,-0.150621,-0.0853383,0.214736,0.0346949,-0.0639352,-0.0861186,-0.0840919,-0.133708,-0.00714173
5,-92.187,0.0724501,0.122494,-0.129866,-0.121155,0.061991,0.0369608,-0.0173436,0.114354,-0.035886,-0.0709862,0.0490243,0.0868244,0.0194081,0.0149853,0.0994362,-0.139917,0.130414,-0.0263625,-0.0686876,-0.191777,0.0702213,-0.106578,0.143074,-0.219114,-0.0818981,-0.0173154,-0.095244,0.117886,-0.110327,-0.038778,0.0508934,-0.0618068,-0.209995,-0.0891974,0.0541348,-0.0713941,-0.0687651,0.0501429,-0.0150411,0.200984,-0.120356,0.132303,0.0876038,-0.0164744,0.094965,0.00531273,0.112108,0.148578,0.121372,0.0959959,0.0976047,-0.175965,-0.0148101,-0.188855,0.0707755,0.050805,-0.0274144,0.21476,-0.116911,0.0223232,-0.0360152,0.0410576,-0.0416517,0.0242689,0.0928056,0.0205407,0.0937022,-0.0740629,-0.0884347,-0.0333013,-0.0913196,-0.0606959,-0.361817,-0.0125056,0.125326,0.04225,-0.138284,-0.0950169,0.182779,0.0407939,0.000244193,-0.119575,-0.164649,-0.067785,-0.0728069,0.0524585,-0.115449
6,90.581,-0.0308285,-0.0227969,-0.156422,0.167274,-0.0569368,0.115154,0.0559896,-0.0641001,-0.119872,-0.109586,-0.0798526,-0.0641063,-0.081191,-0.132613,-0.0996499,-0.203616,0.131322,-0.0387366,-0.151363,0.104633,-0.125668,0.15012,-0.0685166,0.0799201,0.0819441,0.134063,-0.0339041,0.120554,0.0900733,0.0871727,-0.125222,0.00874832,-0.0913649,-0.0180623,0.219171,0.0272391,-0.088743,-0.102217,-0.0923672,-0.0574064,0.218577,-0.0148467,-0.00526749,-0.0294153,0.0776254,0.0934277,0.184798,0.140134,-0.0822592,-0.170578,-0.0784727,-0.253752,0.0201557,0.112027,-0.000902263,0.152272,-0.0997552,-0.0370335,-0.00526512,0.127474,-0.0374506,-0.0712643,-0.111076,0.22881,-0.0732931,-0.0623751,-0.107035,0.0787993,0.0441109,-0.0205111,-0.111088,0.0376411,-0.173415,-0.00188229,-0.0310923,-0.0335014,-0.0110105,0.170572,-0.142816,0.0903938,0.0402995,-0.00389334,0.0732297,0.020067,-0.162895,0.147411,0.0318691
7,-88.4004,0.151274,-0.111072,-0.0450087,-0.10822,-0.144938,-0.0538359,0.120475,0.0248809,-0.190117,0.0453189,-0.106454,-0.105367,-0.110435,0.0163568,0.201033,-0.134269,-0.00173919,-0.185117,0.0525877,0.0406116,-0.202166,-0.0245807,0.01123,-0.0288665,0.0933631,-0.00430932,-0.0654294,-0.00889588,0.00514352,0.153511,-0.0171554,-0.0316567,0.0852937,0.042889,-0.0791593,-0.1216,0.181197,-0.0876241,-0.00245477,0.0899492,-0.125354,0.0644582,0.0831633,-0.137925,-0.0370025,0.0406796,0.0600916,0.00562146,0.0952519,0.134297,-0.0303478,0.181223,0.0400978,-0.114913,0.106665,-0.117153,-0.162519,-0.039051,0.139752,-0.0246613,-0.260131,-0.138631,-0.244494,0.0345961,-0.0314153,0.259955,0.101123,0.224128,-0.00231007,-0.0703303,0.0798413,0.140859,-0.00116702,0.0227868,0.00110537,-0.062628,-0.0185587,0.0712723,0.0248565,0.0717612,0.0927924,-0.0505456,0.102608,-0.02542,0.169641,0.0601005,0.0532161
8,86.2191,-0.14917,0.204357,0.0281816,0.0403886,-0.127865,-0.069783,-0.0360951,-0.0184034,-0.095952,0.0172806,0.00475218,-0.116916,0.076952,-0.182578,0.178396,0.0393205,-0.0220161,-0.116816,0.0303821,0.0356669,-0.153631,0.148796,-0.157836,0.0973166,-0.141253,-0.199263,0.0348154,0.106036,-0.127259,-0.0732311,0.0275521,-0.0615369,0.0922209,-0.0587277,0.106877,-0.0779951,-0.116385,-0.00337858,0.0705228,-0.00625378,-0.0684813,0.20149,0.0902046,0.15028,-0.0355217,0.0926927,-0.121018,0.120884,-0.0491646,0.0611245,0.122161,-0.0681385,0.0881626,0.196132,-0.00675757,-0.0163084,0.0221374,0.0373297,0.154682,-0.0526811,0.0955528,0.0616002,-0.108183,0.0119377,-0.103882,0.0205405,0.0403289,-0.0666679,-0.131318,-0.0429321,-0.0345835,0.205473,0.0367323,0.0874843,-0.199264,-0.0505432,-0.0540467,-0.0640598,0.0385028,-0.0361524,0.0427284,-0.170571,-0.16511,0.299979,-0.0599247,-0.169294,-0.100718
9,-85.4129,0.0253303,0.023212,-0.0273603,-0.02536,-0.0564603,0.0966239,0.248191,0.202483,0.142342,0.0344694,0.0223829,0.134764,0.106865,0.0536307,-0.0643263,0.0405826,0.105657,0.0508429,-0.0518118,0.082815,-0.0389387,0.142405,-0.0147292,0.0201195,0.0834631,-0.0289994,0.0535165,0.0102707,0.156294,-0.0361166,-0.0144172,0.14847,0.0268251,-0.0544015,0.190321,0.0413952,0.0887548,0.125628,-0.0430339,-0.100186,-0.0786671,0.0284961,-0.127109,-0.0589649,-0.0225523,0.0895043,0.174005,-0.0887232,-0.0171089,-0.0524599,-0.0101435,0.153287,0.210542,-0.0116197,-0.0623201,-0.0455794,0.0942512,0.311353,0.0678635,-0.115828,-0.00416406,0.0540992,0.0516483,-0.0817243,-0.105196,0.0757405,-0.0922198,0.083916,0.0811236,-0.247427,-0.124428,-0.228347,0.0254082,0.0749621,-0.0239138,-0.190812,-0.0426291,0.155769,0.156603,0.0199006,-0.0906244,-0.232757,-0.102183,0.0830537,0.105601,-0.0136133,0.029758
