Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87
0,-101.546,-0.00945788,0.0125558,-0.0351995,0.136153,-0.0663893,-0.0263997,0.0503415,0.0914249,0.0510993,0.241312,0.0349529,0.189691,0.019717,-0.0465974,-0.0242664,-0.0819217,-0.0729089,-0.140807,0.0665958,0.0458801,-0.133232,0.0168474,-0.146522,0.0784876,0.168693,0.0297188,0.0074421,-0.230235,0.0298034,0.174717,0.157692,-0.00875729,0.0881686,-0.00263969,0.0682425,-0.000913199,-0.110945,0.165369,-0.148043,-0.0880576,0.0807101,-0.0476475,0.233957,-0.0297888,-0.0511442,-0.0385753,-0.0277443,0.0450975,0.0308362,0.0670092,-0.281594,0.123379,-0.0942751,0.0502669,-0.0202012,0.110832,0.0958665,0.0850636,0.0134416,0.0604252,0.0971175,0.108855,0.0494163,-0.108795,0.0625297,-0.0561587,-0.114703,0.241824,0.129967,-0.0467547,-0.271847,-0.115804,-0.0467483,0.207914,-0.0846923,0.0124705,-0.0397841,0.0979228,-0.141543,0.0195926,0.0142555,0.00707011,0.115361,0.0338166,-0.10876,0.0863921,-0.0227234,-0.0553908
1,99.8159,0.0222912,0.0458114,0.0139379,0.0205964,0.0656865,0.154549,-0.0400462,0.0328828,-0.0449893,0.0440298,-0.000428636,-0.0206419,-0.0587472,0.189912,-0.00809837,0.108825,-0.0602167,0.172,-0.0327055,-0.0257554,0.0830628,0.0331915,-0.0978047,-0.08344,-0.038483,-0.288563,-0.0270384,0.0776198,-0.038054,-0.0536769,-0.157358,-0.277587,0.143133,0.000564369,-0.00445391,-0.190938,-0.0670873,0.131529,-0.145463,0.0145102,-0.0239966,-0.0336718,0.182373,0.0211738,0.0684505,-0.213915,-0.240137,0.138573,0.218932,0.0332239,0.135449,-0.0300077,0.0241664,-0.0219209,0.0584029,0.109073,0.0159491,-0.0219166,-0.00986784,-0.119271,0.00170973,0.0783352,-0.0183566,0.0103841,-0.24764,0.115529,-0.125243,0.0403456,-0.0505083,0.0679796,-0.145286,-0.187044,0.0102075,-0.00599966,0.102102,-0.153705,0.0213306,-0.109341,-0.0296487,-0.143306,-0.14199,0.0327842,-0.116339,-0.145696,0.0129845,0.0511625,0.00688921,-0.0412338
2,-95.2208,-0.170741,-0.0358557,-0.0601579,-0.0304565,0.162106,-0.0946483,-0.0451817,0.0202775,-0.203913,-0.199315,0.145536,0.0163722,-0.0175431,-0.0327467,0.0989396,-0.0475129,-0.041653,-0.00900423,-0.109186,0.0294941,-0.0101229,-0.220464,0.0939668,-0.0783926,0.133943,0.0684954,0.0126827,-0.0391484,0.113423,0.0767292,0.00904697,0.0126218,0.0196855,0.0071868,0.0467686,-0.0738379,-0.0624189,0.0320452,-0.014347,0.134376,-0.181239,0.0859415,0.0578636,-0.0968864,-0.0797905,0.0825265,-0.0432685,-0.293822,-0.0409627,-0.102029,-0.00439914,0.0953303,0.151509,-0.0108155,0.0382655,0.153816,0.193368,0.0560407,-0.0934866,0.127253,0.228288,0.20681,-0.0826223,0.0692035,0.0894042,0.0779681,-0.0217498,0.0860417,-0.00800995,0.029728,0.0649715,-0.0886393,0.0490662,-0.0184263,0.140618,-0.0779158,0.0392926,0.0433472,-0.181293,-0.0398396,-0.0281152,0.00884855,-0.269963,0.0415023,0.224193,0.0785321,0.119072,0.122651
3,-94.2612,-0.0252701,-0.0759913,0.124428,0.028904,0.135301,0.0700893,0.0124435,0.0406679,-0.0495703,0.0649029,0.0128667,-0.119482,-0.179871,-0.0422012,-0.225726,0.0913707,0.0119132,-0.167614,-0.126907,0.0712985,0.0293663,0.098204,0.0678531,-0.118688,0.231022,0.0451566,-0.00616318,0.0371044,0.198107,0.0766236,-0.0235398,0.0814256,0.081716,0.197502,0.0509701,-0.0462216,0.0585064,0.0432919,-0.00334362,0.17581,0.0846324,-0.0694459,-0.0487496,0.0665216,0.0228569,-0.0135322,0.0794588,-0.0563979,0.0106645,0.164072,0.0580357,-0.0621881,-0.00726009,-0.225497,-0.0271202,0.114353,0.00171555,0.192452,-0.144857,-0.141273,-0.0594988,-0.00969863,0.0498984,0.0762724,0.195836,-0.0512197,-0.0655724,0.0803041,-0.0316868,0.154239,0.0232523,-0.0616693,0.0442744,0.063626,0.0763486,0.145031,0.0254672,0.0631909,0.132461,-0.145874,-0.167103,0.0722598,0.131262,-0.13563,-0.0548099,-0.33811,-0.0433952,0.0155156
4,93.9747,0.213744,-0.0538392,-0.0414938,-0.14064,0.0379595,-0.0114053,0.116864,0.113629,0.103692,-0.17897,0.15637,0.00841797,-0.148757,0.118538,-0.119401,-0.0281705,0.21763,0.00859066,-0.0809748,-0.198971,0.0360422,-0.0856087,0.0785386,0.018189,0.0920573,-0.0475266,0.183267,0.172727,0.0769069,-0.0563233,-0.143014,-0.156315,0.0865648,0.0696749,0.109044,0.015477,0.197782,0.0659195,-0.0706048,-0.20663,-0.11667,0.171576,0.000535818,-0.0864914,0.0634922,0.020765,-0.0533904,0.0538618,0.000279154,0.0634122,-0.0368893,0.0749403,-0.128899,0.0975707,-0.0683283,-0.0992439,0.182671,0.0412446,-0.0482601,-0.00857224,0.107917,-0.0430204,0.0818395,-0.0750085,0.071412,-0.144845,-0.12616,-0.0366006,-0.139193,-0.172694,0.0986579,0.0862509,-0.0747657,0.140763,0.0773852,0.0684642,-0.181476,0.0988488,-0.123531,0.0727256,0.0217102,0.0474069,0.0435746,-0.0291281,-0.12859,0.0631503,-0.0947046,0.105312
5,91.8271,-0.12778,0.105522,0.080279,0.0495479,0.00107044,-0.131588,-0.0035683,0.0927157,0.0547109,0.0127195,-0.105733,-0.00456714,0.0218749,0.0285962,-0.0178733,-0.147362,0.124957,0.00438031,0.143393,-0.136475,0.0804498,0.136178,0.156918,-0.0426831,0.181099,0.159413,-0.00604449,0.194756,0.0608565,0.0718625,0.00755771,0.00335642,0.0540054,0.0738458,0.0967922,-0.105473,-0.125084,0.0378009,-0.0379768,-0.174835,-0.097337,-0.0615378,-0.029504,0.0789629,-0.0751847,-0.169322,-0.0457775,0.0247729,-0.0643208,-0.207608,-0.0774503,-0.123704,-0.0877795,0.011854,-0.0290101,0.073182,-0.125118,0.0431528,-0.0605619,0.152467,-0.0945449,0.108632,0.0911755,0.204758,0.074937,0.179563,-0.149302,-0.0287197,-0.0234144,0.0589626,-0.00389819,0.0270665,-0.287604,-0.119751,0.0727263,0.043753,0.120952,-0.145653,0.0498962,0.106439,0.0482005,-0.265713,-0.129493,-0.0262415,-0.0897121,0.0510505,-0.177523,-0.0554141
6,91.5982,0.0630271,-0.183124,-0.0180414,0.00477611,0.257687,-0.0440602,-0.00598609,-0.0872271,-0.0536253,0.0123216,-0.183847,0.126988,-0.0634144,0.0567078,-0.0670081,0.0965171,-0.0462015,-0.141724,0.02842,0.00405122,0.000331506,0.146889,0.0341446,-0.209051,-0.0504772,-0.00343926,-0.0567093,0.0404,0.0165002,0.0284651,0.0201404,0.0113162,0.0154035,-0.0676913,-0.0681624,0.108641,-0.123977,0.0728204,-0.105447,-0.17784,0.0800048,0.0674946,-0.064765,0.101126,-0.149475,-0.0715329,-0.0923417,-0.166238,0.177759,0.0917794,0.103137,0.12158,-0.0137117,0.0535831,-0.319817,0.0249614,0.0240658,-0.0716414,0.169677,-0.150322,0.104909,0.0684382,0.0892759,-0.0282267,-0.0232432,0.00602916,0.0472017,-0.177996,0.0429521,0.112201,-0.0284373,0.137062,-0.107574,0.147237,-0.0579157,-0.013619,0.1545,0.152656,0.14587,0.171087,0.0748065,0.0646102,-0.176955,0.124506,-0.00850208,0.0158589,0.0885216,0.138654
7,-91.4581,0.0125538,-0.157141,0.159863,0.0239788,-0.0479888,-0.110224,-0.173186,0.0896785,0.040575,-0.00838356,-0.181477,0.083984,-0.123958,-0.00772551,-0.00135587,-0.204714,-0.0209139,0.0130079,-0.138308,0.0272654,-0.0864626,-0.202591,-0.0325611,-0.120129,-0.0136705,-0.104743,0.0414935,-0.164328,-0.178371,0.17058,-0.0492008,-0.132459,-0.0914465,-0.110623,0.0791161,0.207893,0.0608534,0.0713898,0.146257,-0.0486558,-0.138804,-0.177623,0.0712432,0.0777149,0.011712,-0.0149768,0.189583,0.00667242,0.145684,-0.0276149,0.0690423,-0.0565775,-0.142426,-0.0319779,-0.115979,-0.0284703,-0.0619314,0.0135507,-0.220454,0.0771772,0.0728513,0.0596165,0.186373,-0.143679,-0.162835,-0.0538749,0.00152495,0.0182187,-0.00164837,0.039779,0.151875,-0.0943573,-0.0485337,-0.170255,-0.0612788,0.00580417,0.0191068,0.0600004,-0.0060724,-0.0328555,0.0938492,-0.0834235,-0.00303854,-0.236729,0.0574128,-0.0927428,-0.036524,0.120069
8,88.0847,0.0468032,-0.107666,0.0405516,-0.145349,-0.0622388,0.181499,0.22457,0.127842,0.0780187,-0.126254,0.00080522,-0.070052,-0.119864,-0.00693943,-0.132036,-0.1098,-0.0585719,-0.116402,-0.0806654,0.0465569,0.0710308,0.0443435,0.129391,0.0707407,-0.0935772,-0.069557,-0.23492,0.0495928,-0.0194698,0.1056,0.163355,-0.096559,0.0784627,0.0010671,0.0219419,0.000465384,-0.115345,0.00445124,0.0919847,0.00537581,0.0364308,0.0285738,0.104117,-0.0934322,-0.0503959,-0.00594037,0.102312,-0.00361769,-0.203895,0.126864,0.0583312,0.0811302,-0.0785864,0.128735,-0.027275,-0.187749,-0.186043,-0.0301757,-0.0622752,-0.013178,0.0903475,-0.0804046,-0.199067,0.14976,-0.110338,0.00783045,-0.206275,0.173103,0.0743651,0.0736118,-0.035754,0.0661804,-0.0363932,-0.195756,0.0504735,-0.184179,0.213622,0.185687,-0.0784054,-0.0752197,0.0955952,0.0871732,-0.0500247,0.125539,-0.0026047,-0.015817,-0.0400979,-0.0607623
9,-86.474,-0.13262,0.0681159,-0.0166114,-0.183098,0.0640548,-0.0933886,0.0673481,0.00995298,0.209206,0.0583393,0.0546227,0.0890807,-0.158958,0.15479,0.0739845,0.167096,0.0562101,0.0923752,0.0699163,0.0203481,-0.000158053,-0.00130228,-0.00685328,0.0335793,-0.0807488,0.0238614,-0.0756327,0.0419472,0.0510772,0.107929,0.0862285,0.0228135,-0.00805823,0.00294089,0.0750534,0.101278,-0.0371391,-0.0415785,-0.0861303,0.00635498,-0.00563091,0.011368,-0.137565,0.185214,-0.162743,0.151495,0.0366143,0.0773042,0.164936,-0.0679071,-0.00955853,0.0329217,0.10949,0.209762,0.000854691,-0.000376279,0.0125235,-0.0935778,-0.00341519,0.0929972,-0.105763,0.0026436,0.248949,0.1162,-0.00793585,-0.0795929,-0.192683,0.127329,0.136272,0.0764642,-0.0670199,0.152708,0.0596253,-0.076968,-0.0456907,0.0937737,-0.234853,0.0353653,0.0593781,-0.309456,-0.11554,0.0964446,-0.0252761,-0.00773122,0.286153,0.0269285,-0.0777443,0.0304059
