Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88
0,105.725,-0.0658312,-0.0635023,0.0585038,-0.163295,0.0297034,0.0728408,-0.0788607,-0.147288,0.0101589,-0.0220382,-0.0101398,-0.0626337,-0.216986,-0.0014685,-0.0925072,3.75135e-05,0.22075,-0.129933,-0.0196158,0.0372263,0.0649638,-0.00295125,-0.0629573,-0.154837,-0.0383979,0.11024,0.220903,0.0534742,0.0219475,0.00839296,-0.159808,-0.0240723,-0.0387305,0.0586422,-0.0265954,-0.0311299,-0.0433809,0.0699785,-0.0218242,0.169051,-0.157473,-0.00819294,0.212919,0.162101,-0.128563,-0.153856,0.176974,-0.018552,-0.216243,-0.089079,-0.00290255,-0.0168586,-0.104786,0.0745769,0.120732,-0.0693521,0.133467,-0.120301,-0.00103446,-0.175734,-0.0787499,0.188362,-0.0918049,0.0942743,-0.0667063,-0.106989,0.0552176,-0.158048,-0.132045,-0.0221835,-0.0534419,0.150485,0.206415,0.0886516,-0.0701139,-0.0061165,0.00653691,0.213322,0.0747566,-0.0450151,0.127214,0.117698,-0.117751,0.0377918,0.0120914,-0.0673125,-0.0422595,-0.0513859,0.0379229
1,-98.6,-0.00607595,0.05179,0.075557,-0.0857637,-0.158347,0.101828,-0.078611,0.00214011,0.210936,-0.127534,-0.0553749,-0.00844397,0.00537162,0.0947143,-0.203642,-0.0382699,0.0526596,-0.139116,-0.173892,0.0329836,-0.0924084,-0.088852,-0.0661531,-0.016774,-0.137508,-0.0452286,-0.0581595,0.0389855,0.154228,-0.0714741,0.0307167,-0.0356225,-0.097605,0.0733593,-0.176001,-0.019243,-0.0832033,0.0425352,0.0459019,-0.0672389,-0.100728,0.102083,-0.0330795,0.033327,0.0671799,0.0507575,-0.238447,0.0710321,-0.0904626,0.0119014,0.053354,0.00485575,0.0970803,0.0869178,-0.137124,-0.0110999,0.184865,0.219624,0.220324,0.0286017,-0.0174492,0.0387872,0.140152,0.134343,0.149231,0.10907,-0.0674344,0.182716,0.0289615,0.119885,0.0211504,0.103232,-0.0269026,0.0921154,0.087656,-0.108918,-0.114307,0.0191249,-0.138963,0.121743,0.0267831,0.2243,-0.0544918,0.218281,-0.053572,0.0905861,-0.0519437,0.095775,-0.155486
2,96.3155,-0.086568,-0.00289936,0.0258018,-0.123555,0.171542,0.350434,-0.0771002,0.0341766,0.0780986,-0.078518,0.0962946,0.0587912,0.0566152,-0.0646855,0.0346799,-0.188904,-0.143474,0.0483096,0.0825288,-0.000466105,0.0902342,-0.0283297,0.0223275,-0.0297025,-0.00571101,0.0474367,0.137831,-0.0324769,-0.0772794,0.096362,0.110496,0.0943571,0.00477639,0.136657,-0.0874992,-0.188846,0.00105842,0.0657342,0.0403311,-0.167708,-0.0138382,0.0198346,-0.047275,-0.0823979,0.0974259,0.1998,0.0643097,-0.106074,-0.0419711,0.162572,0.00888636,-0.0571,0.0366784,-0.00236146,0.034352,-0.176843,0.279123,0.161192,-0.142328,0.0137746,0.0715443,-0.148286,-0.0432691,-0.0319263,-0.179608,0.214207,0.109116,-0.191249,-0.031878,-0.0564045,-0.0407677,-0.0455788,0.102095,-0.164545,-0.154284,-0.10366,-0.0407243,0.0158262,0.0316768,0.00865717,0.0492102,0.0442174,0.0202916,0.0103127,0.088901,0.152487,0.102838,0.0383063,0.0364143
3,95.7172,0.0515599,0.00467644,-0.111724,0.0894953,0.189997,-0.056248,-0.0192769,-0.0143596,-0.216169,0.0950751,-0.0646726,-0.0711058,0.135955,0.0313986,-0.178264,-0.0639801,0.0773548,-0.109626,0.0564066,-0.0765545,0.0345058,0.165969,0.00840731,-0.116718,-0.222717,-0.0508951,0.134042,0.160525,-0.0548771,-0.0833314,0.160249,0.0762224,0.232511,-0.0694667,0.0426468,0.121192,0.0627948,0.0756532,-0.169024,-0.0288011,0.0149284,0.140504,0.000944816,-0.0579795,0.0957901,0.219627,-0.0993117,-0.0502895,-0.239154,-0.134467,0.0543552,-0.0341226,-0.01096,-0.063146,-0.00946506,0.0873611,-0.114577,-0.0708471,0.166554,-0.0242368,0.0975948,-0.078938,0.0561344,0.0416759,-0.105592,-0.00834703,-0.196606,-0.0851552,0.0668268,0.00733161,-0.22602,0.0666254,-0.0298378,-0.0648322,-0.0678679,0.0392742,-0.0539521,0.064718,-0.0132213,0.112059,0.00394757,0.0199866,-0.0744021,0.0598032,0.26796,0.0177208,0.00369724,-0.0590652,-0.102331
4,-95.3104,0.016713,-0.0331877,-0.073806,-0.148405,-0.0559903,0.115012,0.210689,0.0171765,-0.0918508,-0.0439066,0.0148309,0.15985,-0.04952,-0.173228,-0.0985144,0.00620128,-0.174988,0.126876,0.00136144,-0.178721,0.0848679,-0.00998167,-0.00484833,-0.183126,0.0310887,-0.163073,0.0110371,-0.114154,0.210252,0.0676462,-0.0503213,0.00364222,-0.00938723,-0.199618,0.0303496,-0.117297,-0.083797,-0.122326,0.0576602,-0.0708647,-0.00614601,0.254833,0.0737643,-0.130365,-0.0817818,-0.118191,-0.0342561,0.000541003,0.0951528,-0.0655102,-0.0604906,-0.143952,-0.147354,-0.0923481,-0.1045,0.125756,-0.0133432,-0.150242,0.0445498,-0.059625,-0.0189674,-0.0553302,0.0783977,0.229279,0.170335,0.0962325,-0.168059,-0.0685445,-0.0357552,0.0447455,0.0634724,0.132471,0.153184,-0.0340284,-0.0395159,-0.0504034,-0.0129984,0.112111,-0.139565,-0.155323,-0.000841562,-0.142597,-0.0264141,-0.0767952,0.0724218,0.148067,0.0379202,0.0634319,0.0132196
5,-94.2268,-0.0813122,0.175974,-0.112363,-0.234596,-0.139549,0.0763099,0.125075,-0.0976059,0.103905,-0.0655279,0.0417811,-0.0734545,-0.0682099,0.0338132,-0.0566278,-0.126899,0.132042,0.0954247,0.0449393,-0.198134,-0.0356116,-0.00236149,-0.10081,0.0836973,0.00535382,0.20269,-0.161369,0.0873778,-0.0378564,0.146652,0.0619357,-0.110558,-0.00442103,-0.0367906,0.038283,0.153013,0.0964514,-0.0038315,-0.0458371,-0.00869487,-0.000264288,0.209033,0.124035,-0.0519767,0.101094,-0.0978215,-0.0648432,-0.0102796,0.0438579,0.0758343,-0.0505449,0.0552704,-0.118578,0.0861397,0.00429489,-0.172227,-0.102395,-0.220937,0.0251989,0.0435445,0.244071,0.0786508,-0.0341977,0.0151773,-0.151244,0.142867,0.102838,0.0621614,-0.10686,-0.0602482,-0.0365962,-0.0516817,-0.0762601,0.0815089,-0.0780785,-0.183002,-0.0258022,-0.0656624,0.0486718,0.223398,-0.11613,-0.172434,0.0650799,-0.00178286,0.019417,-0.020434,-0.143308,-0.104637,-0.118452
6,88.8382,0.0717261,0.0133054,0.0503913,-0.0593795,-0.102942,0.00645388,-0.0901028,0.163688,0.137096,0.0359936,-0.0801634,-0.0206252,-0.110584,-0.0578531,0.0030557,0.0788771,-0.0310379,-0.0854496,-0.196403,-0.133747,0.109677,0.0935938,-0.0601525,-0.0298426,-0.157215,0.0387613,0.00384026,0.129647,0.0696385,0.0517937,0.138947,0.0382406,0.0723546,-0.0287413,0.0321551,0.132116,0.0681881,-0.184705,-0.0938369,-0.10222,0.0788634,0.199543,-0.131967,0.201194,-0.143704,-0.0393568,-0.0677131,-0.0876729,-0.194227,0.0141222,0.147671,0.171692,0.047267,-0.0337513,-0.137788,-0.145516,-0.0134555,0.108826,-0.0327284,0.0399982,-0.0119012,-0.012306,0.00260372,-0.0529633,-0.00741472,0.0881719,0.0756015,-0.184771,-0.0171605,-0.112466,0.0223384,-0.0883855,-0.12463,-0.0646736,0.0227894,0.0791977,0.280405,0.115649,-0.129686,-0.204462,0.0355704,-0.138409,-0.0930999,-0.0853591,-0.214982,-0.0143115,-0.014518,-0.0623309,0.168717
7,86.9278,-0.0133048,-0.00789505,-0.061043,-0.0899578,-0.138825,0.102405,0.20243,-0.0878533,0.0309589,-0.05508,-0.0448793,0.122366,-0.0138796,0.165993,-0.138184,-0.0655897,-0.0390583,0.101675,-0.049739,-0.14061,-0.184478,0.0791906,0.0941254,-0.0143055,0.0551791,-0.118177,-0.0515387,-0.204087,-0.0653304,0.143834,0.0426696,-0.0407767,0.101573,-0.0113937,0.121784,-0.0292436,-0.177397,0.150306,-0.0791592,-0.0816579,-0.113412,-0.0962091,-0.202303,0.0161003,-0.0290661,0.000805406,0.213587,-0.00696599,-0.148566,-0.10154,-0.0247667,-0.0366842,0.046644,-0.173041,0.0657092,-0.0613619,-0.040347,0.012546,0.213471,0.00527107,-0.10583,0.111144,-0.138037,-0.105059,0.0195129,-0.00391585,0.0335734,0.0349623,0.145201,-0.0176095,-0.0933864,-0.208172,-0.0792111,0.0750825,0.0173736,0.0467075,0.115214,0.0581839,0.0588582,0.0846006,0.215013,0.104309,-0.0845278,-0.147586,-0.10292,0.137292,0.130361,-0.143432,-0.121219
8,-85.8935,-0.138235,-0.000112195,-0.0404603,0.239536,0.151225,0.0401543,0.00274169,-0.148543,0.02081,-0.0825073,0.102907,0.188718,-0.0226969,-0.0504599,-0.0490662,0.0346986,-0.0274569,-0.0746258,-0.0493107,-0.205872,-0.0188226,0.112169,-0.1599,-0.196746,-0.017791,0.0219469,-0.0720805,-0.0649697,0.200072,-0.0898129,-0.0330153,-0.186808,0.18093,0.042392,-0.049654,0.163171,0.06047,-0.0116704,0.118344,-0.0567626,0.1445,-0.0388549,0.0122901,0.127428,-0.18859,-0.0394244,0.103765,-0.0552221,0.102779,0.0282823,0.0699481,-0.0910001,-0.0393558,0.170443,-0.123986,0.0897425,0.0955002,0.0229584,0.0631401,0.0238835,0.149644,-0.0189538,-0.0624788,-0.0355549,-0.135405,-0.16108,0.0100786,0.00977486,0.174377,-0.0842589,0.178708,-0.00853223,-0.00279392,0.0354851,-0.144041,0.00285967,0.149718,-0.0882105,0.0245371,0.173068,0.0235121,0.168381,0.195093,0.0800648,0.0115008,0.123153,0.00305281,0.0174126,0.108411
9,84.4441,0.00975071,-0.0543018,-0.0106338,-0.082614,0.143554,-0.0472305,0.0953738,-0.120071,-0.239173,0.0403198,-0.0374633,0.0176589,0.00626907,0.114038,-0.0495543,0.161987,0.0148381,-0.0786653,-0.103641,-0.168097,0.0636172,-0.0365731,0.160983,-0.113089,0.124745,0.23089,-0.198321,0.0104946,-0.0790344,-0.0990446,-0.0513467,0.0792112,0.029308,-0.0893945,0.159276,0.0243448,-0.18969,0.178145,-0.0379594,-0.0711482,-0.0599667,0.0273313,0.0138644,0.253292,0.0863367,0.0184266,0.0288386,0.0155339,-0.0414472,-0.005009,-0.00128817,0.0279299,0.0902487,0.0366572,-0.117679,-0.216759,0.156151,0.084357,0.0526601,-0.0435739,-0.043168,-0.0349371,-0.135714,0.0834993,-0.11333,-0.0248477,0.00659678,0.111567,-0.034598,-0.0399345,0.0807466,-0.0532518,5.06516e-05,-0.0741652,0.0605942,0.04147,-0.250864,-0.0275012,-0.125516,-0.126541,-0.196106,-0.170937,0.0900326,0.0217959,-0.030501,0.0187344,0.0713693,0.259281,0.0146904
