Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89
0,104.639,0.0951945,-0.206413,0.11945,-0.157879,0.0164254,0.169675,-0.0208712,-0.00342489,-0.117118,0.0964446,0.0213104,0.0531924,-0.0322002,-0.074354,-0.0616022,-0.0726732,-0.00273954,-0.11662,0.229259,0.0648251,0.0358951,0.0652084,0.0763833,-0.055813,-0.0754817,-0.108172,-0.0487508,0.153555,-0.134053,0.154877,0.0892604,0.114337,0.110528,-0.187823,-0.0951056,0.0403279,-0.133745,-0.085473,0.112432,0.181165,0.00385241,0.0285351,0.0619909,0.0560771,0.0419566,-0.125474,0.0353615,-0.0336419,0.181194,0.0512016,-0.0460565,-0.0697843,0.0845026,-0.274861,-0.0904466,-0.0632933,0.062269,0.0823051,0.0827896,0.0853965,-0.00826578,0.0653666,-0.112486,0.01994,0.14039,0.0246741,-0.0014715,-0.00146277,-0.0491715,-0.046647,0.267848,0.100248,-0.0145419,-0.0718936,0.122831,-0.171001,-0.0462505,-0.109757,0.0349272,0.0347441,-0.128245,0.0167299,-0.0851571,0.146602,-0.160142,0.0160677,0.177806,-0.0646226,-0.126359,0.119499
1,-101.983,-0.12555,-0.0524042,0.0358024,0.029303,-0.0196177,-0.0112697,0.182419,0.102371,-0.107035,0.0601812,-0.00154572,0.0463722,-0.123078,-0.106887,0.207765,-0.153165,-0.0692781,0.213083,0.0684786,-0.33086,-0.176895,-0.189958,-0.0123358,-0.067682,-0.0260855,0.134597,0.0532712,0.0512358,0.0315245,0.172052,-0.0453609,-0.0814659,-0.0250471,0.0513654,0.0314902,-0.0517938,0.0176168,0.156213,-0.082586,0.0174974,0.0533971,-0.110903,-0.0440041,0.206994,-0.209008,-0.0938314,-0.0222209,-0.0294793,-0.0403699,0.112158,-0.0247287,-0.107175,-0.166015,-0.0826183,-0.0113663,0.0244566,0.00722661,-0.00259537,0.000167557,0.209446,-0.0677776,0.18494,0.0432258,0.0888823,-0.088943,-0.00139782,0.06084,0.144571,-0.052296,-0.0247589,-0.00909626,0.159905,-0.0383699,0.0313882,0.106884,-0.0152846,-0.0545959,-0.0962575,0.176734,0.00802145,0.137374,0.191359,-0.0172079,0.00840385,0.0845473,0.0741838,-0.00997332,-0.0169278,-0.098503,-0.142764
2,-100.066,-0.041542,-0.163981,0.034586,0.178311,-0.0287298,0.0475311,0.137092,-0.00703307,0.179061,0.121297,-0.00360953,0.235346,0.00283301,-0.03976,-0.167924,-0.107679,-0.00977954,0.0578038,0.170786,0.0425496,0.0532011,0.0666561,0.030503,-0.0607843,-0.0764534,-0.0786284,0.127095,-0.115923,0.0378387,0.139582,-0.0529547,-0.101986,-0.0731679,0.0837102,0.084335,0.0978288,-0.126201,-0.104005,0.0255458,0.113166,0.148829,0.0625025,0.113414,-0.0136102,-0.0608256,0.00540631,-0.0348385,0.0567578,0.0390569,0.00861984,0.240193,-0.00735196,-0.0265548,0.0771392,-0.103083,-0.0399566,-0.0727257,0.125626,-0.0372048,-0.0924338,0.0497593,-0.184155,0.0118765,-0.0517175,0.136193,-0.0169281,0.108567,0.00736764,-0.0622398,0.00142822,-0.106236,-0.262285,0.0106722,0.0674299,0.134932,0.0482859,-0.217039,-0.110925,-0.091834,0.233335,0.126567,0.135364,-0.162786,-0.0969974,0.051115,-0.00260219,-0.18204,-0.112197,0.0700225,-0.0170644
3,97.1783,0.184769,-0.0970399,-0.0189443,-0.18897,0.073958,0.26317,-0.0463637,-0.1219,0.10544,0.0924318,0.0341689,0.122914,-0.111279,-0.09249,0.063237,-0.044927,0.178613,-0.037267,0.088792,0.10796,-0.0476068,-0.19064,0.133202,0.00451643,-0.131792,0.0455683,0.0340064,0.044226,0.0760812,-0.118804,-0.131151,0.0140299,0.20463,0.0439239,0.0258305,-0.0853709,-0.122152,-0.0100983,-0.0949794,-0.1281,-0.0254174,-0.0682008,-0.0278369,-0.0580066,0.289372,0.0946607,0.0821678,0.0621212,-0.102786,0.030477,-0.00046579,0.124729,-0.0258252,0.0591628,-0.0527149,-0.0347695,-0.12146,0.110161,-0.0104833,0.0799086,-0.134858,0.141819,0.0692046,-0.0383328,0.0669281,-0.0129447,-0.240025,0.20927,-0.0132407,0.103324,-0.0614307,0.0124724,0.0632499,-0.0358461,0.113752,-0.017205,0.0434823,0.016201,0.0678208,0.0768637,0.147518,-0.154377,0.132389,-0.128554,0.0159346,-0.0383188,-0.130683,0.00571644,-0.04477,-0.161495
4,-96.7688,0.0587442,0.00670288,0.112137,-0.0353419,0.181299,-0.0763879,-0.143947,-0.0977617,0.0572769,0.0644987,0.0270959,-0.0707393,-0.00350283,0.0512498,-0.047923,0.0364752,0.100762,0.0689349,-0.153783,-0.143173,-0.0854283,0.0213899,0.0983719,0.105134,-0.0934562,0.106887,0.105182,0.00404867,0.0420803,0.149321,-0.057589,0.107222,-0.18057,0.0127443,-0.0930024,0.0541351,0.0353766,0.0132491,-0.0891456,0.0367888,0.301877,0.150762,0.00286167,-0.126508,0.109435,-0.0474175,-0.083223,-0.0127494,0.0194805,-0.0358457,-0.0805968,0.0535032,0.0205618,0.139265,0.0737411,-0.243291,0.0239435,-0.160292,0.0837582,0.0092638,-0.0710474,-0.0792199,-0.0991963,0.251189,0.141419,0.0244648,-0.00958867,-0.160315,-0.0763129,-0.00792438,0.135442,-0.0747932,-0.0614373,0.0243917,0.112334,-0.0219233,0.189421,-0.0981504,0.0612035,0.0238961,0.00160056,0.14541,0.135456,0.19559,-0.0436198,-0.153724,-0.14073,-0.0355612,-0.0715048,-0.210374
5,91.7841,0.0599597,-0.0900461,0.105734,-0.0849291,-0.132117,-0.0190262,0.0471725,0.141425,-0.0531485,-0.0565607,0.171192,0.0149384,0.126989,0.00330379,-0.0206678,-0.0321228,0.0239413,0.0418123,-0.20225,-0.015231,0.072688,-0.0593471,0.0893718,0.235008,0.099639,0.0448373,-0.0561786,0.0128279,-0.0500526,0.11098,-0.0642786,-0.11732,-0.0212083,0.087367,0.105833,-0.0628023,-0.0606372,0.0765119,0.124506,-0.0233793,0.00381324,0.188873,0.262108,-0.100051,0.056902,0.172527,-0.0905512,0.187288,-0.0573827,0.139937,-0.115194,0.070352,-0.00292671,-0.0239748,-0.225838,0.27202,0.00216135,-0.0120487,0.169765,-0.0147515,0.0479524,-0.0459845,-0.0343476,0.0143288,0.025503,-0.342413,-0.0340928,0.0689197,-0.0723287,-0.0527026,0.0160536,0.165256,-0.0716483,-0.0632275,0.0327178,0.0723417,-0.075658,0.189755,0.078111,-0.0213102,-0.0562959,0.0965686,-0.0284288,0.0297257,-0.116785,-0.046726,-0.0959625,-0.0985086,-0.00358457,0.00813279
6,-91.4717,0.221466,0.208104,-0.107217,0.153397,-0.0626927,-0.0932817,-0.022345,0.188531,-0.0645756,0.0302733,0.107529,0.0384285,-0.0680073,0.0605509,0.125351,-0.244944,0.0407017,-0.121303,0.000106809,0.019793,-0.0227334,0.0303733,0.14791,-0.144653,-0.126294,0.0846171,0.0111346,-0.117939,-0.114429,0.353201,-0.144034,0.0898742,-0.0253712,0.0262502,0.155503,0.000287475,-0.166751,0.0365192,-0.0723687,-0.159546,-0.0698956,-0.1274,-0.0558627,-0.0211781,0.0138793,0.0611892,0.0576091,-0.106874,0.202219,0.104476,-0.0196559,-0.0122856,-0.0332154,0.0542776,0.119675,-0.0336051,0.178554,0.00455005,-0.0299216,0.076202,-0.095666,-0.200825,-0.105557,-0.0069805,-0.0081612,-0.0528657,0.0411365,0.0239484,0.0030617,-0.0952545,-0.050306,-0.00417011,0.103085,0.0659449,0.000754353,-0.0679832,-0.0304993,0.135978,-0.0768975,0.0264854,-0.0992043,-0.127246,0.110383,-0.0629867,-0.130299,-0.14205,0.0621802,0.0346474,0.100786,0.0145894
7,-90.8204,0.0399765,-0.0639309,-0.105342,-0.00910502,-0.0232411,0.101993,-0.0921598,-0.00775675,0.0540815,-0.0130333,0.0405604,-0.020651,-0.207335,0.0385147,-0.0414712,0.00931764,0.0269122,0.197489,0.108289,0.0802011,-0.108534,0.168161,0.124394,-0.017162,0.161301,-0.16748,-0.174414,-0.0588904,-0.0196288,0.0190355,0.151137,-0.0179481,-0.0545275,0.0823956,0.0802737,-0.077911,0.0195708,-0.217139,0.0063681,-0.127874,0.148941,0.0413581,-0.0833383,0.104909,-0.140447,0.0975249,-0.063753,-0.158392,-0.16722,-0.100139,-0.187372,-0.0841733,-0.190141,0.0885395,-0.100611,-0.000743195,0.151222,-0.057664,0.0177099,0.0516743,-0.221382,0.104726,0.00291204,0.0759676,0.0794705,-0.0931101,0.000407838,0.0991968,0.207231,0.0461653,0.13089,-0.095229,-0.0846554,-0.0815997,-0.0506779,0.10418,0.0109166,0.0665753,0.0230333,0.173492,-0.0478226,0.00720074,-0.0219325,0.0705384,-0.15926,0.126275,-0.0218426,0.0714681,0.239375,0.0206544
8,89.9281,0.184105,0.0210145,0.0509561,-0.0623557,-0.0712794,0.0430412,0.156008,-0.0478874,0.0807686,-0.00546171,-0.110529,0.00266407,-0.0682247,0.0212168,-0.230872,-0.0698956,0.0758727,0.0971074,0.073743,0.0627123,-0.101001,0.0149858,0.177571,0.00585195,0.175523,0.192373,0.0588356,-0.144521,-0.0911556,0.0984817,0.0468528,0.117038,0.033275,-0.0501494,-0.0975465,0.0585253,0.11269,0.108165,0.127854,-0.00467425,-0.0903794,-0.153766,0.166485,-0.0304071,-0.0627928,-0.0487646,0.0620847,0.087183,0.0559605,0.0331261,0.075518,0.10102,0.150643,0.00053009,0.046625,0.0108442,0.113476,-0.266028,0.212659,-0.0450486,-0.00217295,0.125403,-0.0711302,-0.0638677,-0.24736,0.0737176,-0.100508,-0.146465,0.198825,-0.0278937,-0.0758446,0.000490782,0.00246607,-0.114078,-0.0675158,0.17134,-0.152152,-0.175603,0.129365,0.145172,-0.0270141,-0.0450261,0.0081028,-0.0234586,0.0527365,0.00319006,-0.0675117,0.115983,-0.0339411,-0.0786292
9,87.2698,0.167673,-0.0222084,-0.113362,0.0383322,0.0157536,-0.00120968,-0.0894687,-0.120754,0.0224747,0.111829,0.0220559,0.11992,0.0591994,-0.02873,0.0530316,-0.00360738,-0.172557,-0.163672,-0.0485329,-0.217652,0.0354888,0.0264478,-0.100063,-0.0531833,0.212501,0.0569876,-0.0184743,-0.151475,-0.168739,0.139027,0.151223,-0.0501493,-0.130777,0.032305,-0.0669448,-0.210329,-0.114043,0.00960254,-0.0143236,0.160708,-0.109708,0.24619,-0.00928598,-0.0514781,0.0383196,-0.0856314,-0.188376,-0.0963736,0.0314879,-0.241203,0.0237675,0.178518,0.0260864,0.0334988,-0.111955,-0.0320668,-0.142224,-0.0239906,0.00196938,0.243271,-0.13908,-0.00390577,0.159722,0.044284,-0.119957,0.0706295,-0.12541,0.0429592,-0.0406257,-0.00556331,-0.0427532,-0.073581,0.0885202,0.0436264,-0.027649,0.0680213,-0.0448614,0.0327562,0.17041,0.0111871,0.0687613,-0.105436,-0.0486561,-0.0300609,-0.00308514,-0.0559828,0.00330852,0.0595286,-0.0968843,0.189842
