Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90
0,109.423,0.027236,0.0607008,0.0295653,-0.160026,-0.165261,0.0158584,0.119526,0.0064043,-0.0324658,0.0631954,-0.0922877,-0.0102114,0.173475,0.0379196,-0.165303,-0.00627594,-0.0382131,0.139781,0.161939,-0.0586959,-0.108638,-0.0415194,-0.030912,-0.0813016,-0.0634558,-0.0388086,0.0883172,-0.00892981,0.209483,-0.118628,0.207648,-0.0773644,0.133961,-0.276767,-0.236851,0.164794,0.142196,0.125138,0.000323236,0.186905,0.0926697,-0.0736729,0.0741835,0.0093057,-0.057195,-0.126737,-0.0216708,0.149591,-0.0835944,-0.151073,0.0461589,-0.0295714,0.0707479,0.122337,-0.0572985,-0.0629481,0.0310578,-0.176416,0.173009,0.0783178,-0.0936393,-0.0640245,-0.0869149,0.0651266,-0.100065,0.0418971,-0.0965504,-0.0802339,-0.0134058,0.0124104,0.0695485,-0.0510594,-0.0328362,0.0380207,0.116854,-0.0363628,0.0282544,-0.181558,-0.112772,0.0408031,-0.0239123,0.114815,0.162768,-0.0229037,-0.0419486,0.130201,-0.151714,-0.0251299,-0.0995169,0.069662,0.0177582
1,-101.722,0.0666468,0.045967,-0.143583,0.103471,-0.132089,-0.0247972,-0.0979092,0.0558968,-0.120601,0.0347732,0.103568,0.00736812,-0.0149669,-0.0703063,-0.0076888,0.083689,0.133411,0.0757874,-0.177047,0.141475,-0.029243,0.037922,-0.0315259,0.139031,-0.0270538,-0.0727087,0.0499669,0.170778,-0.00922907,-0.00961044,-0.0848211,-0.163633,0.164054,-0.172172,-0.0569165,0.033602,0.0759271,-0.0536849,-0.0932125,-0.0915819,-0.0808331,0.131202,0.184337,0.169627,0.121082,0.0397669,-0.162171,-0.0841591,-0.0147076,-0.123451,0.0384072,0.191353,-0.117927,0.00779419,0.0305395,-0.0153774,-0.101493,0.140462,0.163696,-0.0188404,-0.0391418,0.0382322,0.0315823,-0.0943935,-0.0825017,0.0962342,-0.0780287,-0.13614,-0.0464706,0.117816,-0.266407,-0.119477,-0.0172604,-0.155941,-0.102844,-0.0458267,-0.0609316,0.0795932,-0.20633,0.000582304,-0.0545608,-0.196101,-0.0116014,-0.221092,0.0138452,0.0207776,-0.0323736,-0.0354388,0.113493,0.131624,0.078893
2,97.8582,0.222588,-0.0997622,0.137422,-0.105082,-0.13145,-0.212654,-0.0160921,0.0163018,-0.154259,-0.0855865,0.0207992,-0.0612895,0.0494159,0.0377051,0.0173814,-0.0776119,0.119989,0.0862618,-0.131343,-0.0194217,0.150685,-0.186822,-0.0581853,0.00154724,0.195159,-0.0211865,0.0545478,-0.13305,-0.12998,0.0495066,0.121729,0.112834,0.096991,-0.0973514,0.0538892,-0.0588928,-0.0094437,-0.0056712,-0.0217574,0.191049,0.13922,0.00354963,-0.0953117,-0.0247477,0.00113066,0.0161734,0.0574941,-0.0387976,-0.0640579,0.0400084,0.0890654,-0.0328609,-0.0116908,-0.0395939,0.0827702,-0.0997379,-0.126224,0.11228,0.171029,0.0541136,0.132427,-0.0467347,0.0567864,0.0313402,0.0627915,-0.0402159,0.00911813,0.152205,0.182496,0.142023,0.0610566,-0.157191,0.0863508,0.0722035,-0.247085,0.00250243,-0.0869903,0.0706343,-0.119013,0.118705,0.0574515,0.148957,-0.0661265,-0.160235,0.0185889,-0.215031,-0.00707002,0.0837792,-0.17966,-0.0999917,-0.0661095
3,-96.7471,0.0615219,-0.0192138,0.0342695,-0.032897,0.0341062,0.018419,0.0735711,0.207863,-0.0864991,-0.0411258,-0.0455309,0.176177,-0.0262266,-0.154655,-0.0089412,-0.196478,0.12175,-0.107987,-0.119521,0.120708,-0.0826969,-0.0945169,-0.0958192,-0.157013,-0.187334,-0.0679343,0.0694748,0.0398604,-0.0216105,0.137672,-0.105817,0.0247344,0.0807158,0.0474382,0.0908681,0.0381821,0.00856818,0.170834,-0.0251301,-0.0861875,0.0557685,0.0824293,-0.00375651,0.0126983,0.0893846,-0.0690318,0.124932,0.216159,-0.0693882,0.0922005,0.0481969,0.0583885,0.187476,0.00150875,0.0815364,-0.0956501,0.0919929,0.112895,-0.0132203,-0.00116347,0.163652,0.273495,-0.0714716,0.0411093,0.0740109,-0.0526703,-0.125697,-0.0913054,0.0520971,-0.0120726,-0.127699,-0.0274447,0.0728893,0.197677,0.00418425,0.117716,0.0248366,-0.0653867,-0.0498239,-0.0718146,0.0636622,0.152551,0.0773142,0.13828,0.200702,0.0306821,-0.129472,-0.127823,0.187882,0.133288,-0.109318
4,-95.334,-0.00846875,-0.0324784,0.0420465,-0.0685534,0.179377,0.0121251,0.0863915,0.0488716,0.0793563,-0.0951149,-0.0263806,-0.111188,0.0149677,0.0912932,-0.196849,0.0829615,0.0330175,-0.0304567,-0.100157,-0.106308,0.124412,0.0107659,-0.0533272,0.00391502,-0.095836,0.0650459,0.026445,-0.0995782,-0.0594391,-0.0675496,-0.00986144,-0.138943,0.0906404,-0.132158,0.126518,-0.00303691,-0.0289605,-0.042674,0.051147,-0.12919,0.135805,0.265079,0.197668,0.0771152,0.139404,0.109978,-0.203124,-0.151213,-0.138229,-0.03429,-0.0792542,-0.130507,0.100894,-0.0223627,-0.217558,0.0598546,-0.156308,0.0540599,0.0169846,0.239434,-0.0749089,-0.0644946,0.127195,-0.079449,-0.0642458,-0.0167524,-0.0704087,0.208506,0.13551,0.0288135,0.0511488,0.0541958,-0.0502303,-0.0597748,0.182286,0.1893,0.113326,-0.0457243,0.0557364,-0.0916913,0.0624947,0.109256,0.0412471,0.0750921,0.215576,-0.0421295,0.0189072,-0.0751974,0.0206049,-0.00779708,-0.0414051
5,94.9382,0.0937605,0.0331367,0.0292686,-0.112458,-0.00180484,0.0603297,-0.161164,0.0201157,0.00528557,0.127545,0.0437085,0.161929,-0.0737185,-0.225679,-0.156703,0.174755,-0.0275589,-0.159087,-0.0192986,-0.163446,0.0828578,0.0495347,-0.060475,0.21961,-0.096663,0.0359252,-0.0190686,-0.0932003,-0.106372,0.00440417,-0.035027,-0.143149,0.169664,-0.0389924,0.00145489,0.167195,-0.028846,-0.166083,0.181029,0.0655173,-0.206482,0.0026988,-0.115739,-0.0537069,0.0837931,0.0294548,0.0804694,0.0496341,0.0186161,-0.0432091,0.00392881,0.259781,0.147744,0.130507,0.0275563,-0.0920403,-0.0112807,0.0949453,0.0350997,0.00654413,0.0718257,-0.0375989,-0.0432996,0.189974,0.110636,-0.00289135,0.135889,0.111617,-0.0754162,-0.0311602,0.0719292,-0.0826271,0.153897,0.0139631,0.168297,-0.0288809,0.150905,-0.116563,-0.0269383,0.102903,-0.0450757,-0.0459992,0.121712,0.0554631,-0.0868754,-0.163861,0.166522,0.0502893,-0.0429556,-0.00237973,-0.0161351
6,-93.5578,-0.113784,-0.244172,-0.235968,0.115034,-0.0108908,-0.101478,0.00849432,0.0462308,0.132829,-0.0791733,0.0400969,-0.0842281,-0.138285,0.0264411,0.0908102,0.134444,0.0256863,0.0181449,0.137231,0.135672,0.00515657,-0.16343,-0.286444,0.100967,0.0220657,-0.0134084,0.0030791,0.0291404,-0.0420549,-0.0405077,0.0570169,-0.128764,-0.0077113,0.0390204,0.0734022,0.0745879,0.122043,-0.103541,-0.241646,0.0208804,0.230537,0.0832481,-0.0524954,-0.210898,-0.0142808,-0.0697435,0.103428,-0.160869,-0.101068,0.0199974,0.0397373,0.0735181,0.00429026,0.154152,-0.0248657,0.0878839,0.0625153,0.0800877,0.00728387,-0.169078,-0.0412455,-0.0660468,-0.0208595,0.160583,0.0513604,0.168827,0.0853142,0.0295213,0.0628256,0.0283633,-0.0953864,-0.0442503,-0.0611581,0.0424526,0.0327976,-0.0228178,0.0758509,-0.0517392,0.0624203,-0.0412186,-0.0185029,0.202523,0.146471,0.0550035,-0.0162375,0.107385,-0.0233299,0.233802,0.0756632,0.0552961,0.0193303
7,-91.3839,0.0474949,0.0332934,-0.0673045,-0.120576,0.0721415,0.0863297,-0.170742,-0.064049,-0.0567954,0.0483556,-0.0218499,0.0115333,-0.170888,0.0206955,0.0598723,0.0945595,0.137057,-0.062399,0.0090444,-0.115039,0.0152202,-0.163095,-0.171584,-0.0598148,0.0459175,0.0792995,-0.0693915,-0.207103,0.101046,0.00874243,-0.0762043,-0.0934504,-0.024937,0.0356642,0.092317,-0.079138,0.223108,-0.10164,-0.099068,-0.0983206,-0.0296273,-0.0610311,0.0170264,-0.0436766,0.0815724,-0.209028,0.0640221,0.0390051,-0.0180332,0.032314,-0.08063,0.0197501,0.00366768,0.182998,-0.293103,-0.119854,-0.0396597,-0.00801248,0.0556939,0.0345554,0.028355,0.0315352,-0.165161,-0.258611,-0.0196857,-0.0456593,-0.0817927,-0.0592816,-0.0405237,-0.107388,0.145157,0.155054,-0.0637117,0.063299,-0.138999,-0.101511,-0.0256833,0.0361945,-0.1346,-0.132908,-0.178632,-0.0843142,-0.133982,0.034365,-0.0138066,-0.141436,-0.250999,-0.0453632,-0.0832554,-0.0659175,0.0500146
8,90.5674,-0.107132,0.00731476,-0.0749371,-0.154469,-0.0186994,-0.112039,0.0764844,0.0243519,0.124232,0.0666,0.0446649,0.13079,0.0707487,-0.000783527,0.181565,0.0394666,-0.0933898,-0.0803366,-0.151772,-0.296471,0.172616,0.062762,0.0285644,0.0235339,0.248643,-0.0120433,-0.0272623,0.206525,-0.0618087,0.149979,-0.18639,-0.0947752,0.11675,0.0458937,-0.124803,-0.0260607,0.0767545,-0.013245,-0.0777222,-0.126668,0.137781,0.0360588,-0.104483,0.0895739,-0.23765,-0.0525505,0.146721,-0.00429539,-0.131885,-0.0832359,0.155438,-0.117117,-0.0258143,0.119781,-0.0433844,-0.0975191,-0.0489593,-0.0857042,-0.0188404,0.0586194,0.00135324,0.0541205,0.0479029,-0.0342315,-0.038843,0.0507935,-0.108349,-0.20952,0.00622048,-0.0219826,0.144374,-0.0419075,-0.134944,0.100104,0.0978144,0.148828,0.0143724,0.0606125,-0.0978477,0.0840405,0.117902,-0.0214381,0.0339991,-0.0358433,0.00975096,-0.0576244,0.184713,0.0230216,0.111619,0.019931,0.0693638
9,-88.7924,0.0225358,-0.0960865,-0.159698,-0.0691023,-0.0909147,0.0555352,-0.11494,0.040799,-0.195207,0.0963002,-0.143918,0.0227418,0.0151183,0.170001,0.0288797,-0.246114,-0.0344516,0.0181533,0.00376535,-0.0089378,-0.124283,-0.0827543,0.0489892,-0.0610528,0.121067,-0.138674,-0.266351,-0.100322,-0.138763,0.00812884,-0.0202082,-0.0297749,-0.0126971,0.0302258,-0.137014,0.0792432,-0.0716138,-0.0142085,-0.0308276,0.131669,-0.0869149,-0.0565913,0.125258,-0.0760939,0.00880796,-0.0171057,0.0171337,0.0419663,0.106469,0.0605878,0.119888,-0.0563933,0.0922356,-0.0801174,-0.202509,0.0670082,-0.106201,0.119807,-0.0875696,0.12676,-0.0232436,-0.13071,-0.0396032,-0.000602789,-0.000953876,0.0762296,-0.179861,0.0694454,-0.0940485,-0.0165829,-0.113781,-0.189835,0.0343179,-0.0191187,-0.00161126,0.0351324,0.289915,0.187838,-0.00348957,-0.107044,0.117116,-0.116575,0.0769695,0.204269,0.0336431,-0.00315451,0.0802765,0.142193,0.0441107,0.0229859,0.152332
