Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91
0,111.535,0.121421,-0.0882384,-0.0388773,0.0410714,0.0749134,0.0933643,-0.0940531,-0.050983,0.0126415,0.0702207,0.228925,0.0926165,0.131533,0.0931054,0.0814157,0.0213648,-0.226508,0.0502446,-0.0705818,-0.0298953,0.00583829,-0.0190075,-0.136432,-0.0828389,0.176893,0.0517614,0.0871576,0.0309053,0.00420971,-0.0929337,0.1103,0.0687294,0.142779,0.269703,-0.0372031,-0.0879956,0.0704121,0.144105,0.082379,0.0514266,-0.0137502,0.00421232,-0.125992,0.112439,-0.0501856,0.0382916,-0.0400695,-0.0915721,0.00662584,-0.0702504,0.136829,-0.202807,-0.105245,0.0549906,-0.0144139,0.075848,-0.118724,0.0703638,0.0637621,0.0218521,0.119146,-0.0139059,-0.121405,0.0251838,-0.171971,0.28815,0.0506992,-0.155592,0.078815,-0.020746,0.148581,-0.0622979,-0.101849,-0.0900209,0.0792818,0.0362471,0.0741457,-0.0831935,0.0631029,0.0998981,-0.119067,-0.0823761,0.00661679,-0.0192671,-0.0360334,-0.0910282,0.251086,-0.18422,-0.113079,0.0702814,0.0474438,0.0707951
1,-101.98,-0.0647111,-0.0253528,0.066513,0.109972,-0.0186419,-0.106818,-0.171644,-0.0626057,-0.0376275,0.0852548,-0.0867808,-0.0797918,-0.000207711,-0.130601,-0.000907114,0.0736502,0.0215325,0.168412,-0.0901952,-0.104033,-0.0990006,0.0062292,0.0589807,-0.229481,-0.0276796,-0.035877,0.0906263,0.0822591,-0.0960628,-0.060398,-0.00787455,-0.0419539,0.124212,0.13592,-0.197108,-0.0131604,-0.209888,0.19851,-0.073753,0.156779,-0.0579887,-0.0266085,0.121594,0.105699,0.129862,-0.101664,-0.114301,-0.145031,-0.00825477,-0.126604,-0.214483,-0.00147434,0.0236884,-0.0948661,-0.0809302,-0.0129483,0.112107,-0.0870063,-0.140464,0.0146339,0.0912356,0.02779,0.205469,0.160057,0.0148803,-0.0840284,-0.125414,-0.0503244,0.0194505,-0.180733,0.0127085,-0.0530272,0.00771668,0.0599202,-0.148167,-0.0989118,0.0589433,0.00968815,0.114101,0.272558,-0.0372057,0.0910154,-0.0738327,0.0705695,0.0508484,-0.098953,-0.0107615,-0.0577628,0.166204,-0.135223,-0.0104768,-0.00762506
2,-100.469,0.0785031,0.076037,0.146102,-0.0292925,-0.0181065,0.0724678,-0.0709851,0.0487869,-0.0137434,-0.00193953,0.258337,-0.0329257,-0.162643,-0.0038354,0.179688,0.00935994,-0.110487,0.117443,0.0694541,-0.148705,0.0132224,0.0475416,-0.108688,-0.0259848,-0.0856481,-0.193974,-0.100892,-0.0495244,-0.0889147,0.198991,-0.133095,0.0736507,-0.0519463,0.108681,0.113941,0.159326,0.0778506,0.00769764,-0.0272773,0.0601801,-0.00365056,0.029222,0.0694942,0.159619,0.155418,-0.0417766,-0.0677323,-0.0102159,0.179517,-0.0863819,0.181605,0.0855479,-0.176842,-0.0202592,-0.0600259,0.0548866,0.177334,-0.124547,0.020536,-0.0931233,-0.0935076,0.133878,-0.12288,-0.119398,-0.0215742,-0.22331,0.213991,0.0903487,-0.080842,-0.120953,-0.144075,-0.122018,-0.108732,-0.0341375,-0.102378,0.00543643,-0.0656254,0.0774835,-0.108446,0.0301777,0.122805,-0.132143,0.0345795,-0.000593042,0.0353772,-0.0221449,0.144834,-0.0205265,0.0636261,-0.0138206,-0.0253215,0.0712031
3,99.7213,0.0100771,-0.205012,-0.0995721,-0.268616,-0.00879372,-0.134871,-0.0243664,0.177888,0.0625268,0.161434,0.0598934,0.0135943,0.190702,-0.0774371,0.149555,-0.182919,0.101662,-0.0364209,0.0602837,-0.0519434,-0.0831072,0.217279,0.0549792,-0.0849455,0.174081,0.139422,-0.00879934,0.222774,-0.156995,0.15907,-0.0193228,0.0715141,0.0219667,-0.0179178,-0.126611,0.0984504,0.141613,-0.0253371,-0.0137367,-0.0775063,-0.166697,-0.0848654,-0.0280848,0.0176021,-0.0126773,-0.067144,-0.0423557,-0.124057,0.0490087,0.00612628,-0.0413741,0.0846848,-0.0934561,0.0173931,0.0830166,0.143922,-0.110741,0.00920649,-0.156009,-0.0211426,-0.0218415,0.238576,0.0405401,-0.0270849,0.0193629,0.059346,-0.0754617,0.0172618,0.0862069,0.061107,-0.15214,0.00216412,0.0462248,-0.0484589,-0.00647259,0.00686004,-0.0341018,-0.101473,-0.109997,-0.109423,-0.0630287,0.121029,-0.0127504,0.0302688,0.256435,0.091141,0.0302491,0.100681,0.0135562,0.0384534,0.0948591,0.0102
4,96.9494,-0.0194156,0.0470672,-0.0679356,-0.119177,-0.0192601,-0.024401,-0.0614063,-0.0518698,-0.112982,0.0878298,0.0490793,0.0167597,-0.0924348,0.0511754,-0.103978,-0.00699373,-0.144968,0.0422028,0.0543206,-0.0825948,0.00589955,-0.182316,0.251711,-0.0830124,-0.0949576,-0.0937363,0.0707539,0.228196,-0.0120523,-0.0543858,-0.0101218,-0.0190397,-0.151378,0.0145359,0.0735184,-0.1535,-0.00745637,0.0692097,-0.119807,-0.0411053,-0.211041,-0.0190777,-0.00200557,0.189598,0.0759577,-0.0386077,0.055545,0.135538,-0.104074,-0.146736,0.0313631,0.0989223,0.11577,-0.0315485,-0.000812786,0.122574,0.04738,0.136211,0.17281,0.120088,-0.132899,-0.00275241,-0.0274792,-0.0396762,-0.257908,0.070893,0.0648268,-0.170672,-0.0913087,0.0503784,0.00881679,0.0873421,0.0718678,0.0698112,-0.0100136,0.0460866,-0.209789,-0.0446095,-0.0642398,-0.163976,-0.0863637,0.0797074,0.0988836,-0.146964,0.0594651,-0.230072,-0.0602163,0.129551,0.0723179,-0.135236,0.111672,-0.0211246
5,-95.0794,-0.0676905,0.0416371,6.48822e-05,-0.0428897,-0.0594143,0.0168625,-0.163169,-0.070835,-0.106205,-0.135522,0.0465509,0.108877,0.0123327,-0.0316429,0.0533611,-0.157939,-0.0567354,0.0282645,-0.0919822,0.183788,0.0592807,0.115315,-0.0208578,-0.0232103,0.142161,-0.0927347,0.0449213,0.132645,0.0917435,0.0528111,0.117795,0.0236504,0.0250065,0.00610638,0.0369365,0.0815196,-0.206901,-0.0661294,0.149976,-0.0520252,-0.0739051,-0.0549598,0.051348,-0.235776,-0.102225,0.190803,0.0252253,0.0535353,-0.138964,0.126168,0.080749,0.0625487,0.122204,0.080703,-0.114369,0.0489638,0.0489162,-0.14412,0.233547,-0.0876293,-0.0614851,-0.0826656,0.0475915,0.0674346,0.114757,-0.0464504,0.0928172,0.00824133,0.0341931,-0.0814272,0.0778659,-0.216222,-0.128736,-0.0167854,-0.0980798,0.00137643,0.0489684,0.0436429,0.067166,0.0252852,-0.0239457,0.127536,0.100196,-0.124079,0.258504,0.0216357,0.205165,0.124643,0.0806233,-0.179803,0.144135,-0.121651
6,91.9127,0.114185,-0.242972,0.0175609,-0.0497247,-0.190727,-0.0980054,-0.0539361,-0.163302,0.0940603,0.0231769,0.00701541,-0.121304,-0.0815089,-0.126062,0.137832,-0.0301068,-0.0831644,0.195121,0.118641,0.0753558,-0.0657644,0.00760375,0.0063683,0.0124461,0.0719912,0.0348191,0.116437,-0.0304228,0.0535991,-0.0927223,0.120599,-0.308575,0.150334,0.0837205,-0.032046,-0.0832387,0.229154,-7.63843e-05,0.186504,-0.0360207,0.0170335,-0.109918,0.156869,0.0406327,-0.0890321,0.0138489,0.157644,0.110666,0.0675729,0.151876,-0.0854317,-0.0500285,-0.0256799,0.152587,-0.108618,0.00163679,0.0291184,0.134442,-0.0116645,0.074378,-0.0521103,0.00321585,0.0127347,0.00134101,-0.0918822,2.99748e-06,0.0356814,0.105673,-0.136671,-0.110283,-0.0225511,0.000710236,-0.0274326,0.162193,-0.0714449,-0.0173577,-0.00107527,-0.0327224,-0.122178,-0.0535254,0.156483,-0.0761983,0.0415197,-0.0784276,0.000876076,0.11754,-0.127053,-0.0273891,-0.097503,-0.21655,-0.17857,0.0133044
7,-91.2554,-0.0188727,0.187989,-0.096998,0.0356972,-0.0729541,-0.0576078,0.078472,0.19533,-0.0585626,0.0393616,-0.0720669,0.0629258,-0.0710076,0.103778,-0.163615,0.090192,-0.0843468,0.0470846,-0.190478,0.0555417,-0.0739918,0.0416153,0.0808634,0.0598585,0.106615,-0.00740647,0.200117,-0.077155,-0.124125,-0.0499696,0.182895,-0.103901,-0.0398278,0.0242502,-0.169472,-0.0483577,0.083549,-0.028019,0.0705019,-0.187029,0.0978927,-0.154768,-0.129659,0.0597745,0.158547,-0.135152,0.00745863,0.0464313,0.00261161,-0.0539157,0.161595,-0.0529607,-0.038303,0.0656431,0.064676,-0.0808036,-0.0815386,-0.0131416,0.217743,0.0626468,0.00148328,0.0437384,0.144404,-0.0368483,-0.0111973,-0.0186465,-0.0516257,-0.0389337,0.157092,-0.139658,-0.328805,-0.144042,-0.0324244,0.10113,-0.0860289,-0.00459155,0.0791842,-0.0326854,0.00840192,-0.00535762,0.105277,-0.120483,0.130142,0.0798971,-0.0189493,0.0746951,0.0523722,0.1244,0.192831,0.145545,-0.0562329,0.0263241
8,91.0491,-0.145926,0.159213,-0.0149077,0.00905313,0.0498374,-0.0366416,-0.117679,-0.0489,-0.0470965,-0.0847551,0.0142835,-0.0625693,0.0732157,-0.188931,-0.0504266,-0.0732731,-0.0922623,0.0805723,0.0501342,0.0192164,-0.303956,0.0282952,0.142223,0.0260905,0.0368563,0.128002,0.0404607,-0.212804,0.03001,0.0405268,0.00553781,-0.0305486,-0.0984312,-0.0558777,0.047238,0.0508571,-0.0900655,0.0832769,0.187939,0.183275,0.112415,0.0421221,-0.0432024,0.0379049,0.126976,-0.0213159,-0.0117944,-0.167461,0.0779306,-0.128151,0.0342048,0.0254805,0.0935548,-0.169562,-0.0692898,0.0610579,-0.0725517,0.0245158,0.220186,-0.0410299,-0.0257135,0.149249,-0.171321,0.232157,0.0618442,0.123575,0.0266149,0.149613,0.0595119,0.0333726,-0.0827134,-0.0638079,0.0951792,-0.0333406,0.146815,-0.0160786,-0.187874,-0.0260773,0.0111133,-0.00151174,-0.0601261,-0.00793537,0.0621878,-0.030647,0.00433736,0.153334,-0.0889119,0.0702655,-0.280439,-0.0959686,0.0017403,0.123126
9,-89.1717,-0.0881141,0.0611782,0.0162117,-0.0744276,-0.107233,-0.0435013,0.0304382,0.0319562,-0.0368486,0.079434,-0.0739515,-0.0538669,-0.147682,0.0989754,0.132957,0.0507159,0.127867,-0.00947976,0.0359665,0.0608119,-0.0118866,-0.0583367,0.191507,-0.157245,-0.0278193,0.0361497,0.176776,-0.0152308,0.00681196,0.0681658,0.124606,0.121029,0.1266,0.115571,-0.212779,-0.0571719,-0.158408,-0.221076,0.132228,0.0829654,0.0906603,0.06916,-0.025723,0.0489766,-0.0424869,0.0792914,-0.164393,0.0163118,0.0440897,0.0998255,0.029969,-0.11699,-0.176063,-0.0730747,0.0798973,0.190341,0.121174,-0.00128717,0.00870887,0.0199433,-0.106902,-0.00273537,4.44269e-05,-0.0891367,0.156259,-0.0900863,-0.126825,-0.0613657,0.00728779,0.0478702,0.106075,0.0591841,0.101944,-0.182797,0.0913962,0.212615,-0.115169,0.0825546,0.0674348,-0.154343,0.130497,0.00738378,0.24982,-0.105257,-0.0321836,-0.0234929,0.0227183,-0.234967,0.00525108,-0.034736,-0.0621559,0.0931524
