Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92
0,-109.653,-0.0477456,0.0760175,-0.0134505,0.0829418,-0.0890009,0.198099,0.0630282,0.0187456,0.101644,-0.188785,-0.011031,0.0208992,0.00247012,-0.135586,-0.105582,-0.000880301,0.01363,0.0256848,0.141061,0.043147,-0.0292721,-0.0444609,0.154986,-0.0237872,-0.0235666,0.0255625,0.0502293,0.0937344,0.0335958,0.0987255,0.0295965,-0.00288647,-0.020313,0.202532,-0.013881,-0.148433,-0.123393,-0.177267,0.15141,0.0260326,-0.240109,0.0110305,0.153581,-0.0733999,-0.0447826,-0.00394541,0.00212187,0.00726586,-0.0741635,0.119365,0.165968,-0.0723399,0.0585443,0.0221793,-0.110466,0.148138,0.182017,0.121933,0.0125565,-0.133954,-0.0317255,0.174039,-0.25612,-0.00566188,0.109277,0.13174,0.00100129,0.0942052,0.0140327,-0.125802,-0.0471193,0.0559024,0.180697,0.00897767,-0.029851,-0.0199674,0.0897969,0.257366,-0.00281733,-0.12783,0.204631,0.0578062,-0.0875757,-0.0851976,0.0200598,0.101632,0.107355,0.0928891,-0.0738048,-0.121537,-0.0673326,0.0793443,-0.0194632
1,106.625,0.154588,0.0861693,0.126628,0.0506605,0.0666382,0.141326,-0.0269715,-0.0275791,-0.0612052,-0.0581673,0.0887481,0.0149052,-0.0452469,0.0941467,0.0484175,0.0283879,0.0761829,0.0517765,0.192082,0.186948,0.00216395,0.113442,-0.0623744,0.0695081,-0.0768742,0.0553782,0.0465615,0.153197,0.0594075,0.0791679,-0.110295,-0.0334997,0.0343269,-0.073757,-0.127489,0.0229894,0.196,0.0304643,-0.0307408,0.109591,0.0632675,0.0173955,-0.204437,0.0371239,-0.0989179,0.0527854,-0.144437,-0.157287,0.0133468,-0.127239,-0.186964,0.0181082,-0.0428992,-0.155125,-0.0132757,0.0223661,0.185863,0.0112606,0.0559513,0.122683,-0.0639437,0.0232347,0.0172374,-0.126696,0.11698,-0.0338393,-0.120531,0.00638032,-0.0948546,-0.110785,-0.112655,-0.0881706,0.137743,0.0207494,0.107983,-0.243542,-0.157665,-0.0179647,-0.019048,-0.0525675,0.0974543,0.0860169,-0.146617,-0.145221,-0.0480213,-0.172724,0.121166,-0.0130705,-0.243701,0.168818,0.130366,-0.0173584,-0.0192568
2,-104.889,0.0565587,-0.00658141,0.0137984,0.124389,0.0214436,-0.175909,0.0470835,0.033959,0.108278,0.129198,0.0124476,-0.0766017,0.0129384,-0.0647986,-0.0820846,-0.148,0.0518014,0.0261825,0.148593,-0.177836,-0.101705,-0.0385183,0.0180954,0.207335,0.0982933,0.189837,0.143052,0.106543,-0.0641829,-0.067989,0.13262,-0.0821065,0.0973694,-0.0227295,-0.139913,-0.0675425,0.0178878,0.0654149,-0.112689,-0.152731,-0.0390177,0.089676,-0.123808,-0.219053,0.0858774,-0.0711186,0.0599886,0.141512,0.137162,-0.0488345,0.0408755,0.105489,-0.0232973,0.0315149,0.0953133,0.23525,-0.101287,-0.00854233,0.0683263,-0.0439063,0.0016914,-0.0460265,-0.00695666,-0.0292501,0.0127105,-0.0446478,-0.164477,-0.0471575,-0.161183,0.0984716,-0.128755,-0.0273525,0.0155016,-0.0221894,-0.0408259,-0.0346946,0.133394,0.0557025,-0.07469,-0.118294,0.0487824,0.196036,-0.0286658,-0.1172,-0.296352,-0.131463,-0.0479471,0.0175871,0.222471,-0.0078585,-0.00986072,0.0367845,-0.0993388
3,102.178,-0.032053,-0.0412796,0.23721,-0.015971,0.0467572,0.0298138,0.125679,0.0986838,-0.0398559,-0.0887222,0.0912583,-0.0919628,0.257574,0.0755519,0.130992,0.0839169,0.137042,0.0895448,-0.285647,0.0708976,-0.209106,-0.184724,-0.0793192,-0.0710913,0.0676311,0.190274,-0.124226,0.00818438,-0.0694534,-0.107688,0.017238,0.0570229,0.0160631,0.0138137,-0.0700335,0.0223898,0.0429321,0.057571,-0.153708,-0.0122021,0.0875353,-0.059006,-0.0403471,-0.0157699,-0.046059,-0.0292213,0.194363,0.0370527,0.128371,-0.0300916,0.0922852,-0.0407748,-0.111758,-0.0517632,-0.0505598,0.00255367,0.0611323,-0.158921,0.167825,0.0161131,0.00896567,0.119984,-0.109567,0.167933,-0.163059,-0.176052,0.0469124,0.0766265,0.0793337,0.0257971,-0.0486541,-0.0689895,0.158477,0.0312887,0.150475,0.0207384,0.120541,0.109358,0.110338,0.0584796,-0.0208588,0.0909803,-0.07731,0.00668826,0.0779057,-0.00840665,0.127029,0.020037,-0.0840453,-0.107424,0.00713043,0.176254,0.0729589
4,-98.8438,0.116138,-0.131648,-0.0914986,-0.0343881,-0.0561976,0.0758562,-0.0601527,-0.0378091,-0.203003,0.0624482,0.14038,-0.164184,0.0367191,-0.0235903,-0.0308392,0.0696201,0.0244292,0.0501665,-0.0118492,-0.0200341,-0.031816,0.120557,-0.171614,-0.204562,-0.103925,0.125414,0.112941,0.0119776,-0.11359,0.188364,-0.0144879,-0.0160154,0.258563,-0.0779113,0.00175797,-0.0367032,0.00833175,0.122379,-0.106275,0.179933,0.0202183,0.055414,0.0846765,-0.146851,0.017777,-0.198207,-0.0551072,0.038158,-0.187082,0.158244,0.0776723,0.062443,-0.0287458,-0.00660353,0.252801,-0.0412647,0.0890343,0.0705993,0.0339408,-0.0147481,-0.192309,-0.0130048,0.0141035,0.13625,0.0835665,0.0320289,0.0482192,0.00716663,-0.03639,0.14156,0.109846,-0.0351608,-0.0314509,0.0493367,-0.0595673,0.183408,0.0316168,0.0716594,-0.0608703,-0.0382046,0.0111248,-0.00757865,-0.20029,-0.0508541,0.112733,0.124056,-0.0450266,0.0711345,0.0307648,0.228088,-0.0268784,0.112888,-0.0999732
5,95.0168,0.0659736,0.118311,-0.0650136,0.101542,0.0354908,0.0776533,-0.0530873,-0.0222062,0.172024,0.0571718,-0.00948886,-0.166071,0.186098,0.0241306,-0.0320652,-0.0547528,-0.16494,-0.0605582,0.034425,0.144219,0.0506769,-0.0455911,0.0325426,0.0590952,-0.0258998,0.111004,-0.0303849,0.00691945,0.0563312,0.11682,0.142085,0.0755121,0.210719,0.0393005,-0.123298,0.190926,0.120367,-0.15906,-0.0349527,0.0147161,-0.0515858,0.0846458,-0.132397,-0.0582015,-0.195628,-0.0285791,0.00566716,0.0399963,0.0993761,-0.0663173,0.109605,-0.0287171,0.0848119,-0.0297841,-0.00978563,-0.0250136,-0.0239874,-0.0315052,0.0425021,-0.0252636,-0.00851626,-0.0910935,0.0668503,-0.0750032,-0.0840393,0.159099,0.20316,-0.157783,0.0615956,-0.0233487,0.0247922,-0.073627,0.0390125,0.162395,-0.0236338,-0.0383112,-0.180152,-0.219655,0.133272,0.0372051,0.0470134,0.161065,-0.142811,0.120116,0.177931,0.155581,-0.163564,0.0159905,0.0685285,-0.21573,-0.121382,-0.0629089,-0.121932
6,94.4993,-0.243117,0.0862942,0.00722724,0.0520595,-0.0773234,0.0730587,0.119784,-0.0225647,-0.1006,-0.16248,-0.101372,-0.17587,-0.0155444,0.000377543,0.175095,0.113133,-0.10076,-0.0262333,0.082103,-0.145768,0.00735552,0.10846,0.105757,-0.185022,0.0945012,0.0314578,0.0295725,0.186442,0.0798266,0.0748471,0.163304,0.0670984,0.0236017,0.0362615,-0.134392,-0.110503,-0.0715494,0.169327,0.0817035,-0.0387894,0.0901544,-0.0546918,0.00346899,-0.0879167,-0.0954147,0.0593,-0.18781,0.120906,-0.0639259,-0.230928,-0.100997,0.0974233,-0.12448,0.0764894,-0.139724,-0.0414283,-0.0998656,-0.094038,-0.0413117,0.165123,0.117444,0.0197449,-0.0391658,0.064906,-0.00893234,0.137937,0.205928,0.146647,-0.185837,0.0411324,-0.00267465,-0.0139653,-0.0456318,0.211617,0.018884,-0.00281167,0.0344047,0.0364144,-0.0358741,0.124325,-0.0353943,0.122218,0.0863227,-0.0385139,0.000502913,-0.0310081,-0.129328,0.062409,0.0163507,0.11451,-0.0025672,-0.00168449,0.0969492
7,-93.6757,0.135333,-0.0984247,-0.191693,0.103597,-0.195819,0.00305288,-0.0254226,0.109063,0.125308,0.118913,0.0953787,0.0709962,0.144829,-0.0339381,0.222748,-0.0615496,-0.152982,-0.0673521,0.0314768,0.0210044,0.186739,0.177424,-0.0434968,-0.163842,0.131396,-0.0903787,0.135656,-0.0579009,0.00796405,0.0994951,0.062849,0.233933,0.000569635,-0.0381103,-0.0161123,-0.0410696,0.147987,0.060441,-0.120268,-0.278381,0.0823131,-0.0200404,0.0593818,0.088735,-0.0518519,-0.128394,0.00533707,-0.253547,0.0574614,-0.0117667,0.0750805,0.077488,-0.160156,-0.0591336,-0.128417,-0.0229919,0.059873,-0.00927897,0.0855388,0.0401792,0.0336951,0.214972,-0.0684311,0.124361,-0.0125985,0.0803302,-0.0686798,-0.0569613,-0.0908238,0.0146575,-0.0875627,0.0555246,-0.0133103,-0.151668,-0.015125,-0.0187103,-0.0241341,0.0784154,0.0157001,-0.0611892,-0.0183138,-0.0476795,-0.0185677,0.0175179,-0.100627,0.126021,0.109481,-0.143889,0.0580747,-0.0886841,0.0595239,-0.0398718,0.0539039
8,92.5603,0.0552225,-0.00638619,-0.0169619,-0.0573018,0.193166,0.165033,0.0757976,-0.114756,0.081435,-0.113051,-0.089289,-0.0604295,-0.021702,-0.197662,0.0217806,-0.0319144,-0.104723,0.194292,-0.0967166,0.0526444,0.0291537,-0.0881486,-0.033833,-0.0148429,0.180094,-0.146255,0.0437248,0.0340433,0.0783151,0.103925,-0.0231886,0.0208217,-0.000708977,-0.0702268,0.0857049,-0.139799,-0.0192351,-0.0434887,-0.117085,-0.0843548,-0.14614,-0.174158,0.00210747,-0.117806,-0.0155071,-0.131824,-0.0290935,-0.00668556,-0.0186245,-0.106034,0.013784,0.178906,-0.0943758,0.251019,0.105742,-0.0319135,0.0834372,-0.0687974,0.0806444,-0.0359079,-0.263175,0.0124385,0.0930905,-0.148905,-0.207511,0.00576515,-0.069791,-0.0990921,-0.0206562,0.0884344,-0.169977,0.111588,0.116223,-0.0322592,-0.000193016,-0.0649741,0.0266363,-0.124103,-0.0569897,-0.0904926,-0.103184,-0.16839,0.14214,-0.0291387,0.12117,-0.135654,-0.149622,0.034459,-0.163779,-0.0333268,-0.0277073,0.0753874,-0.0274334
9,-88.6215,0.0421965,-0.121414,0.00812118,-0.0182818,-0.00541217,0.00553865,-0.0083352,-0.109182,0.149784,0.0774725,-0.106769,0.0559561,-0.0917334,0.0707569,0.0742422,0.181802,0.0236395,0.00451732,-0.146686,-0.0175568,-0.0128492,0.12368,0.0866154,-0.0603003,-0.197004,-0.0486376,-0.0629711,0.14262,0.00293066,-0.078406,0.11844,0.166742,0.00706396,0.134017,-0.200794,0.15873,0.0259799,0.0604705,0.0688259,-0.00682458,-0.184178,0.132653,0.113684,0.100993,-0.137344,-0.00750713,0.0229966,-0.00689603,-0.0563329,0.0376962,-0.0207086,0.100586,0.0098078,0.00312723,-0.0082192,-0.029268,0.0145386,-0.148412,0.0572749,-0.125639,-0.00634568,-0.0575405,-0.0646117,-0.111055,-0.0293222,0.0184598,-0.173874,-0.215919,0.148493,0.117367,-0.186207,-0.264097,-0.106833,-0.0562758,0.0848551,0.0912291,-0.0784429,0.143153,-0.0864252,0.0996544,0.00892618,-0.0266131,0.141029,-0.159692,0.00995998,-0.00721785,-0.0317686,0.261862,0.0662539,0.0429685,0.158908,0.0835552,-0.0515786
10,88.5695,0.0478535,0.103138,-0.0917513,0.0964889,0.0140736,-0.023065,0.23372,-0.149161,-0.0609874,0.0760376,0.0530803,0.170959,0.0146371,0.0341851,0.135224,0.143151,0.026012,0.00689078,-0.0405106,-0.0922349,0.0372107,-0.17305,0.00247848,0.155154,0.0883729,-0.16871,-0.0913646,0.000605069,-0.0449569,0.0319492,0.05015,-0.0678997,0.0845706,-0.129148,-0.044381,0.0549794,0.0400554,0.00795626,-0.0600506,0.0751107,-0.128876,0.286464,0.00378874,-0.0422852,-0.030678,0.0841164,-0.03863,0.0499758,-0.157335,-0.00823446,0.0104823,-0.161438,-0.227812,-0.0654051,-0.0452446,0.000624712,0.117597,-0.141186,-0.0800727,0.0451688,-0.0108704,0.068351,0.00444783,0.100429,-0.0357027,-0.255579,0.0929944,-0.0539946,-0.220586,-0.118553,-0.0100495,-0.0353768,0.0318394,0.114337,-0.0444857,0.0908246,-0.0760115,0.12551,0.0015943,-0.230355,0.0953669,-0.214872,0.0755287,0.055722,-0.00713462,0.0478658,-0.086163,0.0258262,0.0360967,-0.029749,-0.0745016,-0.177693,-0.124344
11,-86.8499,-0.113196,0.152304,-0.0643917,0.00280691,0.110171,0.139164,0.144947,0.00177217,-0.205299,0.089977,-0.0416814,-0.0547166,-0.048127,-0.0291779,0.0202964,0.11197,-0.168421,0.214807,-0.104105,0.0846217,0.00935057,-0.00805669,-0.154919,0.0132566,-0.08609,0.176625,0.0357835,0.0130549,0.0249674,0.0256382,0.0577445,0.183495,-0.0811079,-0.0814619,-0.034458,-0.221594,-0.088842,0.0338204,0.107366,0.0560903,-0.136423,0.087069,-5.28079e-05,0.0819651,0.205786,-0.171745,0.152186,0.0537804,0.0675344,-0.0774463,0.0602394,0.0319303,0.0971577,-0.18231,0.010747,0.0463598,-0.09394,0.0804127,-0.0722559,0.110312,0.0952341,0.0858442,-0.0869414,0.0103252,0.124408,0.0750196,-0.0491532,-0.127049,0.0969081,-0.0311319,-0.11467,-0.192978,0.111231,-0.0490274,-0.158002,0.0200897,-0.0808864,-0.0337689,0.152234,0.102548,-0.125576,-0.145495,-0.0365309,0.068206,-0.166457,-0.0898482,-0.00716973,-0.119143,0.00183483,-0.00285926,-0.0382629,-0.154001,-0.077562
12,-86.4006,0.0472064,0.205887,0.10848,0.0147353,0.105244,-0.120269,0.0150226,0.128127,0.0392334,-0.208331,-0.112475,0.180917,-0.0503701,0.0793486,-0.00765001,0.00741171,-0.0622784,0.110995,-0.0724181,-0.153115,-0.0916807,0.0016752,0.00998717,-0.0715626,0.0740519,0.0973316,0.0569789,-0.160899,0.250371,0.177348,0.0866476,-0.0980321,0.222989,0.0624395,0.0820401,-0.0837823,0.00766191,0.120443,-0.0459667,-0.00115561,0.114746,0.0351923,0.0517565,0.0795822,-0.0185646,-0.116506,0.127026,-0.320777,0.0402109,0.0234931,-0.173616,0.0481607,0.1081,0.0786481,0.0291315,0.0454212,-0.0110037,-0.0915359,0.0605638,0.0558291,0.111682,-0.170306,-0.138391,-0.0257612,0.0864572,-0.107974,0.0271059,-0.0338669,0.0285534,0.100604,0.142677,0.0368699,-0.0130168,-0.0466832,0.0114374,-0.0898216,-0.0613503,0.0714842,-0.00707145,0.0449378,0.114917,-0.113378,-0.000847213,-0.112519,-0.0626068,0.165942,-0.0749557,0.133404,-0.0332439,-0.0517759,-0.121937,-0.0443078,-0.162168
13,84.5937,-0.119548,-0.129617,0.0728826,0.26595,0.185074,-0.0450559,-0.0462226,0.134541,-0.195328,-0.188753,0.0577176,0.0535509,-0.0641565,-0.0564534,0.0428001,-0.0531003,0.011441,-0.117378,-0.0813284,0.0918038,-0.050646,0.152874,-0.109916,0.210023,0.064634,-0.071121,-0.00172817,0.0780598,-0.00824359,-0.15138,0.104105,0.116934,0.0222467,0.0311445,0.143704,-0.0938954,-0.105095,-0.0110654,-0.157677,0.121055,-0.0048618,-0.0492326,-0.0616048,0.0391699,-0.0101331,0.0593095,-0.159248,-0.0750833,-0.129582,0.110156,0.0628374,0.00976525,0.00466043,-0.0318703,0.163164,0.0205061,0.0673466,-0.180862,-0.0877657,-0.116846,0.13457,-0.00432313,-0.235158,-0.0191833,-0.0594991,0.14587,0.0583051,-0.185974,-0.0356474,0.141343,-0.0587456,-0.106079,-0.0884655,-0.0327424,0.0100704,-0.127538,0.112151,-0.0794277,0.0202426,-0.125924,0.0751896,0.0736363,-0.00844726,-0.0138418,0.156744,0.0398306,0.00328277,-0.141355,0.0867104,0.00098941,0.032372,-0.159756,0.0479335
14,-81.1875,0.0556781,0.000154731,0.236891,0.044447,0.0814417,-0.0939364,0.0903169,0.0514969,-0.00706943,0.075583,-0.165818,0.106871,0.00122233,-0.0113478,0.086472,-0.191012,0.00876404,0.0311324,-0.112308,0.0670303,0.0340788,-0.0698881,0.0833406,-0.115591,-0.0669119,-0.097648,-0.278258,-0.0179446,0.162218,0.0361803,0.0362741,0.0612278,-0.219878,-0.0784316,0.072917,-0.0448987,0.11531,0.052344,0.0497096,-0.0993895,-0.00433674,0.0615294,-0.0240341,-0.097784,-0.233532,0.0597539,-0.177012,0.0372097,-0.0997029,0.0143713,0.0697416,0.0715663,-0.0202919,0.0366069,0.113109,0.0524788,0.111543,0.0884556,0.107163,0.108501,-0.0940762,0.0926439,0.127719,0.0110174,0.136888,0.0570603,-0.0109888,0.00242059,0.0823205,-0.0267392,0.151296,-0.131372,0.0594697,0.0874973,-0.228033,0.0192008,0.221899,-0.0959583,0.0061982,0.0715937,-0.0432686,-0.00883938,-0.146648,-0.199184,-0.0769682,0.0497154,0.119951,-0.0220204,0.210718,0.0359153,-0.0858746,-0.0498956,-0.0782162
15,80.9497,-0.0459246,0.115023,0.0706512,-0.0571986,-0.0141235,-0.2809,0.00246629,-0.246094,0.165551,-0.175997,-0.0507117,0.0230163,-0.0573342,-0.0446852,-0.0799541,-0.117435,-0.214331,-0.155129,-0.0247024,0.236008,-0.104266,-0.0674561,0.0678909,-0.303731,-0.0499327,0.0238241,-0.157473,0.0365682,-0.13673,0.0392482,0.176124,0.0405727,-0.0387575,0.0551149,-0.0401107,-0.122075,0.0409181,-0.0759706,-0.162935,0.0998503,0.0754861,0.00751845,-0.109276,-0.0661753,0.13741,-0.111231,0.0364136,-0.0268019,-0.0845656,0.0951696,0.00638695,-0.133203,-0.0451449,-0.136511,-0.0561212,0.104808,0.0330485,-0.106595,-0.0486281,-0.0258619,0.0393515,0.0801314,0.0136192,-0.128143,-0.0161221,0.0406537,-0.204842,0.0409476,-0.102735,0.0770675,0.0219397,-0.00147408,-0.056927,0.0523914,0.107003,0.101534,-0.142684,0.00940488,-0.121034,-0.0309649,-0.0616303,-0.0418169,-0.0347893,0.106168,-0.0323818,-0.0459451,0.0155151,-0.128872,-0.0206413,0.137505,-0.122306,0.0211731,0.0268949
16,-77.6473,0.0382676,-0.172524,-0.100512,-0.0238867,0.0216879,0.174265,0.0184016,-0.0476776,-0.0485201,0.00503127,-0.121201,0.0965918,0.0883884,0.220794,0.082754,-0.0319622,-0.20481,0.0320335,-0.037567,-0.0415886,-0.26917,0.0574428,0.260722,0.00740131,0.00555105,0.0640993,-0.0121096,0.0829265,0.00446699,-0.0183517,-0.167692,0.0300904,-0.150116,-0.00697278,0.12461,-0.0386191,0.158945,0.0688809,-0.112941,-0.0795141,-0.0154196,0.117678,-0.15087,-0.0360424,0.0871583,-0.00788469,-0.0516212,-0.0698559,-0.0915579,-0.0145987,0.0293598,-0.0608143,0.159984,-0.00753634,-0.0607172,0.117674,-0.117627,0.283151,-0.116548,-0.0141497,-0.0115761,-0.0102395,0.0640082,0.16798,-0.111468,-0.00227075,-0.00267865,0.0387486,0.00509063,0.338465,0.0949467,-0.0982335,0.0935006,0.0234347,0.00652297,0.00474888,-0.0772934,0.0325849,-0.0498992,-0.126845,0.177704,0.0478437,0.0647008,0.0116073,0.0842227,-0.0713618,-0.0596507,0.0485651,-0.0862037,-0.0991042,0.0245981,-0.0746708,0.0525273
