Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93
0,109.578,0.247566,-0.0423637,-0.0641877,-0.0224314,-0.0288425,-0.000343434,0.221418,-0.0631087,0.113502,0.0385138,0.226243,-0.0245217,-0.0876858,0.198219,0.154634,-0.158084,-0.0547626,0.00469376,-0.0541966,-0.0246032,0.126879,0.00387734,0.171703,0.00752327,0.156504,0.0570015,0.0836562,0.130394,0.0426923,0.0131047,0.114567,-0.0453137,0.130558,0.103953,-0.0510558,0.125088,0.168609,0.0631331,-0.0889086,0.0535263,0.179806,0.143577,0.156946,0.0178309,0.0535985,0.176168,0.0437257,0.162962,-0.0335986,-0.0562414,0.0964855,-0.00884338,0.0431728,0.0207763,-0.00901281,0.0736167,0.0114029,0.140004,0.138341,-0.0428905,-0.0898158,-0.00422197,0.0257656,-0.0947763,0.0414641,0.00788164,-0.136958,-0.118785,0.0125964,0.126321,0.0475822,-0.130653,0.0651744,0.0513664,0.0283944,0.145436,0.0623123,0.0424724,-0.0800323,-0.0510594,0.00504567,0.0342898,-0.234133,-0.0195157,-0.153414,-0.0316805,-0.00484335,-0.044973,-0.138814,0.0195943,0.0197389,-0.00881568,-0.134072,-0.226021
1,-109.551,-0.0572744,0.0554489,0.0593607,-0.0517995,-0.145435,0.233996,-0.0107765,0.128011,-0.0535626,0.18523,0.0333103,0.0515881,-0.18056,-0.0807611,0.02782,-0.0149475,-0.109069,0.196131,-0.0516479,0.164293,-0.308539,0.00174484,0.114868,-0.0953999,-0.0198498,-0.00918325,-0.0667971,-0.118786,-0.0985754,0.0105249,0.137427,0.127871,-0.0482747,-0.194448,0.0703197,0.0764741,0.151474,0.152349,-0.0721437,0.00962722,0.00734933,-0.00315769,0.0478016,-0.0741572,-0.089988,0.101726,0.0397294,-0.0197494,0.0547979,0.104537,-0.119053,-0.100287,0.0156572,0.0415374,-0.0821704,0.0758312,-0.233097,0.066179,0.0380201,0.0571089,-0.073276,-0.168209,-0.0226801,0.0483773,-0.22234,0.141975,0.00763894,-0.104223,0.0119131,0.10058,-0.00156814,-0.0692052,0.0393323,0.0624598,-0.247427,-0.0224498,0.0953144,0.028476,0.0441652,-0.0550031,0.0210164,-0.0815805,0.00012666,0.149767,0.0129168,-0.0605082,-0.159097,-0.102211,0.0574532,0.0592677,-0.0782348,0.0159792,-0.0397549,0.0872451
2,104.566,0.064926,0.0484492,0.0627161,0.0568702,-0.104113,-0.0069984,-0.00527386,0.129898,-0.00782849,0.00183441,0.0199719,0.165507,0.147387,-0.0842326,-0.167165,0.0867708,-0.112642,-0.146538,0.0282614,0.151509,0.00371163,0.115351,-0.0641412,-0.258811,0.141658,0.152596,-0.0855356,-0.0319385,-0.0632823,-0.0334611,-0.00647111,-0.122941,0.0169805,-0.0455681,-0.0371051,-0.00437667,0.168671,-0.130218,-0.0157115,-0.112489,0.201749,-0.0222879,-0.122991,-0.0440884,0.163573,0.0971273,-0.165582,0.0108733,0.0507362,-0.0358606,0.0313172,0.0931101,0.136085,0.00317164,0.119911,-0.126111,0.0169615,-0.0921712,0.0582249,-0.264027,0.0984634,0.0854232,-0.0502225,0.13336,-0.0589884,0.209194,0.0815565,-0.00520341,0.135361,-0.0440019,-0.0987581,-0.00913396,-6.01112e-06,0.0668014,-0.0328155,0.0480033,-0.02175,0.0847432,-0.022331,0.0730718,0.0102949,0.264568,-0.0579051,-0.0420191,-0.182167,-0.016851,-0.000213941,-0.0401299,0.154333,0.0714257,0.0987879,-0.115206,-0.119127,0.0683157
3,-97.8988,-0.041642,0.0611942,-0.221645,0.142327,0.0448258,0.00464819,0.00865233,0.0154367,-0.106868,0.0695965,0.0570548,0.173715,0.0339534,-0.0432423,0.172872,0.0681006,-0.0591563,0.125667,-0.0906582,-0.0306513,0.0639903,0.208084,0.0464952,0.00247917,0.210976,-0.0612821,0.00986322,-0.0333407,0.0503265,-0.144293,0.144927,0.10057,0.1425,-0.0361872,0.157348,-0.163952,0.0569262,0.000709655,0.0514507,-0.0568927,0.114647,-0.0605488,0.0678376,0.0310855,0.103941,-0.142518,0.0253403,0.164054,0.102496,0.0607725,0.0401068,-0.0632455,-0.0341198,-0.118071,0.0401822,-0.0661642,-0.0926805,0.0209378,-0.0594223,0.0871735,0.0571437,-0.00798204,-0.205166,-0.0888449,-0.173445,0.0349515,0.0262816,0.0549883,-0.0363116,-0.0833135,-0.089652,0.205866,-0.115702,-0.040525,0.121321,-0.11639,-0.181392,-0.134668,0.111872,0.198621,-0.0609275,0.0221408,-0.0727717,0.0939757,0.0371588,0.232729,-0.0129464,-0.0581125,-0.122253,-0.0433295,-0.0121088,0.147495,-0.0507054,-0.130676
4,-95.1743,-0.138933,0.110338,-0.0327389,-0.0938414,0.0997205,-0.0402638,0.0863463,0.124621,-0.0603517,-0.026903,-0.0936082,-0.0395717,-0.12007,-0.100211,0.0996237,-0.139263,0.0239976,-0.0575967,-0.00197821,-0.151026,0.095519,-0.0255146,0.0394244,-0.132771,0.281145,-0.0443791,-0.151171,0.0626828,0.0638985,-0.0362847,0.0909513,0.0192211,-0.0147609,-0.135544,0.0497496,0.0760385,-0.216984,-0.0150895,-0.026943,-0.107857,-0.0351494,-0.194592,0.0590825,0.0347901,0.0295696,0.0729184,-0.0212226,-0.00180221,0.115266,-0.0125129,-0.157144,-0.102144,0.0158441,-0.00346951,-0.0757678,0.0877279,0.00729034,-0.0612213,-0.0250312,-0.0461409,-0.111973,-0.153051,0.18806,-0.0220761,0.101506,0.0927077,0.197904,-0.0347495,0.0357258,0.0513972,0.138151,0.0541955,0.0612623,0.0213829,0.115978,0.0868962,0.00425912,0.0779776,-0.253568,0.131173,0.0711179,-0.0482497,-0.0736131,-0.0156474,0.15265,0.0198163,-0.0588832,0.189898,0.145105,0.0125063,0.29696,0.0178481,-0.123667,-0.0347421
5,94.7978,-0.0271024,0.0851223,-0.113074,-0.022737,-0.202997,0.00208928,0.147319,0.0690811,0.0205049,-0.0800777,-0.0850628,-0.156884,0.188414,0.0344488,0.184084,-0.0798544,0.0655326,0.00783657,-0.0165838,0.0442848,-0.0896996,0.154158,-0.00085642,-0.138199,0.020481,0.0321946,0.227618,0.110419,0.128509,-0.00665809,0.00533042,0.0384931,0.0307944,0.0540977,-0.00268694,-0.154502,-0.000576749,-0.0498739,-0.0776908,0.100746,0.113488,-0.15889,-0.0636531,-0.0187872,-0.108456,0.0207309,-0.132669,-0.0548502,0.0285647,-0.0126109,-0.182167,0.0916423,-0.0653504,-0.0463082,0.0363563,0.0953348,0.148875,-0.0145245,-0.0347543,0.0933939,-0.142049,0.0410651,0.0315167,-0.164821,-0.0263742,-0.0136462,-0.122659,-0.11812,0.0209998,-0.0260205,-0.0897859,-0.0222952,-0.0655534,0.0281008,-0.131873,-0.181867,-0.0802994,0.0439677,-0.106401,-0.0822113,0.272727,0.073774,0.021463,-0.0403013,0.091489,0.166516,0.00516421,0.0764082,0.0563543,0.247656,-0.193161,-0.190456,0.0644522,0.0566554
6,93.0693,-0.00826308,-0.0191902,0.0115184,-0.0020061,0.0744587,-0.150927,-0.0313064,0.133381,0.118342,-0.000545387,-0.160431,-0.131388,0.0249195,0.103334,0.0642973,0.132068,-0.0277135,-0.122176,-0.0592372,0.192115,0.069642,-0.21429,-0.0494319,0.0389458,0.0945519,-0.169925,-0.0292491,0.0224052,0.00913201,-0.0686886,-0.0155065,0.010313,-0.0107063,0.145943,0.0663146,-0.0877653,-0.00361057,0.0880267,-0.13167,-0.261397,-0.0713873,-0.0290402,0.0299337,0.00952122,-0.159886,0.060027,0.00701817,0.104212,0.0746318,-0.00725197,-0.0245955,0.00910453,0.106157,0.065579,0.119933,-0.238167,-0.0245437,0.0995923,-0.052355,0.0622723,-0.110387,0.0738946,-0.106475,-0.0123551,-0.0456779,-0.00327126,0.045482,0.125058,-0.132733,0.0428082,0.0624068,0.0296515,0.0503332,-0.205667,-0.174824,0.104415,0.225715,0.06713,0.0844518,-0.0173204,-0.157088,0.156041,-0.125287,0.136162,0.0981733,0.061466,-0.0791264,0.0250527,0.0435362,0.282827,-0.043199,-0.0194415,0.0364488,-0.108816
7,-90.9581,0.0581911,-0.0905112,0.125901,0.126418,0.124559,-0.0450784,-0.0464951,-0.0137099,-0.0160796,0.244673,-0.181124,-0.217251,0.0371739,-0.0164198,0.137325,0.0542598,-0.215113,-0.0481393,-0.0368417,-0.0347812,-0.0280636,-0.040042,-0.0296803,0.0470528,-0.0364123,0.0881074,0.0527772,0.0586291,0.055051,-0.102511,-0.00751645,-0.0730069,-0.0327767,-0.130867,-0.0875339,0.0896765,0.133681,0.0574007,-0.0346794,0.12406,0.0514707,-0.024486,0.0585398,0.0827235,-0.00227943,-0.0543587,-0.0223229,0.0872889,0.147642,0.129152,-0.014872,-0.154571,-0.0979501,-0.0156687,-0.0275998,-0.124989,0.0438131,-0.16273,-0.0750795,-0.0401264,0.23775,0.0764926,0.025227,-0.0911459,0.0426283,0.0612757,0.0204999,-0.0560151,0.341417,0.0324568,0.194883,0.0335967,0.154572,0.0476684,0.155415,0.0713016,0.00497078,0.0477758,0.105336,-0.0673168,0.0995914,-0.112026,0.0386431,0.127692,0.122927,0.0890333,0.141778,-0.162827,0.0212547,0.0680749,-0.0564534,-0.164889,0.0381186,-0.0644963
8,88.8425,0.120154,0.00745947,-0.0831116,-0.325858,0.0945323,-0.131622,-0.112268,-0.0106217,0.0907522,0.0323773,0.0198514,0.0694851,-0.0926328,-0.0511831,0.0530738,-0.0594563,-0.0521969,-0.0145956,-0.0677981,0.212382,-0.0712543,0.143022,0.0784265,0.0707253,-0.0225335,0.0570957,-0.0241762,0.0166873,0.149714,-0.0494301,-0.0196717,-0.0381123,-0.0311213,0.138417,-0.155837,-0.0517605,-0.0245152,-0.0823841,-0.0527614,-0.0416397,-0.192364,-0.0823901,0.139815,-0.0269186,-0.110418,-0.00927289,-0.0410648,0.173824,0.181907,-0.103157,-0.126325,-0.0193402,0.177944,-0.155403,-0.167795,-0.123518,-0.104832,-0.0236996,0.00545146,-0.060517,0.0530459,-0.169722,0.104706,0.0189698,-0.052874,0.0154554,0.017905,0.0772779,-0.0224415,-0.0125882,-0.212488,-0.094084,-0.0299982,0.162346,0.0390692,0.0728465,-0.0283578,0.0832429,-0.0186023,-0.0901161,-0.0571634,0.0140197,0.11354,-0.231749,0.022497,0.160897,0.201699,-0.144554,-0.0659063,-0.0450893,-0.0193006,0.0505776,0.0737332,0.0945921
9,-88.626,0.0493041,-0.168152,0.139821,0.180983,0.0743057,0.0428561,-0.0184427,0.0227696,-0.142066,0.161074,-0.0613772,0.210944,-0.11707,0.0616471,-0.0731508,-0.196808,-0.048879,-0.228945,0.144044,-0.0415756,-0.0465393,0.0792936,0.129705,0.145744,-0.00632187,0.060815,-0.00257128,-0.0496496,-0.0282258,0.00872293,-0.127867,0.114114,0.00463854,0.155772,0.0785094,0.0916394,-0.0335932,0.186918,-0.194369,-0.0156384,-0.194178,-0.0794908,0.102864,-0.0985525,0.104154,-0.0149108,-0.135358,0.116745,-0.0636486,0.0308208,-0.168699,-0.090663,-0.174576,0.00810885,0.00815423,0.104469,0.0108593,0.0455733,0.11851,-0.0348829,0.0129377,0.0640513,0.0465979,-0.0244067,0.119313,0.0372152,-0.0420994,-0.0700461,-0.0416375,0.0301938,-0.134864,0.123714,0.0459991,-0.110836,-0.098369,-0.13844,-0.0803278,0.0635873,0.0606585,0.190595,-0.0716511,0.0864208,-0.0806151,-0.0714987,-0.098191,0.111731,0.0566592,0.118379,-0.0173498,0.0896478,-3.52932e-05,-0.148677,0.102481,0.0887204
