Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94
0,-109.136,0.0173689,-0.0309985,-0.0336368,-0.066497,0.0341908,0.0988074,0.0218911,-0.073861,-0.0390428,0.0163411,0.0936365,0.134277,-0.0285389,0.0613795,-0.199506,0.110801,-0.0819245,-0.010771,-0.105743,0.180507,0.0659947,0.014447,-0.216987,-0.107299,0.0432888,0.19232,-0.0242218,0.217275,0.0589583,-0.0103056,0.0712835,0.0363953,-0.013137,-0.00714709,-0.00155141,-0.085757,0.149566,-0.0150786,0.0969037,0.0462332,-0.233672,-0.0506578,0.0765396,0.048188,0.0258686,-0.0513751,-0.0356776,-0.126951,-0.0692338,0.17723,0.176008,0.0489296,-0.0861836,0.154803,0.0755221,0.0952808,-0.0718582,-0.108435,0.0736524,-0.000304078,0.181563,0.128307,-0.088376,0.33383,0.0167216,0.132739,-0.00779783,-0.176905,0.00450789,0.0142477,-0.156329,-0.0378003,-0.0518747,0.169074,-0.0543917,0.0318726,-0.0899975,0.0811225,0.0189241,-0.0861974,0.155104,0.080113,0.0374469,-0.0097108,0.012796,-0.0492845,0.0174931,-0.208745,0.065961,0.0564203,-0.0584405,0.0677125,-0.0504135,-0.123094,-0.0374282
1,105.341,-0.0270929,0.0647543,-0.100404,0.249068,-0.0611824,-0.00449235,-0.00303185,-0.150134,-0.115611,0.0575839,0.00174487,-0.127431,0.137769,0.0966703,-0.0117915,-0.00515947,-0.0630154,0.123912,0.0445783,0.00338081,0.141668,-0.0758445,0.0428527,0.129511,-0.00956081,-0.100606,0.120615,0.0985863,0.0338988,-0.0194476,-0.0166539,0.135322,-0.27174,0.0459799,-0.0106012,-0.160615,-0.18176,-0.0257184,-0.0373352,0.0971797,0.10947,0.0439791,-0.0172339,-0.019095,-0.0981127,0.11276,0.0105155,0.0312358,0.056253,0.00291505,0.084174,0.11255,0.169829,-0.184269,-0.056773,-0.167899,-0.0947593,0.0649879,0.170698,-0.0156856,0.1426,0.0781771,-0.148919,0.0244954,-0.14692,0.0310727,0.0393509,-0.0406602,0.0837961,0.0280172,0.0767427,-0.0495057,-0.00525951,-0.0899407,0.102009,0.0707938,-0.186436,0.0836295,0.0800478,-0.197972,0.015201,-0.0184712,-0.0241599,0.0290057,0.133096,-0.0736743,-0.1481,-0.141635,-0.0986044,0.0298585,-0.188848,-0.213541,-0.00352918,-0.075277,0.0636041
2,-103.715,0.0785989,-0.0978703,0.0266092,0.0437805,-0.0368126,-0.031923,-0.135415,-0.100567,0.206052,-0.054609,0.00954993,-0.119493,0.150534,-0.122028,-0.0899427,0.0446579,0.0742603,-0.0563696,-0.0152923,0.150452,0.0226584,-0.0542765,-0.106211,-0.0627514,0.086426,0.0411444,-0.138754,0.0299843,-0.0652258,0.144122,0.0597218,-0.145849,-0.0377717,-0.143422,-0.0262651,0.155489,0.203401,-0.138136,0.123893,0.146806,0.0347194,0.0418997,-0.0529954,-0.0558885,-0.135093,-0.0268541,0.0015782,-0.0252251,0.000810622,-0.165237,-0.0105164,-0.0901794,-0.0462327,-0.160071,-0.151693,-0.0286587,0.211851,-0.0117575,0.141385,-0.105634,0.0573953,0.0233826,-0.0434926,-0.147579,0.0660554,-0.0154238,-0.190519,-0.123872,0.0981682,0.0701018,0.018891,-0.0739928,-0.044354,0.0851334,0.0287202,-0.153397,-0.015151,-0.182819,-0.0695868,0.0479172,-0.112621,-0.000400697,-0.0275672,-0.0598865,0.0936083,-0.0412659,-0.149831,-0.00611444,-0.0704548,-0.0733154,0.00111898,-0.0743405,-0.301563,-0.20637,-0.00511195
3,100.273,0.0483062,0.0958871,0.0424264,-0.0911967,0.0545422,-0.133915,0.0650109,-0.00403783,-0.2064,-0.0591883,-0.0278461,0.156266,-0.0656474,-0.100966,-0.0431078,0.215172,-0.0252652,0.00322791,0.0619843,-0.118596,0.0376472,-0.138611,-0.0526618,-0.0281284,0.179396,-0.0797531,-0.0349552,-0.0338479,0.0330578,-0.0619063,-0.0930022,0.0674564,-0.125404,0.157179,-0.207114,0.0874469,-0.0225936,0.110566,0.129116,0.0113049,0.096594,0.0419065,-0.0581266,0.153892,-0.0907331,-0.062149,-0.0125214,-0.106976,0.0420972,0.0183597,0.107249,-0.113079,-0.0908435,-0.0144478,0.0649255,-0.0304037,-0.242968,-0.0855902,0.0769375,0.0745694,0.138885,-0.00617657,-0.0403402,-0.0827231,0.213481,-0.137757,-0.0171389,-0.12821,0.0345075,-0.0338278,-0.0865079,0.0190343,0.0167468,-0.0441122,0.094493,-0.0794884,0.0313845,0.0588242,-0.0715473,0.178764,-0.0521773,0.0474862,-0.299858,-0.0828171,0.0412316,-0.0152363,0.0105108,0.185798,-0.213812,-0.0956172,-0.0219156,-0.0210725,0.130973,-0.134339,-0.0985601
4,-96.682,0.0063167,-0.0325974,0.0758069,-0.0829613,0.0146344,-0.0271597,-0.18492,0.0412314,0.0566985,0.16079,-0.17754,-0.0202121,-0.058559,0.0313259,-0.169953,-0.0970459,-0.00173828,-0.0517505,-0.128795,0.0840263,-0.0249639,0.130242,0.0181126,0.112211,0.0379098,-0.079284,-0.185922,0.17078,-0.0931586,-0.0733563,-0.101625,0.00176457,-0.0401971,-0.189544,-0.137191,-0.253126,0.176991,0.140208,0.0805427,-0.0195789,-0.0531374,0.308607,-0.0723116,0.077185,-0.0302773,-0.00707999,0.128422,0.0860962,-0.105743,-0.00117851,-0.109566,-0.0131276,0.0344707,-0.0177853,-0.113691,0.110094,-0.156302,0.135606,-0.0303829,0.173015,0.0460887,0.0673428,-0.0345634,-0.0725091,0.00205985,-0.0247033,-0.00702441,0.133548,0.0108385,0.0854039,0.0236291,0.148205,0.0321967,-0.0202519,0.0991186,-0.146124,0.0577754,0.20671,-0.0358172,-0.135821,-0.0139928,0.14935,-0.062068,-0.0367008,0.0987089,0.016152,-0.032712,-0.0242336,0.0535593,-0.140293,0.0528787,0.0371234,0.0465306,0.107095,0.131696
5,-51.4624,-0.0542375,0.205918,-0.0936114,0.0606773,-0.0111456,0.038746,-0.125767,-0.163215,0.0246834,-0.0847304,-0.161453,0.045615,0.0266825,-0.0128789,0.175532,-0.0977945,0.260528,0.0487784,0.0240811,-0.0849951,0.0670189,0.162875,0.0861982,-0.174408,0.0759806,0.012551,0.000408862,0.0332971,-0.103196,0.00215451,0.0520966,0.019603,-0.0660657,0.0232665,0.102382,0.113537,0.0135212,0.0546232,0.159321,-0.0954813,0.143802,0.041183,0.0928343,-0.00323312,-0.110075,-0.0907647,-0.247018,0.207122,0.0651242,0.128689,0.129217,-0.0172727,-0.0351679,0.141581,-0.0495218,0.110327,-0.00851423,0.0952111,0.0139854,0.0281056,0.22232,-0.0120776,0.160465,-0.0071235,0.0314879,0.0491495,-0.103447,0.0434549,0.189767,0.0717309,0.0512973,0.00410605,0.0369564,0.113482,-0.121794,-0.235249,-0.150785,0.03881,-0.128842,-0.0475497,0.101886,0.00195136,0.12928,0.0607414,-0.0570353,-0.0409891,0.0598839,0.0282735,-0.0993078,0.100538,-0.0489849,0.0316873,0.114388,0.0817622,0.0471948
6,51.4362,0.0521857,0.105298,0.170807,-0.0150051,-0.035996,-0.159061,0.069766,-0.0813506,-0.0577308,-0.0992487,-0.145697,-0.0313358,0.031574,0.0818969,0.185625,0.0117927,-0.0715943,0.057695,0.00187002,-0.0177112,-0.0752526,-0.216766,0.105409,0.124331,-0.0779326,0.117167,-0.143031,0.0526339,0.216064,-0.0101064,0.184549,-0.0123704,-0.04617,-0.0384805,-0.0519145,0.0414166,0.0196168,0.0201264,0.0583006,0.0525371,-0.18636,0.0722543,-0.00316699,0.0658869,0.111895,-0.0378901,-0.0671622,0.0182607,0.0875478,-0.107426,-0.044601,0.0937579,0.210445,0.034013,-0.221047,0.10155,-0.114035,-0.00488267,-0.107528,0.081805,-0.00651181,-0.0446296,-0.192,0.0838252,-0.0169538,-0.0871403,0.0541467,0.136103,0.264401,-0.000256356,-0.0159338,-0.0483892,0.00124472,0.110622,0.0784567,-0.0320578,0.0353771,-0.165012,-0.100851,0.147245,0.178856,-0.156674,0.11817,-0.163741,-0.126466,-0.00679702,-0.0939075,-0.0935056,0.0924288,-0.0605744,0.0118473,0.0387627,0.0528768,-0.0633347,-0.077086
7,-94.4963,0.217484,0.167857,0.0913535,-0.103047,-0.213705,0.156594,-0.0659021,-0.137266,-0.113983,-0.016266,0.0594625,-0.206634,-0.0502603,-0.0248232,0.052002,0.177489,0.00645507,0.199022,-0.0728909,-0.0980061,0.0786807,0.0756371,-0.0118847,-0.0225288,0.0518371,0.00551555,0.0466958,0.0929568,-0.0133617,-0.128112,-0.0579969,-0.0386538,0.112578,0.00666539,-0.0334393,-0.110818,0.168775,-0.0513988,0.0556883,-0.113505,-0.144306,-0.0370973,0.220148,-0.0530367,0.13004,0.0996261,-0.0185849,0.0407826,0.112731,-0.0138095,0.107171,-0.151621,0.039536,-0.0233811,0.0257681,-0.220011,0.0142958,0.0840305,-0.013751,-0.115444,-0.140664,-0.00459401,0.0838554,0.0243082,0.0960364,0.176084,0.0265293,0.0920519,0.168507,0.000706806,-0.0798256,0.0875305,-0.0321357,-0.0925478,0.121323,0.014012,0.00587451,-0.120679,-0.038122,0.019675,-0.258055,0.0661418,-0.115143,0.0539257,-0.112961,-0.055723,0.0208993,-0.0520978,0.0812658,-0.0681536,-0.000576552,0.00176455,0.0704555,-0.0587618,0.179744
8,93.9468,-0.0475487,-0.0281031,0.011409,0.0296696,-0.0857045,0.0616218,0.031432,-0.111897,0.0513651,-0.168507,-0.00284216,-0.0588067,0.0419458,0.0592354,-0.0515613,0.109622,-0.091984,0.0172868,-0.117919,0.0343864,0.188075,-0.0574497,0.0556815,0.0914946,-0.224575,-0.00924013,0.0109229,-0.100457,-0.0562963,-0.271317,0.107517,-0.132061,-0.0207456,-0.0654427,-0.0139088,0.0674153,0.0613813,0.0985903,0.053696,0.273142,0.071007,-0.0117579,0.101325,0.10678,-0.151126,-0.10502,0.0256113,0.0400651,0.0120233,0.0859392,-0.0288756,-0.0585184,0.0543452,0.0556729,0.0896208,-0.0297407,-0.00545206,0.247843,0.108197,0.0720857,0.117325,0.00697348,-0.0363432,-0.141697,-0.0293502,0.138555,-0.0332927,-0.0475259,-0.0301892,-0.177908,-0.0418706,0.15537,0.107746,-0.141062,0.0156783,-0.0591879,0.18661,-0.0195815,0.113871,0.0504303,0.0602943,-0.112195,0.00695877,-0.0130387,0.0823021,0.141934,0.27886,0.00633574,0.155905,0.160415,-0.0110654,0.0905671,-0.059284,-0.0183141,-0.146191
9,89.9874,-0.16052,0.140501,-0.020697,0.031707,-0.201766,0.00825331,-0.14151,-0.10604,0.119677,-0.0306461,0.268129,0.0605367,-0.139691,0.0933244,0.0807907,0.0924278,0.0395528,0.090456,0.0484728,0.0450422,-0.0546851,-0.00862638,-0.148691,0.107157,-0.117561,0.064154,-0.0975303,0.028672,0.0621969,0.154777,0.0181604,0.188228,-0.111734,0.0298921,0.0057995,-0.0236689,0.148257,0.0830235,-0.0991509,-0.0226831,0.0509516,-0.00679672,-0.0310251,-0.185118,-0.0500214,0.154306,0.217554,0.0888278,-0.0149147,-0.0237015,-0.01086,-0.0739676,0.0614309,0.0568989,0.0816218,0.017474,-0.0815801,0.060096,0.0190949,-0.0391478,0.0846668,-0.0152549,0.104731,-2.12186e-05,0.000537184,-0.220206,0.183063,-0.109216,0.000974421,-0.00158888,-0.150782,0.195164,0.09111,0.18562,-0.0122299,0.008532,0.182091,0.0848623,-0.108716,0.04425,-0.0116001,-0.117144,0.0989638,0.0301417,-0.128835,0.00864015,-0.0271864,0.188037,-0.0438669,0.00200876,-0.102546,-0.0839423,-0.166896,0.0450038,0.0469894
10,88.0485,0.0154361,-0.151549,0.120755,0.103852,-0.294282,0.17158,-0.0762919,0.0592163,0.010369,-0.0465997,0.0860257,-0.0350333,-0.0092202,0.0721104,-0.087788,0.0376444,-0.0329333,0.00940321,0.199607,-0.0750828,-0.0791291,0.028972,-0.0450993,-0.170382,0.0249893,-0.045546,-0.146843,-0.064865,0.153102,0.0868492,0.0533575,0.0280821,-0.0275939,-0.277847,0.00421407,0.0386652,-0.0828088,-0.0662981,0.110819,-0.0828138,0.154438,0.0510323,0.0314253,0.0221315,-0.0804043,-0.0548157,-0.0364862,-0.0565042,-0.000468685,-0.0500699,0.0980227,0.113863,-0.026105,0.0645265,0.0282165,0.0253966,-0.0554482,0.0693665,0.0293161,0.148214,0.0700911,0.0546481,0.0352395,0.094448,0.121925,0.0802641,0.103011,0.215158,-0.0337522,-0.0329675,0.179804,-0.0400703,-0.0335334,-0.0328795,0.0103082,0.262163,0.081217,0.0971244,-0.111196,-0.0322699,-0.18013,0.0186484,0.0722221,-0.251568,0.0736902,-0.13151,-0.0120917,0.0671489,-0.00533832,0.19199,0.0925842,0.0410654,0.0870791,-0.110147,-0.102545
11,-87.906,0.186407,0.125848,0.0352466,-0.069969,0.0393236,-0.176139,-0.0473602,-0.0733802,0.0384887,-0.135121,0.0913721,-0.0639492,-0.0768604,0.0303825,-0.0806952,-0.214379,-0.098435,-0.0466987,0.249824,0.0241743,-0.138753,-0.0868132,0.0640949,-0.084103,0.195223,-0.0999773,0.0665171,0.128934,0.190117,0.163125,0.0390737,0.140158,-0.0661354,-0.103668,-0.196261,0.0244934,-0.092268,0.0684038,0.120458,0.0512181,-0.0971219,0.0406541,0.0864857,-0.0262996,0.0262035,0.0435124,0.0580154,-0.00341441,-0.0671372,0.0371301,-0.134033,0.170437,-0.207056,0.00726495,0.0369596,-0.148639,-0.00231753,0.146716,-0.0133918,0.0108591,-0.0242059,0.0184832,-0.00511862,-0.0186338,0.0242269,0.141332,-0.0295883,-0.00195669,-0.0935524,-0.0435895,0.0096899,0.102761,0.178125,0.0364911,0.0515495,-0.110439,-0.116706,-0.0603337,0.106865,0.0618427,-0.0481867,-0.117179,0.0452616,0.292852,-0.0253222,0.0651684,0.113982,-0.0701264,-0.0691341,0.113946,0.0502986,0.120687,-0.0925426,0.0142826,0.00584374
12,86.2905,-0.157932,-0.153371,0.0923249,0.0316663,0.0999867,-0.116361,-0.207261,-0.24128,-0.0842287,0.00412561,-0.0259115,0.0265481,0.0243367,0.10786,0.18412,0.0958816,-0.236768,0.0482957,-0.095008,0.0606382,-0.0720995,0.0879337,0.0750794,-0.00687372,0.0178053,0.000806766,0.100374,0.04953,-0.137519,0.0554348,-0.175869,-0.0654899,0.110813,0.200772,-0.146519,0.11175,-0.133719,-0.115765,0.0487893,-0.232715,-0.109564,-0.00730575,-0.131994,-0.125434,-0.0546264,-0.0571536,0.0711983,-0.00119739,-0.183724,-0.016329,0.0788372,-0.0132797,-0.0883614,0.0272315,-0.0573207,-0.0180415,0.0760139,0.0760843,0.00177433,0.0941636,-0.0838324,0.114561,0.0273335,0.115079,-0.00992805,-0.131674,-0.0666478,0.0242246,0.101569,0.0547494,-0.0181142,0.143172,0.239345,-0.108273,-0.00464157,-0.0176904,-0.0467732,-0.0269118,-0.019268,-0.0683074,-0.115946,-0.0184445,0.084774,-0.122999,0.0637198,0.0251656,0.0585634,-0.0265931,0.090312,0.115021,-0.0252559,-0.0180037,-0.00676757,-0.161686,-0.168273
13,-83.2056,-0.0542868,-0.0400041,-0.15279,-0.0621146,0.127082,-0.136115,-0.148495,0.0883989,-0.135419,0.0397358,-0.0387276,-0.0703727,-0.0444745,0.128743,0.0610075,-0.0771201,0.125163,0.0473576,0.127754,0.0283042,0.187003,-0.0850211,-0.103989,0.0202841,-0.148514,-0.0429294,0.109323,0.0687229,0.0640183,-0.15053,0.113596,-0.157274,0.0869443,0.00181039,-0.0669689,-0.02729,0.114614,-0.162516,0.0281381,0.208616,-0.0224939,0.0271388,0.105842,-0.0481217,0.0922974,0.167973,0.109119,0.0104252,-0.0574235,0.0462289,0.151768,-0.122398,-0.142774,-0.0737381,-0.0519228,0.121375,-0.0482899,-0.0779567,-0.0993305,-0.120952,0.0195267,-0.0968558,-0.00600336,0.0435507,-0.0536608,0.0464368,-0.0415866,0.19436,-0.174619,0.0669722,0.14369,0.0880924,0.096553,0.190924,0.152527,0.00191653,-0.0854917,0.0182447,-0.0936135,-0.0770096,-0.0611277,-0.076197,-0.0744162,-0.150004,-0.0855098,0.0218203,0.0670196,0.0848851,-0.181938,0.133107,0.118465,-0.148027,0.0380649,-0.0143169,-0.139427
