Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95
0,111.924,0.11159,0.104451,-0.131568,0.0413614,0.121332,-0.157001,0.158763,-0.10265,-0.0500707,0.156305,-0.041546,0.0819056,0.0153741,-0.0748302,-0.0970991,-0.13833,0.0797641,0.0140107,-0.101851,0.120041,-0.00128564,-0.0984031,-0.232036,-0.0947713,-0.134309,0.0569912,-0.0167618,0.151777,-0.100844,0.0572681,-0.0783854,0.0250801,-0.0388551,0.126368,-0.174061,0.0457222,-0.0681248,-0.0629933,-0.0189153,0.111393,-0.0479919,-0.0837106,-0.0534212,0.158159,0.165792,-0.10182,-0.064476,0.159542,-0.071237,0.0967607,0.0750291,0.0531067,0.103686,0.135444,0.0184584,-0.07889,0.0698886,-0.0690399,0.191898,0.00850133,-0.0966537,0.0128694,-0.0456214,0.124687,0.151074,0.0631399,-0.03217,0.0680469,-0.090589,-0.167987,-0.130266,0.015744,-0.0791266,-0.0815,0.16251,0.283951,-0.156667,-0.0664124,0.0261699,0.0400628,-0.0495607,-0.129084,0.106804,-0.049781,0.144801,0.00142706,-0.0696588,-0.0278375,-0.0245617,-0.0676135,-0.0441824,0.046342,0.114118,0.0361526,0.0156833,0.123222
1,-105.749,0.270548,-0.00566793,0.0841099,-0.158825,0.257043,-0.071397,-0.139217,0.0584579,-0.0055264,-0.109098,0.0983406,0.0678462,0.0605038,-0.0664005,0.0378416,-0.041651,0.0472964,-0.142092,-0.057025,0.00730247,0.0218363,-0.0752236,-0.14091,0.0728521,0.00770426,0.156747,-0.0263539,-0.0313562,0.0426343,0.0439008,0.0806426,-0.176315,-0.103677,-0.0314805,0.0515896,-0.0813968,-0.109102,-0.0364692,0.250105,0.0305307,0.0526241,-0.0202233,0.0658218,0.131025,-0.0707452,-0.0520805,-0.0717083,-0.149787,0.260602,0.0683938,-0.0752483,-0.0727054,-0.000531156,-0.0952785,-0.0760044,-0.10026,0.0249422,0.0268754,-0.0334949,-0.12856,0.00272792,-0.062098,0.0994612,0.0517613,0.0356904,-0.110182,0.131115,-0.249417,-0.0406468,-0.0147811,-0.0572601,0.117997,0.0874981,-0.0704516,-0.0772819,0.0133154,-0.103193,0.0978525,-0.0219648,-0.146192,0.0803524,0.11978,-0.0385254,-0.0806591,0.0688362,-0.122882,-0.0498277,-0.0528158,-0.184388,-0.0932665,0.188603,0.120234,0.091045,-0.0535122,0.0770211,-0.0185899
2,104.271,-0.0453967,0.00362794,-0.194712,-0.0354725,-0.00713523,-0.00748591,0.0889675,0.0060642,0.079668,-0.123848,-0.0156063,-0.00695869,-0.0104707,0.0781071,0.00328804,0.163242,-0.0435404,0.104983,-0.132484,-0.232784,-0.132179,-0.0179767,0.220513,-0.15702,-0.0348449,0.210229,0.0392425,0.0968867,-0.0272794,-0.0788028,0.157749,0.0813261,0.0316308,-0.0902055,-0.0178402,-0.104974,-0.0862426,-0.102217,0.0882913,0.133964,-0.0602348,-0.0736986,0.0555049,0.0155475,-0.145422,0.0772072,-0.0138698,-0.025953,0.0955739,0.0721363,-0.043905,0.203348,0.17098,-0.0229201,-0.12894,-0.109488,0.133203,-0.0240919,0.0166125,-0.0216624,-0.0334987,-0.121596,0.0138266,0.178647,-0.0938381,0.0901846,-0.211892,0.0189127,-0.0500721,-0.104424,-0.0630597,-0.0467567,-0.0607315,-0.00255498,-0.12989,0.0817918,0.192435,-0.11379,0.186837,0.0346864,0.0872826,0.113542,-0.138496,-0.0785935,0.146314,0.0460004,0.153204,-0.0222026,0.0437392,-0.0500999,0.0136699,-0.133071,0.0848594,-0.125436,-0.0637177,-0.00307856
3,99.0125,-0.0122562,0.0242871,0.00810915,0.0358181,0.105576,0.00371501,0.0639564,0.0235999,-0.0830509,0.0369245,0.0016911,-0.0691237,0.090257,-0.0426976,0.0161172,0.0254253,0.113232,-0.278838,-0.0702406,0.117152,-0.1984,0.0218609,0.137514,-0.0386492,-0.181917,0.00742539,0.0348584,0.115257,-0.0652636,-0.0779907,0.0512128,-0.011189,0.0702935,-0.0646252,-0.255142,-0.252357,0.0415335,0.0910041,-0.100109,0.0397498,-0.0340717,0.00509373,0.0262007,0.0860631,0.0702434,0.0606711,0.00575496,-0.0465438,-0.022169,0.0692539,-0.119459,-0.0618635,0.130193,0.171371,-0.279703,0.0854527,-0.0920107,-0.12926,-0.173417,-0.0894369,0.222729,-0.0657308,-0.0260669,-0.0459053,0.154776,-0.000417739,0.0732738,0.102616,0.072204,0.144675,0.0375849,-0.0906363,0.120121,-0.195708,0.0419912,-0.0950011,-0.0558314,0.0863733,0.040211,-0.0978631,-0.0565107,-0.00759027,0.110474,0.0839446,0.033252,-0.00153277,0.126376,-0.0376349,0.0389345,0.192268,0.0605883,-0.116569,-0.0449885,0.0138588,0.0294196,-0.111494
4,-98.4331,0.139086,0.163358,0.0561013,0.129587,-0.138713,0.149743,-0.0407964,-0.0863051,0.267681,0.0262271,-0.120375,-0.193902,0.111337,-0.0889109,0.132505,-0.0809489,0.149671,-0.00355381,0.0553757,0.132475,0.00874168,0.0713312,0.000367848,-0.0434915,0.0328333,-0.0065331,0.0483851,-0.055651,-0.0758572,-0.0420313,0.0450009,0.121009,-0.119488,-0.000446601,-0.146667,0.0316017,-0.00687226,-0.0668966,-0.108366,0.153704,-0.0821969,0.0452696,0.0425451,0.195966,-0.0315979,-0.00876038,-0.0234797,0.0365444,-0.0169026,0.256192,-0.146416,0.0316251,-0.198821,-0.126145,0.141618,-0.0996267,-0.0305156,-0.177049,-0.0624994,0.0612983,-0.106965,-0.166995,0.150116,-0.0102042,0.026838,0.126823,0.123548,-0.0603738,-0.161066,0.139096,0.0493102,-0.0151739,-0.000551687,-0.0312923,0.0337511,-0.0719809,-0.0261515,-0.0627421,0.15383,0.0848934,0.0830441,0.0834073,-0.154628,0.0171502,-0.119781,0.0694935,-0.0723315,0.113361,-0.0342113,-0.0697651,-0.0487006,0.0263852,-0.0591712,-0.108065,-0.000799767,-0.056304
5,96.595,-0.119356,-0.195681,-0.0750878,0.00369382,0.0207879,0.147533,-0.0327489,-0.102031,-0.0699113,-0.0793462,-0.188801,-0.0438742,-0.0974856,0.0740601,0.00772942,0.0247237,-0.103417,0.0547456,0.0182106,-0.0850813,0.0990643,-0.123114,-0.100989,-0.056831,-0.215233,0.0280254,0.118976,-0.0209236,0.0378196,0.00851719,-0.0440584,-0.0284931,0.114878,-0.1213,-0.107348,0.0843337,-0.0486065,0.180659,-0.0854777,0.0891864,0.177765,0.261228,-0.253439,0.0534333,-0.129702,-0.14465,0.136122,-0.0135865,0.0679278,0.205588,0.0164308,0.140381,-0.133511,-0.0687199,-0.0498596,0.0913627,0.0168971,0.0488027,0.0329777,-0.177756,0.04081,-0.192061,-0.119201,0.147939,0.0405255,-0.0134679,0.167743,0.0157329,0.0693562,0.0307138,-0.0214708,0.0460683,0.086153,0.122571,-0.0945776,-0.0156176,-0.102979,-0.119203,0.035632,0.113358,0.08266,-0.0764525,0.116802,0.0222173,0.0726511,0.0243158,-0.00981126,-0.0663543,-0.150819,0.0349585,0.0387907,0.063531,-0.0747242,0.0574701,0.0476766,0.0263997
6,-96.4689,-0.0463794,-0.0323011,0.128738,-0.0498463,0.035163,-0.0133376,-0.13229,-0.0123491,-0.203669,-0.130836,0.0540249,-0.0482366,-0.0353737,-0.159099,0.00752464,-0.00448224,0.132739,-0.0329219,-0.129473,-0.11666,0.0506414,0.0589358,-0.0775793,-0.0896457,-0.0743902,-0.15728,0.0455821,-0.0297034,-0.0440308,0.165624,-0.0150752,-0.00683138,0.0860787,-0.051726,-0.151368,-0.050629,0.252314,0.181797,-0.138541,-0.0212923,-0.185714,0.050766,0.136521,-0.0700348,0.0159159,0.159145,0.110553,-0.0154162,0.135181,0.038224,0.136946,-0.0513807,-0.0156403,-0.119233,0.0313257,-0.0246672,-0.215643,0.149044,0.0388426,0.0986293,-0.0720393,-0.0217546,0.114311,0.0267193,-0.0647935,-0.0222348,0.0101133,0.100269,-0.0926091,-0.0434234,0.0914511,-0.0484336,0.0428519,-0.00829821,0.103493,0.149868,0.0488795,-0.159234,0.152985,-0.127567,0.177532,0.0520483,0.0471176,-0.205127,0.0684406,-0.212733,0.06456,0.0707654,0.0298111,-0.154242,-0.110853,-0.0725293,0.0113928,0.000296085,0.0701398,0.0746267
7,92.629,-0.0145319,-0.146195,-0.00429153,-0.200146,-0.0722273,-0.0880489,0.0397318,-0.195735,-0.0104823,-0.0786662,-0.0491671,0.148303,0.0158471,-0.165845,0.111836,-0.0299703,0.03846,0.00796241,-0.0968034,0.10605,0.0849776,0.0428956,0.171425,-0.216452,0.0636589,0.194385,-0.164449,-0.122741,-0.143886,-0.0410242,-0.0308512,-0.102476,-0.0252435,-0.122293,0.020272,0.15657,0.0237358,0.0401611,-0.112282,-0.0264978,0.0882167,0.00735451,-0.0391745,-0.0509121,0.012514,0.0212615,0.0295936,0.0703725,-0.0468327,0.0354067,0.0701498,0.0051921,0.039858,-0.0349638,-0.00242908,-0.0391351,-0.0716196,-0.11419,0.16586,-0.0789274,-0.025319,0.128819,-0.00682237,0.0143785,0.134917,-0.0544094,-0.00895888,0.0242719,-0.19572,0.142278,0.178873,0.0835807,-0.114842,-0.114808,-0.130356,0.0650185,-0.0206217,0.0531352,-0.00486039,-0.0767415,0.127428,-0.0180797,-0.144196,0.0188233,-0.037492,-0.0262157,0.0512453,-0.0631629,0.136497,0.0638841,0.168567,0.0882277,-0.032164,0.278616,-0.205587,-0.171597
8,-92.4416,0.105312,0.0233101,0.127853,-0.169378,0.0632298,-0.0465314,-0.00259598,0.00394707,0.0401128,-0.0451198,0.107439,0.0725981,0.0246347,0.00539039,0.00865593,-0.0819373,0.103141,0.302633,0.108226,-0.136127,-0.0976029,0.105644,-0.00482951,0.0154239,-0.0102399,-0.193235,-0.0249001,-0.0474434,-0.166178,0.0776094,-0.00850178,0.0691702,0.149848,0.0597579,-0.0327762,-0.0382295,0.0368368,-0.026077,-0.113448,0.0868115,0.0551704,0.0693942,-0.0233122,0.126174,-0.205093,-0.150548,0.119317,-0.0428005,-0.000626451,-0.130845,0.00647504,0.0304039,-0.0074966,-0.0949998,0.0270274,-0.00452156,0.126741,-0.0642151,-0.0568298,-0.283034,0.0928067,0.0507688,-0.0165191,-0.00593713,0.155181,-0.076169,-0.0630062,0.0387991,-0.185241,-0.0138706,0.00785469,0.168497,0.16784,-0.190049,0.0087536,0.146391,0.221898,0.0612496,-0.0741909,0.0495056,-0.174508,-0.099621,0.028246,0.0830704,-0.0660724,0.0699013,0.0319936,0.0493351,0.117494,-0.0881956,-0.0132634,-0.089805,-0.0660503,-0.108289,0.161096,-0.0161312
9,-90.1978,-0.0174918,-0.201656,0.00790975,0.0515766,-0.0100487,-0.100424,-0.141951,0.0333135,0.0554262,0.1661,0.0212778,0.0451313,-0.0781636,0.0354764,0.0984162,0.0710768,-0.0075285,-0.0282199,0.0332945,0.0199803,0.101389,0.0646166,-0.0443257,-0.152444,-0.0424496,0.107939,-0.0349579,0.0538713,-0.163033,0.0482528,-0.096136,0.0456811,-0.0542487,0.142356,-0.074139,-0.051949,0.044534,-0.174253,0.0776513,-0.0427156,-0.0611388,0.103287,0.0964741,0.135158,-0.0809982,-0.135274,0.15353,0.00101724,0.0789923,-0.0377908,0.221925,0.036324,0.046202,0.159053,0.161365,0.107397,-0.0139053,0.0188253,-0.146775,0.159781,0.0941421,-0.0337084,-0.0578015,-0.0441006,-0.00595095,0.0128522,-0.0563283,-0.0558936,0.132046,0.14097,0.237922,-0.00539013,0.0523895,-0.0316909,0.0847915,0.00579349,0.0638508,0.103434,0.0411693,0.220761,0.0751096,0.0660517,-0.202096,0.0675012,0.19651,-0.0883581,-0.0999592,-0.0727919,-0.0439555,0.0304448,0.235678,-0.133627,-0.0307831,-0.0312134,0.0284332,0.221078
