Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95,Eigenvector_96
0,108.091,0.0392614,-0.11783,0.0665291,0.179431,0.0442575,0.0475242,0.00730308,-0.109644,-0.0670141,-0.0472549,-0.01433,0.159117,-0.169473,0.00405401,0.0916725,-0.104584,-0.0214047,-0.193194,0.016702,-0.148779,0.0561537,-0.00138999,0.0365547,-0.0621069,0.0658114,-0.0657626,0.0387525,-0.0451299,-0.0287287,-0.108218,-0.0671136,0.0158447,-0.099219,-0.0245224,0.023739,-0.037313,0.0641269,0.21573,0.0190214,0.091978,0.038456,-0.00416608,-0.0249573,-0.0357475,-0.0992069,-0.0939685,0.146992,-0.0534309,0.119296,0.060561,0.0763573,0.00400651,-0.0727636,0.0894748,-0.102338,0.00609111,0.0501114,-0.041464,0.188954,0.0439079,-0.101347,-0.0563029,-0.121233,-0.152114,-0.176948,0.00136223,-0.0301132,0.180896,-0.049746,0.0948238,0.14805,-0.257827,0.212182,0.250817,0.226314,0.0839414,0.181937,-0.012824,0.064311,-0.0681362,-0.0904949,-0.027055,0.0577241,0.19971,-0.0384894,0.039552,-0.107698,-0.0588928,0.0184864,0.0664503,-0.0418821,0.163364,-0.0728265,0.0715764,0.064534,0.0352967,0.0432847
1,-106.034,0.206334,0.293747,0.0695554,-0.0681208,0.19092,0.0183139,-0.0746554,0.0680656,-0.0196103,0.113453,0.079105,0.0312014,0.166738,-0.119988,0.104466,0.10794,-0.0518968,0.0251696,0.0820599,0.0982027,-0.0581252,-0.00720588,0.02181,0.101726,0.158832,-0.000336978,-0.0658085,0.0689177,-0.0308094,-0.167882,-0.110061,-0.180093,-0.239476,-0.161418,-0.119675,-0.193654,-0.00697582,0.153773,0.072444,0.0449299,-0.0088569,-0.16911,-0.033982,0.0529653,-0.0471961,-0.111256,0.000195617,0.0393495,0.0907449,0.010103,0.0494156,0.136342,-0.0484384,0.0144935,-0.156835,0.0525811,-0.0873005,0.144334,0.073763,-0.00945942,-0.0787556,0.0595764,0.0902521,0.127103,0.0790441,-0.0745896,0.00673351,0.0585492,0.0317663,0.03203,-0.0798228,-0.0358428,-0.175617,-0.0463451,0.0237952,0.0173229,0.0276991,-0.0105933,0.181046,0.0823776,-0.0734548,-0.0463267,0.0640623,0.109884,-0.0335442,0.0168749,0.122633,0.103037,-0.00980995,0.119416,0.0194783,-0.105715,0.187451,0.123508,0.071041,-0.0501306,-0.106035
2,103.61,-0.0381705,0.0887469,0.0622265,0.167301,-0.230626,-0.131254,0.143307,-0.00853233,0.00860841,0.176298,0.090265,-0.00202357,-0.0723832,0.0501385,-0.246306,0.0376996,-0.0862466,0.0781694,0.0725725,0.154758,-0.0850458,-0.0201996,0.0610837,-0.0740491,-0.141669,-0.0289737,-0.103417,0.0723957,-0.00420217,0.144645,-0.0282461,-0.262105,-0.0868285,-0.0579662,0.0156816,0.0345258,0.0205958,0.0595728,-0.0863352,0.0284567,-0.0525174,-0.0567277,-0.0175284,-0.0113872,-0.164477,0.09575,-0.0376018,0.17114,0.161393,0.0481322,-0.0477225,0.121152,-0.132581,0.168481,0.11994,0.0616845,-0.0275577,-0.0476474,-0.0393174,0.0581026,-0.0826534,0.208862,-0.234805,-0.0227737,0.108939,0.0592831,0.149346,0.0282682,0.0980308,0.0570016,-7.46332e-05,0.0436375,0.169777,-0.0821727,0.0585082,0.0892384,0.0148151,0.0199949,0.0328071,0.227814,-0.0573255,-0.12214,-0.0617866,-0.0248478,-0.1388,-0.0584219,-0.0813993,-0.0286197,0.0284044,-0.0592153,0.0270994,0.101882,0.0475285,-0.090764,-0.0949293,0.0302418,0.0886838
3,-103.396,0.0553457,0.0904527,-0.0587284,0.0351765,0.023495,-0.0422719,-0.0237403,-0.107113,0.0114998,-0.237197,-0.0164646,-0.0743304,0.0348766,-0.0783917,-0.0901781,-0.156453,0.0447547,-0.114771,0.0339074,0.170712,0.0991256,-0.104818,0.174077,0.251908,0.155918,-0.0480235,0.147159,0.0757861,-0.0597201,0.0751282,-0.0162434,0.0555458,-0.106154,-0.0783681,-0.0305517,0.116751,0.0668312,-0.0992781,-0.182708,-0.14853,-0.0303581,-0.0106709,0.135933,-0.157706,0.0211703,-0.0109132,-0.191442,-0.103726,-0.106138,-0.00731461,0.0465039,-0.0153431,-0.0497209,0.127387,-0.0949736,-0.0528137,-0.126698,-0.186045,-0.152987,-0.0816435,-0.103023,-0.0541599,-0.0377892,-0.00120974,0.147043,0.0438982,0.083588,0.0255069,-0.0902416,0.101014,0.00234176,-0.0968184,-0.000440699,-0.0477812,0.087769,0.00270494,0.0974075,-0.0510516,0.0275042,0.105665,0.0135709,-0.0759774,0.0934139,0.015467,-0.0796152,-0.0187336,0.242387,-0.140441,-0.023621,-0.16356,-0.0858464,-0.0966295,-0.186997,0.0377418,0.143241,0.100041,0.0541319
4,99.8396,-0.0254367,-0.0771487,0.00777999,0.0367777,0.17715,0.0259488,-0.0381257,0.0339922,-0.231892,-0.148618,-0.0873716,-0.118992,-0.0582507,-0.0148152,0.0308623,0.0485346,0.0532026,-0.122124,-0.0882964,0.196042,0.052927,0.0688315,0.0192718,-0.132068,-0.22997,-0.190651,0.00345835,0.080868,-0.00640015,0.124582,-0.100974,0.0318158,-0.00873811,0.0585776,0.0708947,-0.11785,0.044917,0.0474426,0.0618084,0.0553437,0.0866813,-0.0688669,-0.0320572,-0.128723,-0.139542,0.111427,0.0569106,-0.00218167,0.0285876,0.142347,-0.101982,-0.0153677,0.113873,-0.0815907,0.0857446,0.0708612,-0.272431,-0.0872575,0.111203,-0.170162,-0.0958068,0.158741,0.00272611,0.0658996,-0.099806,-0.0459967,-0.10566,-0.0812344,0.0990483,0.141021,0.0830835,-0.116191,0.0042082,-0.0120261,0.0851438,-0.0759768,-0.130977,-0.0156256,-0.109624,-0.00604629,-0.068486,0.0122355,-0.0315236,-0.09443,-0.0046941,-0.0822076,0.129028,0.0741232,0.0101609,0.0807783,-0.208255,-0.265177,0.0885702,-0.0955481,-0.0253497,-0.0996564,0.0509531
5,-97.2593,-0.0819987,0.153751,0.0394413,0.0647185,-0.0486882,0.104289,-0.115526,-0.100392,0.0929709,0.066697,0.317962,0.148458,0.0508317,-0.0753318,-0.0996273,0.0697652,0.0474957,0.01433,0.145875,-0.0364503,0.201176,0.164428,-0.0688941,-0.154269,-0.0632708,0.0210554,0.0139577,0.156004,0.0192416,0.113874,-0.103537,0.030411,0.171688,0.148551,-0.104309,0.0281308,-0.0450222,-0.0814207,-0.0261007,0.0425758,0.00670433,-0.0959973,-0.0585826,-0.101486,-0.154236,-0.0668223,-0.0743648,-0.0592066,-0.0335246,0.0920294,-0.0825019,-0.129843,0.130456,0.0937836,-0.0522057,0.139248,0.0784645,-0.0197065,-0.0615268,-0.114511,0.0223697,-0.174326,-0.0443451,-0.0179027,0.137003,-0.176969,-0.0307757,0.0515692,0.0364959,0.0020236,-0.052039,0.00190246,-0.000198706,0.0275179,0.125162,-0.146867,0.159356,0.192126,0.0514935,-0.0288553,0.115778,0.151416,0.0771692,0.0595921,0.000927324,0.0125155,0.0510225,0.0411472,0.104491,0.0590789,0.0887362,-0.0881981,-0.0216775,0.135056,-0.077543,-0.121509,0.197566
6,-95.8936,-0.0763885,-0.069275,-0.102241,0.0689951,0.0912372,-0.105856,0.127202,-0.119289,0.130353,0.0228488,0.0471538,0.0233722,0.0142615,-0.100513,0.157424,0.219143,-0.0509136,-0.0481054,0.0106475,0.0779152,-0.0832925,-0.0420635,-0.0225899,-0.0994286,-0.0656952,0.0254929,0.0603912,0.0403596,0.163173,-0.0653243,-0.184708,0.150722,-0.034768,0.140307,0.230029,-0.0276347,-0.0833806,-0.11961,-0.113934,0.0956617,0.227869,-0.0401429,0.0953996,0.213791,-0.0810355,-0.034897,-0.0256343,0.0144306,-0.189613,-0.019585,0.0636867,0.0189691,-0.0242135,-0.0194102,-0.166585,-0.0701391,-0.126144,-0.0463564,0.163879,0.104275,-0.16912,0.0730969,-0.012662,-0.129701,0.0647123,0.167224,0.0206984,0.116653,0.0298028,-0.024314,-0.0903346,0.056658,0.0215951,-0.176613,-0.0630362,0.0547921,-0.0408629,0.261213,0.000170582,-0.0201322,-0.0983501,-0.0769703,0.0816947,-0.00049825,0.115144,0.158553,0.100617,-0.146435,-0.00107976,-0.0803527,0.0554956,0.0421592,0.0313574,0.0298472,-0.0158435,-0.0408673,0.0356191
7,-94.4656,0.11973,0.0130515,0.170568,0.0387758,0.0239995,0.0296591,-0.114175,-0.0589208,0.0111893,-0.0513948,-0.050005,0.049377,-0.00782927,-0.00103768,0.00370932,0.0788549,-0.0108184,-0.0729494,-0.179607,0.026108,0.0870003,-0.0252447,-0.0251442,0.104844,-0.0203639,-0.0206461,0.0576451,-0.0252138,-0.0255824,0.0188527,0.167346,-0.0673671,0.0155295,-0.044997,-0.0287939,-0.0423666,0.234845,0.183244,-0.0577018,-0.0763084,0.0434007,0.0135399,-0.000162537,0.12895,-0.13209,-0.0782308,0.00321201,0.148927,-0.218724,0.166153,-0.194968,0.124212,0.215787,-0.0271187,-0.0951877,-0.101672,0.0561689,-0.114328,-0.108884,0.133339,0.158822,0.10823,0.027862,-0.0492424,-0.0784811,-0.0178887,-0.0710132,0.107353,-0.0646404,0.0984767,-0.125945,0.243746,0.155558,0.0584806,-0.124096,0.227857,0.108248,0.0612731,-0.11949,0.0825779,0.130301,-0.0197722,0.0823914,0.0200832,0.0594845,0.0152041,0.0885381,0.15087,-0.179723,0.0471187,0.0762008,-0.0228476,-0.0295166,-0.0448547,-0.0435911,-0.098307,0.140108
8,94.3703,-0.0634402,0.00503267,0.0642885,0.0219548,0.066224,0.0168062,0.157255,0.0793526,-0.0272077,-0.119688,0.0646677,-0.201089,0.0159974,-0.0471508,0.0431217,-0.115979,0.0112802,-0.240139,-0.0806657,-0.00064297,-0.123163,0.0151183,-0.0430941,0.0561182,0.0326115,0.0190582,0.124075,0.14715,-0.0761283,0.0440952,0.00319162,0.0894828,-0.154011,0.000255548,-0.0728938,0.113389,0.241062,-0.017467,-0.0791806,0.0373169,-0.0771439,-0.112143,-0.0518039,0.0521146,-0.00818845,0.0518599,0.125807,-0.0675461,-0.12874,0.273896,0.0435196,0.22421,-0.104963,0.0102043,0.0522898,0.0900501,0.288174,0.164541,-0.0053898,-0.0197381,0.0943535,-0.100103,-0.107964,0.129891,0.0766321,0.127362,0.0876244,0.136305,-0.00941689,-0.0282078,-0.075341,-0.0672783,-0.0586043,-0.0177755,-0.0705494,-0.105862,-0.0731817,0.141185,-0.0551822,-0.0783569,-0.031601,0.10729,-0.0952793,-0.0441074,-0.019117,0.0923935,-0.0140568,0.0313676,0.179563,-0.00885184,-0.0778589,0.0489206,0.0910048,0.00918017,-0.251739,0.00250326,-0.0222533
9,93.188,0.0534126,-0.0139464,-0.11815,-0.00711518,0.052152,-0.146294,0.0234992,-0.164899,0.0322394,-0.161485,0.044426,-0.0286833,0.0147189,-0.215766,0.123092,-0.0168005,-0.189931,0.142801,-0.132818,-0.0385418,0.127553,0.225989,0.171703,0.0585559,-0.0289886,-0.0201247,0.04635,0.0990597,0.178484,-0.128552,-0.150228,-0.184949,0.00703904,0.0208124,-0.189728,0.0459221,-0.0931286,-0.0457732,0.144972,-0.0947054,-0.0702775,0.106446,0.138231,0.112396,-0.00131325,-0.0557871,-0.10119,-0.0435242,-0.0149866,0.0658258,-0.204699,0.0219763,0.01192,0.169921,0.0433797,0.207627,0.107419,-0.0402015,-0.00140179,0.0768584,0.0630315,0.0334542,-0.0846296,-0.147717,-0.00438994,0.0864414,-0.144854,0.0631468,0.0288563,-0.103036,-0.0968343,-0.0833059,0.00396607,0.0754736,-0.0370661,-0.0305156,-0.111965,-0.094692,-0.143356,-0.0317965,-0.0412526,-0.0143722,-0.054814,0.0243038,0.0541753,-0.254408,-0.0648553,-0.0272852,0.0201955,-0.0329213,-0.0863931,0.0524326,0.10456,-0.0648349,0.0568982,-0.0385051,-0.0841541
