Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95,Eigenvector_96,Eigenvector_97
0,-113.589,0.119639,-0.0757392,0.112985,-0.0846911,0.0662103,-0.0446241,0.109743,0.118168,-0.0812017,-0.127345,-0.00201096,0.0259594,-0.0987967,-0.214451,0.196452,0.2071,0.14127,-0.0245891,-0.0505052,-0.0118845,0.0930916,-0.085211,0.140451,-0.0200575,0.0416137,0.00848573,-0.0507233,-0.0812447,-0.0180459,-0.159073,0.160401,-0.0492392,0.132569,0.0691976,-0.00216568,0.106005,-0.0201699,-0.001942,0.0994435,0.0651369,-0.0239702,0.0493414,0.0267207,0.00567292,0.00100083,0.146967,-0.0696472,0.107859,0.0684949,-0.0611765,-0.0253685,-0.174031,-0.0593159,0.0148656,0.0159079,0.161516,-0.00416219,0.0132705,0.00879965,0.159229,-0.139839,0.0298775,0.0471541,0.164746,0.0948287,-0.0753185,0.0411125,0.000159742,-0.014104,-0.0902216,0.00350945,0.159926,-0.149904,-0.0182257,0.0168204,0.0723828,-0.072823,0.0257766,0.0549079,0.0445527,-0.167173,-0.146221,-0.268458,-0.0186092,0.0351805,0.133526,0.103211,0.0941482,0.227366,0.107172,0.174285,-0.0407682,0.142507,0.0649076,-0.128914,0.00647829,-0.128291,0.0721629
1,110.157,0.122113,0.0541851,-0.0874608,0.0379421,-0.0683137,0.0254847,0.107423,0.146523,-0.11751,-0.130657,-0.053044,0.0431884,0.015185,0.0176722,-0.0943232,-0.0166763,-0.182482,-0.136313,0.0646049,0.136067,0.0523947,0.0234922,-0.105871,0.15053,0.070051,0.0222607,0.219582,0.186541,-0.0920291,0.0295211,-0.0452617,-0.124997,0.207674,0.114439,0.0261654,-0.00262023,0.0723597,0.106288,-0.0816625,-0.163725,0.0143306,0.169298,-0.269074,0.167609,0.0930912,0.0573223,-0.0786642,0.0640271,-0.141517,-0.0143099,-0.00194259,0.0653613,-0.109869,0.00911666,0.14331,-0.0394649,-0.0114162,-0.0403754,0.0424873,0.0348722,-0.108062,0.0144099,0.167255,-0.0273865,0.0981944,-0.129809,0.206466,0.0874926,0.0131055,0.00813171,-0.125199,-0.064742,-0.142399,0.122318,-0.012351,0.00254586,0.0524343,0.0712685,0.125145,-0.121619,0.0728203,-0.0163202,0.0797008,0.210102,-0.0252154,0.000299196,-0.0240072,0.0204298,-0.00291422,0.106962,-0.0642021,0.131164,0.152179,0.00764257,-0.0170063,-0.0437993,0.0291348,-0.111013
2,-108.084,-0.176397,-0.104231,-0.00515493,-0.121241,0.0753161,-0.044056,-0.151693,0.0569875,-0.0391032,-0.0992637,0.128718,0.0136885,-0.130733,-0.042377,-0.0129303,-0.0464122,0.100358,0.0486909,0.160025,-0.0151254,0.0250528,-0.0622469,-0.00289021,-0.0581544,0.0584482,-0.0155545,-0.126335,0.0371219,0.0047001,-0.0640844,-0.0664686,0.0606346,0.0891596,0.0411858,0.099551,0.0289665,0.10517,-0.00466097,-0.0697057,-0.0599647,-0.00519711,0.063228,-0.0500932,-0.0126836,-0.146443,-0.0108968,0.0498107,-0.0971741,-0.0222973,-0.120844,-0.0425238,-0.15105,-0.20375,-0.042424,-0.0680521,0.10746,-0.106009,-0.0536138,0.0921395,0.0890807,0.303308,0.172398,0.0823089,-0.00387579,0.00420828,0.0541863,0.0368753,0.201182,0.0655505,0.0415227,-0.141366,0.141296,-0.163471,-0.172671,0.049263,0.0945739,0.254112,0.0127808,-0.122204,-0.0253939,0.105642,0.0577639,0.139789,-0.0482217,-0.00423935,0.161519,-0.0417888,0.18398,-0.0626033,-0.00441452,-0.138701,0.0749512,-0.18224,0.16115,-0.04094,-0.0748288,0.097581,0.0220906
3,106.947,0.155713,0.166474,-0.0171717,-0.141196,-0.102703,-0.161806,0.0590097,-0.0334325,-0.23865,0.0631817,0.167115,-0.075088,-0.167341,0.0329861,-0.110842,-0.0298633,0.00576794,0.0702297,0.020756,0.053962,-0.0672842,0.00358629,-0.0175911,-0.0457355,-0.00746259,0.0717829,0.0091095,0.0576466,-0.132058,-0.088177,0.142916,0.157122,0.12666,0.0388772,-0.0241022,-0.15065,0.14211,-0.203512,0.0635046,0.152036,0.0819683,-0.0676994,0.0143135,-0.0614325,-0.0614936,-0.00787626,0.00545305,-0.123293,0.0339544,0.0862995,-0.0927706,0.0898076,-0.116126,0.144065,0.00355057,-0.148969,-0.00178723,0.0863918,0.0231081,-0.136765,-0.118555,-0.0838489,0.106205,-0.00778908,-0.106992,-0.151485,-0.0342914,-0.0791338,0.0378352,0.0552929,0.000363703,0.196134,0.0917645,-0.143181,0.00817477,0.0962859,0.00636678,-0.0327976,-0.0199428,0.140123,0.0367139,0.143223,0.0308583,-0.0382712,0.137191,-0.136683,0.0177489,0.125129,-0.0754192,0.173517,0.102753,0.16943,0.0908004,-0.0421928,0.0696997,-0.189855,-0.0415892,0.0323258
4,-102.1,0.103569,-0.00225814,-0.067789,0.222821,0.112564,0.0271844,0.110006,0.0237804,-0.0263646,-0.0148962,-0.0457131,-0.0665765,-0.118263,0.013601,-0.131395,-0.0152477,0.192225,0.158854,-0.0820443,-0.0446093,0.0105402,0.145388,-0.0854066,-0.0456923,-0.0139095,-0.0417948,0.106934,-0.00060865,0.0952403,0.162781,-0.104416,0.0470808,0.199685,0.0982033,0.0993372,0.104085,0.0372618,0.0957913,-0.0283062,-0.0125175,-0.151115,-0.159795,-0.0395858,-0.139873,-0.145878,0.221174,0.0760227,-0.134948,0.0363271,-0.235534,0.035536,0.121878,-0.0478607,-0.0648666,-0.137159,-0.0946281,0.164971,0.0439112,-0.0958482,0.028763,0.035194,-0.11905,0.0274726,-0.0227984,-0.0852866,-0.0386589,-0.0121898,0.0557485,-0.100309,-0.0164838,-0.0657335,0.05893,0.0258258,0.0609614,-0.113152,0.0473452,-0.118837,0.0237776,-0.0170953,-0.133071,0.0661583,-0.102619,0.0635439,-0.0487966,-0.0828487,-0.0551518,-0.265366,-0.0106355,0.17809,-0.0196363,0.0653422,-0.00659139,-0.0231116,0.032976,-0.0846935,-0.0849881,-0.074925,0.236022
5,101.155,0.0171478,-0.0286994,-0.275705,-0.0648806,-0.297685,-0.0745637,0.0180605,-0.0900927,0.128069,-0.0795442,0.0370336,0.0419068,-0.0888852,-0.177565,-0.0556606,0.083213,0.142546,-0.00820455,0.0402047,0.0535001,-0.139777,0.0341841,-0.0637392,0.13903,0.022457,-0.175295,0.014489,-0.0168486,-0.0324359,-0.0418101,0.0532892,0.165528,-0.12917,-0.0291242,0.14917,0.118995,0.240874,0.0106123,0.0286824,0.110823,-0.0365054,0.163807,-0.0576745,0.0806229,0.17127,-0.0147204,-0.065529,0.0347238,-0.111927,-0.0602003,-0.0902791,0.0330348,0.197577,0.105576,-0.103114,0.0204822,0.0632701,-0.00815263,-0.180054,-0.148879,0.0700259,-0.00687693,0.0135562,-0.0543478,0.0903845,0.0559809,-0.0868827,0.137465,0.0435177,-0.219151,-0.0984952,0.0525658,0.0643821,-0.00881414,-0.0912415,-0.0254409,0.0735019,0.181475,-0.0521012,0.0574174,0.073099,-0.100984,-0.0564801,-0.0157102,-0.0961496,-0.0710406,0.043976,-0.0565865,0.0610392,0.0610179,0.118946,-0.0419927,-0.0350711,0.0819443,0.102128,0.10859,0.0706892,0.0283133
6,-99.1321,0.168413,0.0261991,-0.100064,0.0335947,0.160692,-0.0829376,-0.0445903,-0.0923316,0.0531731,-0.0832251,-0.0704671,-0.0641277,0.080028,-0.165009,0.11317,0.142541,-0.116397,-0.0150094,-0.167287,-0.0043595,-0.110092,0.158658,-0.00610802,0.0903833,0.159443,-0.137223,-0.118356,0.0735732,-0.0690818,-0.0203311,-0.17196,0.0558467,0.0393297,-0.106903,0.0588623,0.0714736,0.088708,0.034357,-0.160784,0.0461132,-0.0928214,0.0617811,-0.102269,0.0190609,0.03306,-0.0798132,-0.0734795,-0.0719012,0.11209,-0.107008,-0.0495564,-0.0487277,-0.100066,0.0921662,0.177224,-0.0768134,-0.0263564,0.0185347,-0.100683,0.0393642,-0.0964639,-0.0128409,0.0354497,0.0949222,-0.257871,-0.0914513,-0.0461836,-0.00805696,-0.0731791,0.165731,0.0320895,0.0392634,0.149774,0.0213278,0.100311,-0.233206,0.0175417,0.0111896,-0.137425,0.171273,-0.00449692,0.0748008,-0.0717041,0.0724751,-0.0663578,0.12409,0.10717,0.111016,-0.0679846,-0.238702,-0.0783447,0.0832084,-0.103323,-0.0421623,-0.163044,-0.0138483,-0.0521738,0.0228536
7,-96.896,0.0940308,-0.235099,-0.134468,-0.111979,0.0660024,0.0336431,-0.0873904,0.00898818,-0.0123543,-0.00173798,0.0494661,0.11423,-0.0587143,-0.0208539,0.0504288,0.0417221,-0.00575767,-0.00297576,0.121054,0.0593574,0.0358389,-0.0665422,0.118052,0.0678863,-0.0413703,-0.030408,0.17659,0.127502,-0.104313,0.114963,-0.154819,0.0797223,0.0212978,-0.134054,-0.108112,-0.0962074,-0.0497136,-0.0294342,0.123685,-0.0496759,0.105271,0.0667177,-0.160035,0.192101,-0.252372,0.198653,0.147254,-0.0305748,0.013889,0.218613,-0.0648936,-0.0597153,-0.0459356,0.0170141,0.148494,0.0711278,-0.0348924,0.0939562,-0.0590295,0.00718152,-0.0371721,0.0275101,-0.208584,-0.17275,-0.0107864,0.064512,-0.0418279,-0.083329,0.000936265,-0.050909,0.078965,0.120975,-0.0188285,0.189446,0.0111587,-0.0316409,-0.0883258,0.00664501,-0.0242693,0.0541015,-0.0232371,0.071384,-0.105917,-0.0617698,-0.222539,-0.163916,-0.0668257,0.076164,-0.0136458,-0.0169865,0.0223008,-0.174785,-0.140134,0.0654738,0.0347401,-0.147623,0.0115827,0.107517
8,93.9759,0.023196,-0.0383756,0.125624,-0.100594,-0.0452602,0.0839757,0.226955,-0.0128999,-0.00719528,-0.207188,0.111438,-0.0318353,-0.0705268,-0.0868717,-0.0725017,-0.0571701,-0.0199417,0.0080806,0.0335884,-0.0408746,-0.00252928,0.0764601,-0.174313,-0.00637369,0.0878857,0.320525,0.0889991,-0.0359904,-0.0149577,-0.151464,-0.0370466,-0.0624833,0.0503086,-0.114323,0.141839,0.0397766,0.00761544,-0.0661796,0.156432,0.080889,0.0997048,-0.0628436,0.0751991,0.0567861,-0.00704726,-0.0564267,-0.123065,-0.184947,0.171686,-0.055601,-0.0927822,-0.0404451,0.0443995,-0.170019,0.0934235,-0.0682465,-0.117603,-0.0894093,-0.123012,0.135691,-0.116511,-0.0783894,-0.00617374,-0.0317411,-0.0711605,0.103064,-0.105972,-0.00728565,0.256673,-0.00941419,0.161997,0.0531105,-0.082109,0.00818986,-0.179305,0.0351933,0.0598399,0.14352,0.0253261,0.00221364,-0.000765832,-0.0156414,0.0524483,0.0806966,-0.0667642,-0.0874448,-0.0621777,-0.187538,0.000378429,-0.12735,-0.177878,-0.0889574,-0.10375,0.00558671,-0.0884173,0.0631183,-0.0112757,-0.0933437
9,91.535,-0.227789,0.0853417,-0.0176679,0.0296406,0.0109721,0.0573426,0.0205621,-0.110563,-0.152008,0.130063,0.170164,0.144676,0.173274,-0.0596815,0.0280391,0.0832611,0.0547036,-0.00421275,-0.0113404,-0.0116848,-0.0292598,0.0339668,0.127303,0.0496831,0.0286501,0.10316,0.00239216,0.152111,0.0408628,0.172673,-0.0147895,-0.148782,0.00208368,-0.0104681,0.0483279,-0.136853,-0.033416,-0.00550045,0.0961472,0.191982,0.133609,-0.0856612,0.00621682,-0.0656694,0.058542,0.20516,-0.0792601,0.186391,-0.156243,-0.192203,0.0107832,0.0165118,0.0553091,0.200924,0.0793903,0.0994262,-0.0944791,0.0658786,0.00677211,-0.126668,0.0827847,-0.0920092,-0.0957712,0.159373,-0.109814,-0.0778042,0.0207577,-0.0361287,0.0997064,-0.0911885,-0.0082684,0.130963,0.0448347,0.0886966,0.0567889,-0.0934239,0.242319,0.00095106,-0.0290184,-0.0115035,0.036427,0.0233434,0.0600011,0.111714,0.02701,-0.0267989,-0.0993978,-0.0635403,0.0250954,0.104648,-0.162706,-0.0608489,0.0213496,0.0237226,-0.240845,0.075825,-0.065836,0.117528
