Index,Eigenvalue,Eigenvector_0,Eigenvector_1,Eigenvector_2,Eigenvector_3,Eigenvector_4,Eigenvector_5,Eigenvector_6,Eigenvector_7,Eigenvector_8,Eigenvector_9,Eigenvector_10,Eigenvector_11,Eigenvector_12,Eigenvector_13,Eigenvector_14,Eigenvector_15,Eigenvector_16,Eigenvector_17,Eigenvector_18,Eigenvector_19,Eigenvector_20,Eigenvector_21,Eigenvector_22,Eigenvector_23,Eigenvector_24,Eigenvector_25,Eigenvector_26,Eigenvector_27,Eigenvector_28,Eigenvector_29,Eigenvector_30,Eigenvector_31,Eigenvector_32,Eigenvector_33,Eigenvector_34,Eigenvector_35,Eigenvector_36,Eigenvector_37,Eigenvector_38,Eigenvector_39,Eigenvector_40,Eigenvector_41,Eigenvector_42,Eigenvector_43,Eigenvector_44,Eigenvector_45,Eigenvector_46,Eigenvector_47,Eigenvector_48,Eigenvector_49,Eigenvector_50,Eigenvector_51,Eigenvector_52,Eigenvector_53,Eigenvector_54,Eigenvector_55,Eigenvector_56,Eigenvector_57,Eigenvector_58,Eigenvector_59,Eigenvector_60,Eigenvector_61,Eigenvector_62,Eigenvector_63,Eigenvector_64,Eigenvector_65,Eigenvector_66,Eigenvector_67,Eigenvector_68,Eigenvector_69,Eigenvector_70,Eigenvector_71,Eigenvector_72,Eigenvector_73,Eigenvector_74,Eigenvector_75,Eigenvector_76,Eigenvector_77,Eigenvector_78,Eigenvector_79,Eigenvector_80,Eigenvector_81,Eigenvector_82,Eigenvector_83,Eigenvector_84,Eigenvector_85,Eigenvector_86,Eigenvector_87,Eigenvector_88,Eigenvector_89,Eigenvector_90,Eigenvector_91,Eigenvector_92,Eigenvector_93,Eigenvector_94,Eigenvector_95,Eigenvector_96,Eigenvector_97,Eigenvector_98
0,113.008,0.173341,-0.0811489,-0.0199307,0.0941872,-0.142095,-0.219429,0.0809184,0.118649,0.0776338,0.0735307,-0.0221482,-0.114221,-0.0155065,-0.0883791,-0.0243355,-0.113301,-0.0388242,-0.0548502,0.0159122,0.0767556,0.128553,0.170346,-0.00852231,-0.0830842,-0.11899,0.0289166,0.092169,-0.0494492,-0.288077,0.0180677,-0.0319007,-0.0961884,0.0842606,-0.00530085,-0.0949586,-0.0468631,0.0565857,0.0693325,0.0370701,-0.123261,-0.189665,-0.136102,0.14705,-0.109862,-0.0940929,0.0717822,0.0938901,-0.130667,-0.0696791,0.11178,0.0166826,0.210009,-0.0582826,-0.0133271,0.0655822,-0.00437153,0.0108835,0.00574029,-0.0287444,0.082631,-0.143395,0.0546027,-0.24021,0.0139363,-0.15831,0.136795,0.0386486,-0.051064,0.0195489,0.0804561,-0.171496,-0.0731402,0.0674798,-0.096939,-0.0760677,-0.00132996,-0.0387813,0.0295525,-0.133001,-0.0249584,-0.0687527,-0.0200603,0.0105548,-0.0198929,0.179728,-0.18659,-0.0139311,0.0856182,0.0900012,-0.00139903,0.0687827,0.138748,-0.0452135,-0.0235214,-0.20814,-0.00640228,0.0952924,-0.0809739,0.047187
1,-108.193,0.0249112,0.245231,0.047982,0.0957236,0.0026464,0.0336144,0.0275235,0.143482,0.0280207,0.164701,0.118254,0.108517,0.0268615,-0.019115,-0.17809,0.116706,0.0180965,0.0783241,0.0514782,-0.0606454,0.301058,0.127395,0.0608533,0.116917,0.0216515,0.111092,-0.143188,0.00293308,-0.00547823,-0.244998,-0.0410272,0.0288817,-0.0199555,-0.0917506,-0.121576,-0.0807589,0.0445099,-0.0783705,0.151145,-0.0178072,0.107451,0.0507763,-0.0534062,-0.0949135,-0.141004,-0.00486962,-0.103993,-0.0367803,0.0159143,0.0340513,-0.0327877,0.0123243,0.158549,0.0338761,-0.0439313,-0.072833,0.0366905,0.0635153,0.0830537,-0.00349422,0.114763,0.0433959,-0.119174,0.0565141,0.0535556,0.130619,-0.223849,-0.11123,0.0609425,-0.0771125,0.0772799,0.1696,-0.0704482,0.240791,-0.034333,0.136712,-0.0880115,0.12406,-0.0100077,-0.0801576,0.00872391,0.126911,-0.0582687,0.132788,-0.0503728,-0.0997735,0.0501682,-0.0170599,-0.0601476,0.0187363,-0.09603,0.0242672,-0.0540609,0.11484,-0.119995,0.0784901,-0.145048,-0.0765672,0.0526665
2,104.471,-0.128182,-0.0350973,-0.108488,-0.072771,0.00961077,0.00505627,0.115214,0.340199,0.0243402,0.225135,0.17887,-0.118193,-0.127809,-0.036677,0.0385476,0.15486,0.156072,-0.0756085,0.0986014,0.0892939,-0.151505,-0.0943913,-0.201761,0.169731,0.0999215,-0.0310197,0.0314785,0.039001,-0.0507299,0.0337658,-0.198033,0.0276337,0.0249527,0.0839834,-0.0150502,0.0737016,0.0383171,-0.0583939,0.0400363,0.0108694,0.020159,-0.0716816,-0.118288,-0.0181231,0.0150328,0.0156135,-0.10426,0.0290223,-0.0543589,-0.0299107,0.0518455,0.0587268,0.0569095,0.189391,-0.0537156,0.107541,0.054369,-0.0301576,0.0925778,0.0953127,-0.0841674,0.177859,-0.0968338,0.106877,0.0995018,0.163224,0.123179,0.122265,0.0389276,-0.0782052,0.0122419,-0.110028,-0.0425297,0.128143,-0.0510837,0.0502195,-0.0721606,-0.0881096,0.0874413,0.024056,0.0222541,-0.171843,-0.0807584,0.0514682,0.0473495,0.00117251,-0.104062,0.0624884,0.125762,0.0578703,0.10293,-0.139741,0.0635766,0.00766216,0.125929,0.0692527,0.118528,0.0853839,-0.101123
3,-102.485,0.00687508,0.0667199,-0.17908,-0.116917,-0.265504,0.0452798,0.0998636,-0.0242372,0.146525,-0.0598108,-0.0551634,-0.0295223,0.0676651,-0.142666,0.0780925,-0.0164462,0.13065,0.15815,0.0879833,-0.0630926,0.189528,-0.161998,-0.0118073,-0.0140916,-0.0974317,-0.100482,-0.0112857,0.101022,0.159327,0.150509,-0.035626,0.107598,0.0307123,-0.0771071,-0.0668287,-0.167671,-0.0527919,0.0539015,-0.0401618,-0.0287173,0.00788295,-0.179355,0.0298402,-0.0189982,-0.17989,0.0372382,0.0697595,0.211997,0.18313,0.00087513,-0.0614302,0.0915661,-0.129421,-0.10171,-0.0555151,-0.117758,-0.121206,-0.000190485,-0.00784748,0.0405985,-0.100669,0.040973,-0.07061,-0.0378298,-0.0312508,0.0445793,-0.0811646,0.147673,-0.018611,-0.0300268,0.00590782,-0.0681172,-0.0922822,0.065115,-0.0169507,0.0625363,-0.00398297,-0.143628,-0.0349979,0.116653,-0.163271,0.0710054,0.0348903,-0.0433226,-0.0894508,0.0396906,0.0617662,-0.11579,0.189561,0.201319,-0.0738076,-0.100312,-0.036396,0.0464819,0.167258,-0.0631701,-0.116961,-0.118899,0.0610919
4,-99.4109,-0.0150248,-0.0181439,0.187954,0.0530363,0.122746,-0.168367,0.0220045,0.0803532,0.203644,0.0934312,0.152071,0.0425571,0.194875,0.00540915,0.0664552,0.0640206,-0.0413718,0.0706474,0.0128848,-0.0850078,-0.067525,-0.000961077,-0.146941,-0.0351245,-0.184282,0.0136776,-0.0640369,0.0433922,0.0142363,-0.0109223,0.242982,0.124529,0.00859927,0.0423389,0.0332177,0.103285,-0.0692192,-0.0124933,0.00495204,-0.241197,-0.0547864,0.12258,0.0810152,-0.13694,-0.0493951,0.0149353,-0.0871891,0.0221239,0.0136748,-0.248076,0.0682053,-0.152519,-0.0859613,-0.0787201,-0.0475982,-0.0113896,0.153932,0.0554676,0.0191341,0.124016,-0.0405299,0.0957286,0.205835,-0.148476,-0.200632,0.0259055,-0.0291575,0.0512069,0.0639691,-0.00412729,0.100501,-0.0771166,0.0361047,0.00125083,0.0241622,0.0399626,-0.0807895,0.126344,-0.0673732,0.0805892,-0.203462,-0.0455453,-0.144071,0.10886,0.110402,-0.0122121,0.146152,-0.0258468,-0.00761217,-0.0561242,0.0600363,-0.105571,0.0572929,-0.107269,0.110614,-0.00679468,0.0327982,-0.0332679,0.139102
5,96.9914,0.0649981,0.0114261,-0.188672,-0.124868,-0.0261039,-0.0439547,0.0683055,0.0349014,0.148113,0.0413637,0.0499084,0.015538,-0.0125672,0.031894,0.0515054,0.0435315,-0.0315533,-0.0622919,-0.0459548,-0.162582,0.0535394,0.187314,-0.0590599,-0.00966494,-0.0520564,-0.159566,5.26109e-05,0.13214,-0.152531,0.215979,0.0343374,0.187264,-0.00118325,-0.0354858,-0.167571,0.093177,0.0520942,-0.167361,0.0284356,0.0591517,0.0941318,0.0390433,-0.137786,-0.116475,0.1702,-0.230603,0.104425,0.00737958,-0.0161035,0.11514,0.111393,-0.0884963,-0.128661,0.0265544,-0.00853309,0.0493474,-0.0918809,0.033636,-0.244655,0.0935602,0.175707,0.00299108,0.0583542,-0.0568304,-0.0078708,0.0399373,0.0580099,0.00706953,0.0959656,-0.0322427,-0.0500588,0.160152,-0.0138831,-0.0559559,0.156994,0.0309787,0.0469576,0.0565095,0.149391,-0.189872,-0.106994,-0.0325663,0.113071,0.0552455,-0.114909,-0.121596,-0.00815404,-0.0128439,-0.0797352,-0.0270286,-0.0483687,-0.0426279,-0.0824189,0.120158,-0.0366691,-0.221928,0.133543,-0.0257125,-0.066946
6,-96.56,0.0229072,0.00483355,-0.0585838,0.111552,-0.0922484,0.0278548,0.127914,-0.141871,-0.0596061,0.137141,-0.102931,-0.0647531,-0.159692,0.00523161,0.0583452,0.009166,-0.0872811,-0.0101902,0.158637,-0.00577322,-0.0286731,0.231928,-0.0286247,-0.0554816,-0.0690109,-0.0965575,0.0453503,0.0875447,-0.0181071,-0.0583961,-0.0115933,0.0495162,-0.147577,-0.0914193,-0.0192409,0.0866809,-0.0957026,0.224363,0.0680037,-0.0308289,0.109024,0.0645739,-0.0608546,-0.0834848,-0.153521,-0.0682707,0.144589,0.128453,-0.139772,0.00399157,0.00516632,-0.118011,0.0200812,-0.165708,-0.00710085,0.184433,-0.0378831,0.18207,-0.00848189,-0.0827009,0.128784,0.116009,0.00465956,0.254754,0.0957286,0.00148906,-0.0798059,0.0444265,-0.143027,0.00755778,0.127548,-0.104649,-0.0303109,0.0679397,0.00771261,-0.062766,-0.014887,0.116002,0.021607,0.199993,0.0463929,-0.0555433,-0.0998533,-0.194927,0.0389515,0.115197,-0.124903,0.169983,-0.0837433,0.043207,0.0368077,-0.0567004,-0.0489258,-0.0934777,-0.00849048,-0.0634274,0.0801967,-0.0615725,0.205952
7,96.0797,0.123027,-0.153078,0.00250354,-0.155276,0.132179,0.172635,0.113035,-0.0971687,0.0740271,-0.153598,-0.16434,-0.00800776,0.0454616,0.11552,-0.121806,0.0611195,-0.0930794,-0.0441164,0.0734287,0.102853,0.00443913,0.0637114,-0.197748,0.0565096,-0.074003,0.0477306,-0.258438,0.0452895,0.0799628,0.0107757,-0.0533637,0.0589628,-0.0973411,-0.0322615,0.109521,0.0576867,0.00349128,-0.137149,-0.0700565,0.0961126,-0.119394,0.0735257,0.0105827,0.0786465,0.113841,-0.0462424,0.00675516,-0.00462324,-0.220311,-0.0893201,-0.114297,0.0880838,0.0155355,-0.0344689,-0.0710442,0.083312,-0.0282607,0.0309398,0.111736,-0.0762942,-0.0511317,0.0616231,-0.0456001,0.0687259,0.0293241,0.163217,-0.145037,0.0369075,-0.00726094,0.0740768,-0.129309,-0.126324,-0.00968184,-0.0891927,-0.202867,0.0655191,-0.201361,-0.141264,0.00295825,0.0515375,-0.210247,-0.00820929,-0.00524504,0.0215795,-0.0882226,-0.15075,0.123745,0.00746195,-0.196071,0.0462714,-0.0256079,0.0983855,-0.0353862,0.177407,0.0263329,0.0223147,0.0677619,-0.07856,0.017981
8,93.0847,0.00644417,0.0277519,-0.102263,0.124032,0.00726032,-0.0124342,0.0419089,0.0817883,-0.139281,-0.0359026,0.0750073,0.0417338,0.012314,-0.147144,-0.0531738,-0.0730162,-0.0914643,0.00589231,-0.141257,0.126042,0.00426805,-0.0861157,-0.0954423,-0.00142944,-0.0346245,-0.0402983,-0.181728,0.0423799,-0.0786778,-0.13724,0.00118201,-0.10313,-0.0306829,0.133224,0.0269722,-0.0172557,-0.0769231,-0.0999244,0.0131459,0.168588,0.0686208,-0.0926072,0.0643583,0.0929653,-0.0888878,0.0915858,0.242372,-0.0920494,0.0124585,-0.105804,-0.0237205,-0.0209243,-0.138533,-0.039527,0.040635,0.0999008,0.0131608,0.0344675,-0.206045,0.030862,0.0181143,-0.112718,0.0754388,0.0104468,-0.0688529,0.170727,-0.041739,-0.134001,0.104511,-0.101262,0.00717743,0.0392037,-0.218962,-0.080601,0.0258015,0.0102697,-0.0610153,0.0104566,0.02448,0.0361663,0.0735132,-0.190737,-0.317126,-0.0127287,-0.0749882,0.138957,0.159228,-0.0159448,-0.0318558,0.196109,0.132809,0.0547619,-0.0990044,-0.0741605,0.00138759,-0.214173,-0.118453,0.0346266,-0.153575
9,-91.0467,0.00087852,0.00435872,0.0785543,0.0897185,0.146458,0.06292,0.0301571,-0.00671946,0.0857394,0.0843665,0.0313427,0.116194,-0.122203,0.0357838,-0.0513132,-0.254193,0.0114322,-0.0770882,0.0131372,0.0854776,-0.0267871,-0.0861123,-0.13731,-0.0166227,0.136447,-0.135604,0.106745,-0.118527,0.0831772,-0.17487,-0.120102,0.0390468,0.0703408,-0.141489,-0.106822,0.105252,0.0846426,0.0660009,0.029582,0.0126494,0.0779724,0.105882,0.187072,-0.066688,0.161227,-0.02877,-0.0481135,0.110413,0.113085,0.0565391,-0.13622,-0.0907108,-0.0140368,-0.141838,-0.105104,0.0710452,-0.0493166,-0.0447247,-0.146378,0.0445512,0.0729145,0.0546141,-0.0402851,-0.117056,0.0142183,0.0582264,-0.00801853,-0.0504938,-0.105419,0.114808,-0.149181,-0.0363027,0.211356,-0.0527404,0.133982,0.245695,-0.000785976,0.0861194,-0.124575,0.0613674,0.00485947,-0.0799614,-0.032622,0.0961795,-0.138971,-0.0208223,-0.0860945,0.03521,0.186755,0.143172,0.0676606,0.200566,-0.0431807,0.0716211,0.178754,0.0179629,-0.0650292,-0.0782283,0.00874273
10,89.6503,-0.163822,-0.0800298,-0.136246,-0.206434,-0.0638089,-0.0508042,-0.0750917,-0.0377928,-0.0915281,0.140685,-0.0986846,-0.0381058,-0.0773663,0.0227811,-0.183089,-0.034567,0.0228182,0.0526047,0.0976995,0.00882931,-0.0246815,0.0651506,0.0631088,-0.148723,0.173514,-0.0459089,0.0120898,0.0350406,-0.00388651,-0.0201575,0.0181131,0.0813175,0.112797,0.0305314,-0.0458989,0.144588,0.0146785,0.0688946,-0.101608,-0.0368605,-0.011642,-0.00863892,-0.0514485,-0.0893253,0.0490105,-0.0381051,-0.083946,0.00155631,-0.0229111,-0.195516,0.10425,0.11016,-0.0733817,-0.101625,-0.206447,-0.048988,0.0678302,0.0549496,0.0324887,0.0446368,-0.0631498,-0.0654011,-0.0720127,0.222663,-0.0677485,-0.0572983,-0.0666459,-0.0769226,0.234992,0.0802548,0.1496,0.0562482,-0.0509979,-0.19969,-0.030427,0.0563813,0.0878041,-0.0635846,-0.143647,-0.102905,-0.071589,0.202197,-0.103106,0.104613,-0.170724,0.0540341,0.0186582,0.206853,0.00204721,-0.0928367,0.162019,0.0125437,0.0707346,-0.105885,0.00217632,-0.00222482,-0.174493,-0.127007,-0.140029
11,-88.3235,-0.0129077,-0.0489494,0.0225964,-0.11107,-0.0772211,-0.036413,0.204432,0.11488,0.0638978,0.027348,0.0329428,0.109879,0.123693,0.0605604,0.106601,-0.187453,0.0167283,-0.101607,-0.0347537,0.0971002,0.145707,0.0744058,-0.0396497,-0.127728,-0.110233,0.117558,0.0485824,0.217959,0.0547177,0.00841212,0.0397012,-0.0428606,-0.0121898,-0.0653306,-0.0632981,-0.0637878,0.219491,-0.0422833,-0.257704,-0.0148335,0.0572768,0.000403004,0.0779109,-0.0751775,-0.00504398,-0.0444587,-0.193715,-0.0104753,0.0411815,-0.0722326,-0.0232324,-0.0684219,-0.118284,-0.00110884,-0.110846,0.166837,0.118916,0.0506674,0.00347735,-0.212947,0.0535472,-0.0683452,-0.0750094,-0.0251916,0.107716,-0.0219648,-0.0305208,-0.0593843,-0.111417,-0.0168365,0.0604852,0.0328348,-0.0247369,0.0252678,0.0219139,-0.113858,-0.240598,-0.0985892,-0.125008,0.000616762,0.179198,0.0180745,0.0533612,-0.000669913,0.0967182,0.174328,-0.166119,-0.178409,-0.0591704,-0.0275757,0.139032,-0.0228717,0.161119,0.0849469,-0.0911231,-0.0918896,-0.0282706,0.047117,-0.146229
